col0,col1,col2,col3,col4
0,Jason Charles Leffler,Haas CNC Racing,Pontiac automobiles,NetZero HiSpeed
1,Jeff Green,"Dale Earnhardt, Inc.",Chevrolet,Pennzoil Synthetic
01,Mike Skinner,MB2 Motorsports,Pontiac,U.S. Army
2,"Russell William Wallace, Jr.",Penske Racing South,Dodge,"Miller Lite, Winston Victory Lap"
02,Hermie Sadler,SCORE Motorsports,Pontiac,Virginia Cavaliers
4,Johnny Sauter,Morgan-McClure Motorsports,Pontiac,Kodak Perfect Touch
5,Terry Labonte,Hendrick Motorsports,Chevrolet,"Kellogg's, Got Milk?"
6,Mark Martin,Roush Racing,Ford,Viagra
7,Ted Musgrave,Ultra Motorsports,Dodge,Sirius Satellite Radio
8,Dale Earnhardt Jr.,"Dale Earnhardt, Inc.",Chevrolet,Budweiser
9,Bill Elliott,Evernham Motorsports,Dodge brand,Dodge Summer Sales Deal
10,Johnny Benson Jr.,MB2 Motorsports,Pontiac cars,Valvoline
12,Ryan Newman,Penske Racing South,Dodge,Alltel
15,Michael Waltrip,"Dale Earnhardt, Inc.",Chevrolet,NAPA Auto Parts
16,Greg Biffle,Roush Racing,Ford,Grainger
17,Matt Kenseth,Roush Racing,Ford,DeWalt
18,Bobby Labonte,Joe Gibbs Racing,Chevrolet,Interstate Batteries
19,Jeremy Mayfield,Evernham Motorsports,Dodge,Dodge Summer Sales Deal
20,Tony Stewart,Joe Gibbs Racing,Chevrolet,The Home Depot
21,Ricky Rudd,Wood Brothers Racing,Ford,Motorcraft
22,Ward Burton,Bill Davis Racing,Dodge,Caterpillar
23,Kenny Wallace,Bill Davis Racing,Dodge brand,Stacker 2
24,Jeff Gordon,Hendrick Motorsports,Chevrolet,DuPont
25,Joe Nemechek,Hendrick Motorsports,Chevrolet,"UAW, Delphi"
27,Scott Wimmer,Bill Davis Racing,Chevy,YJ Stinger
29,Kevin Harvick,Richard Childress Racing,Chevrolet,GM Goodwrench
30,Steve Park,Richard Childress Racing,Chevy,America Online
31,Robby Gordon,Richard Childress Racing,Chevy,Cingular Wireless
32,Ricky Craven,PPI Motorsports,Pontiac cars,Tide
37,Derrike Cope,Quest Motor Racing,Chevrolet,Friendly's
38,Elliott Sadler,Robert Yates Racing,Ford,Combos
40,Sterling Marlin,Chip Ganassi Racing,Dodge,Coors Light
41,Casey Mears,Chip Ganassi Racing,Dodge,Target
42,Jamie McMurray,Chip Ganassi Racing,Dodge,"Texaco, Havoline"
43,Christian Fittipaldi,Petty Enterprises,Dodge,Cheerios Heart Health
45,Kyle Petty,Petty Enterprises,Dodge vehicles,Georgia-Pacific Brawny
48,Jimmie Johnson,Hendrick Motorsports,Chevy,Lowe's
49,Ken Schrader,BAM Racing,Dodge brand,SEM
50,Larry Foyt,A. J. Foyt Enterprises,Dodge vehicles,Harrah's Oh Yeah!
54,Todd Bodine,BelCar Motorsports,Ford,National Guard
74,Tony Raines,BACE Motorsports,Chevrolet,BACE Motorsports
77,Dave Blaney,Jasper Motorsports,Ford,First Tennessee Bank
79,Billy Bigley,Arnold Motorsports,Dodge vehicles,Arnold Development Companies
88,Dale Jarrett,Robert Yates Racing,Ford,UPS
89,Morgan Shepherd,Shepherd Racing Ventures,Ford,Racing with Jesus
97,Kurt Busch,Roush Racing,Ford,Sharpie Metallic Silver
99,Jeff Burton,Roush Racing,Ford,Citgo
Official entry list,Official entry list,Official entry list,Official entry list,Official entry list
