col0,col1,col2
National Film Award for Best Actress,FLC,User:Vensatry
Satyajit Ray filmography,FLC,User:Vivvt
List of Indian submissions for the Academy Award for Best Foreign Language Film,FLC,User:Vensatry
National Film Award for Best Actor,FLC,User:Vensatry   User:Bill william compton
Rani Mukerji filmography,FLC,User:Krimuk2.0
Aamir Khan filmography,FLC,User:Krimuk2.0
Priyanka Chopra filmography,"FLC 1, FLC 2, FLC 3",User:Krish!   User:Dr. Blofeld
Shah Rukh Khan filmography,FLC,User:Krimuk2.0
Hrithik Roshan filmography,FLC,User:Krimuk2.0
Dadasaheb Phalke Award,FLC,User:Vivvt
Aishwarya Rai Bachchan filmography,FLC,User:Krimuk2.0
Akshay Kumar filmography,"FLC 1, FLC 2",User:Skr15081997
List of awards and nominations received by Vidya Balan,"FLC 1, FLC 2, FLC 3, FLC 4, FLC 5",User:Krimuk2.0   User:FrB.TG
List of films released by Yash Raj Films,FLC,User:Krimuk2.0
List of accolades received by Kahaani,FLC,User:FrB.TG
Preity Zinta filmography,FLC,User:FrB.TG
Abhishek Bachchan filmography,FLC,User:Jim Carter
Kajol filmography,FLC,User:FrB.TG
Kareena Kapoor Khan filmography,FLC,User:FrB.TG
"Kangana Ranaut, roles and awards",FLC,User:Krimuk2.0
Salman Khan filmography,FLC,User:FrB.TG
List of Dharma Productions films,FLC,User:Krimuk2.0
List of awards and nominations received by Priyanka Chopra,"FLC 1, FLC 2, FLC 3",User:Krish!
List of awards and nominations received by Parineeti Chopra,FLC,User:Krish!
List of accolades received by Queen (film),FLC,User:Krimuk2.0
List of accolades received by Haider (film),FLC,User:Krimuk2.0
List of accolades received by Kaminey,FLC,User:Krish!
National Film Award for Best Supporting Actor,"FLC 1, FLC 2",User:FrB.TG
List of accolades received by The Dirty Picture,FLC,User:Krimuk2.0
Madhuri Dixit filmography,FLC,User:FrB.TG
Deepika Padukone filmography,FLC,User:Krimuk2.0
List of accolades received by Barfi!,FLC,User:Krish!
Tabu filmography,FLC,User:Krimuk2.0
List of awards and nominations received by Satyajit Ray,FLC,User:Vivvt
List of accolades received by Fashion (2008 film),FLC,User:Krish!
List of accolades received by Aadukalam,FLC,User:Ssven2
List of accolades received by Enthiran,FLC,User:Ssven2
Shahid Kapoor filmography,FLC,User:Krimuk2.0
Anurag Kashyap filmography,"FLC 1, FLC 2, FLC 3",User:Yashthepunisher
List of accolades received by Mary Kom (film),FLC,User:Krish!
Katrina Kaif filmography,FLC,User:Krish!
List of accolades received by Dookudu,FLC,User:Veera Narayana
Kerala State Film Award for Best Actress,FLC,User:Vensatry
List of accolades received by Lagaan,"FLC 1, FLC 2",User:Yashthepunisher
List of accolades received by Zindagi Na Milegi Dobara,FLC,User:FrB.TG
Amitabh Bachchan filmography,FLC,User:Yashthepunisher
List of roles and awards of Arshad Warsi,"FLC 1, FLC 2",User:Skr15081997
Raveena Tandon filmography,"FLC 1, FLC 2",User:Krish!
List of accolades received by Piku,FLC,User:Krimuk2.0   User:Ssven2
Bipasha Basu filmography,FLC,User:Vensatry User:Yashthepunisher
Mani Ratnam filmography,FLC,User:Vensatry
List of accolades received by Bajirao Mastani,FLC,User:Krish!
Manisha Koirala filmography,FLC,User:Cowlibob
Kerala State Film Award for Best Actor,"FLC 1, FLC 2",User:Let There Be Sunshine
J. C. Daniel Award,FLC,User:Let There Be Sunshine
Rajinikanth filmography,"FLC 1, FLC 2",User:Vensatry   User:Kailash29792
Tamannaah filmography,FLC,User:Veera Narayana
Shriya Saran filmography,FLC,User:Vensatry
Ajith Kumar filmography,FLC,User:Vensatry   User:Kailash29792   User:Ssven2
Shruti Haasan filmography,FLC,User:Veera Narayana
Suriya filmography,FLC,User:Ssven2
Vijay filmography,FLC,User:Ssven2
Dhanush filmography,FLC,User:Vensatry   User:Kailash29792
List of accolades received by Baahubali: The Beginning,FLC,User:Krish!
Urmila Matondkar filmography,FLC,User:Krish!
Ajay Devgn filmography,"FLC 1, FLC 2",User:Skr15081997
List of accolades received by Madras (film),FLC,User:Ssven2
List of accolades received by Paradesi (2013 film),FLC,User:Ssven2
Trisha filmography,FLC,User:Kailash29792
List of accolades received by Thani Oruvan,FLC,User:Ssven2
Nani filmography,FLC,User:Veera Narayana
List of accolades received by Vishwaroopam,FLC,User:Ssven2
List of accolades received by Velaiilla Pattadhari,FLC,User:Ssven2
Anushka Shetty filmography,FLC,User:Kailash29792
List of accolades received by Neerja,FLC,User:Mr. Smart LION
List of accolades received by Kaththi,FLC,User:Ssven2
M. G. Ramachandran filmography,FLC,User:Ssven2
List of accolades received by Dil Dhadakne Do,FLC,User:Krish!
National Film Award for Best Supporting Actress,"FLC 1, FLC 2",User:Yashthepunisher
List of accolades received by Kal Ho Naa Ho,FLC,User:Ssven2
List of accolades received by My Name Is Khan,FLC,User:Ssven2
National Film Award for Best Direction,FLC,User:Yashthepunisher
List of accolades received by Padmaavat,FLC,User:Mr. Smart LION
List of accolades received by Vikram Vedha,FLC,User:Ssven2
List of accolades received by Mersal,FLC,User:Ssven2
