col0,col1,col2
Djazaïr,Algiers,DAAG
Argentina,Buenos Aires,Ministro Pistarini International Airport
Aruba,Oranjestad,Queen Beatrix International Airport
Barbados,Bridgetown,Grantley Adams International Airport
Bolivia,Santa Cruz de la Sierra,Viru Viru International Airport
Brazil,Manaus,Eduardo Gomes International Airport
Chile,Santiago,Arturo Merino Benítez International Airport
China,Guangzhou,Guangzhou Baiyun International Airport
Colombia,Bogotá,El Dorado International Airport
Cuba,Havana,José Martí International Airport
Dominica,Roseau,Douglas-Charles Airport
Dominican Republic,Santo Domingo,Las Americas International Airport
Ecuador,Guayaquil,José Joaquín de Olmedo International Airport
Ecuador,Quito,Mariscal Sucre International Airport
Grenada,St. George's,Maurice Bishop International Airport
Iran,Tehran,Tehran Imam Khomeini International Airport
Mexico,Cancún,Cancún International Airport
Mexico,Mexico City,Felipe Ángeles International Airport
Mexico,Toluca,Toluca International Airport
Nicaragua,Managua,Augusto C. Sandino International Airport
Panama,Panama City,Tocumen International Airport
Peru,Lima,Jorge Chávez International Airport
Qatar,Doha,Hamad International Airport
Russia,Moscow,Vnukovo International Airport
Saint Vincent and the Grenadines,Kingstown,Argyle International Airport
Spain,Madrid,Madrid-Barajas Airport
Syria,Damascus,Damascus International Airport
Trinidad and Tobago,Port of Spain,Piarco International Airport
Venezuela,Acarigua,Oswaldo Guevara Mujica Airport
Venezuela,Barcelona,General José Antonio Anzoátegui International Airport
Venezuela,Barinas,Barinas Airport
Venezuela,Barquisimeto,Jacinto Lara International Airport
Venezuela,Cabimas,Oro Negro Airport
Venezuela,Canaima,Canaima Airport
Venezuela,Caracas,Simón Bolívar International Airport
Venezuela,Carúpano,General José Francisco Bermúdez Airport
Venezuela,Ciudad Guayana,Manuel Carlos Piar Guayana Airport
Venezuela,Coche Island,Andrés Miguel Salazar Marcano Airport
Venezuela,Coro,José Leonardo Chirino Airport
Venezuela,Cumaná,Antonio José de Sucre Airport
Venezuela,El Vigía,Juan Pablo Pérez Alfonzo Airport
Venezuela,Gran Roque,Los Roques Airport
Venezuela,La Fría,La Fría Airport
Venezuela,Las Piedras,Josefa Camejo International Airport
Venezuela,Maracaibo,La Chinita International Airport
Venezuela,Maturín,José Tadeo Monagas International Airport
Venezuela,Mérida,Alberto Carnevalli Airport
Venezuela,Porlamar,Santiago Mariño Caribbean International Airport
Venezuela,Puerto Ayacucho,Cacique Aramare Airport
Venezuela,Puerto Cabello,General Bartolomé Salom Airport
Venezuela,San Antonio del Táchira,Juan Vicente Gómez International Airport
Venezuela,San Fernando de Apure,Las Flecheras Airport
Venezuela,Santa Elena de Uairén,Santa Elena de Uairén Airport
Venezuela,Santo Domingo,Mayor Buenaventura Vivas Airport
Venezuela,San Tomé,San Tomé Airport
Venezuela,Tucupita,San Rafael Airport
Venezuela,Valencia,Arturo Michelena International Airport
Venezuela,Valera,Dr. Antonio Nicolás Briceño Airport
