col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12
Barnard Castle,J. Pease,J. Pease,J. Pease,"Sir Joseph Whitwell Pease, 1st Baronet",Joseph Pease,J. Pease,J. Pease,Joseph Whitwell Pease,Joseph Pease,"Sir Joseph Whitwell Pease, 1st Baronet",Rt. Hon. Arthur Henderson,Rt. Hon. Arthur Henderson
Bishop Auckland,Paulton,Paulton,Paulton,Paulton,Paulton,Paulton,Paulton,Paulton,Paulton,Paulton,Paulton,Paulton
Chester-le-Street,James Joicey,Joicey,Joicey,James Joicey,James Joicey,Joicey,Joicey,Joicey,Joicey,James Joicey,James Joicey,James Joicey
Darlington,"Sir Theodore Fry, 1st Baronet",Fry,Fry,"Sir Theodore Fry, 1st Baronet","Sir Theodore Fry, 1st Baronet",Fry,"Sir Theodore Fry, 1st Baronet",A. Pease,H. Pease,H. Pease,H. Pease,H. Pease
Durham,Milvain,Sir Thomas Milvain,Sir Thomas Milvain,Milvain,Sir Thomas Milvain,Fowler,Matthew Fowler JP MP,Fowler,Arthur Ralph Douglas Elliot,Elliot,Arthur Ralph Douglas Elliot,Arthur Ralph Douglas Elliot-Murray-Kynynmound
Durham Mid,Crawford,Crawford,Crawford,Wilson,Wilson,Wilson,Wilson,Wilson,Wilson,Wilson,Wilson,Wilson
Durham North West,Atherley-Jones,Atherley-Jones,Atherley-Jones,Atherley-Jones,Atherley-Jones,Atherley-Jones,Atherley-Jones,Atherley-Jones,Atherley-Jones,Atherley-Jones,Atherley-Jones,Atherley-Jones
Durham South East,Havelock-Allan,Havelock-Allan,Henry Havelock,"Sir Henry Marshman Havelock-Allan, 1st Bt.",Havelock-Allan,Richardson,Richardson,Henry Havelock,Richardson,Lambton,Lambton,Lambton
Gateshead,James,Walter Henry James,Walter Henry James,James,James,James,Allan,Allan,Allan,Allan,Allan,Johnson
The Hartlepools,Richardson,Richardson,Richardson,Richardson,C. Furness,C. Furness,C. Furness,Richardson,Richardson,C. Furness,C. Furness,C. Furness
Houghton-le-Spring,Wilson,Wood,Wood,Wood,Wood,Fenwick,Fenwick,Cameron,Cameron,Cameron,Cameron,Cameron
Jarrow,C. Palmer,C. Palmer,C. Palmer,C. Palmer,C. Palmer,C. Palmer,C. Palmer,C. Palmer,C. Palmer,C. Palmer,C. Palmer,C. Palmer
South Shields,Stevenson,Stevenson,Stevenson,Stevenson,Stevenson,Stevenson,Stevenson,Robson,Robson,Robson,Robson,Robson
Stockton-on-Tees,Dodds,Dodds,Davey,Davey,Davey,Wrightson,Wrightson,Samuel,Samuel,Ropner,Ropner,Ropner
Sunderland,Gourley,Gourley,Gourley,Gourley,Gourley,Gourley,Gourley,Gourley,Gourley,Pemberton,Pemberton,Pemberton
Sunderland,Storey,Storey,Storey,Storey,Storey,Storey,Storey,Doxford,Doxford,Doxford,Doxford,Doxford
