col0,col1,col2,col3,col4
Albania,Albanian Championship,Vllaznia  (6th),Albanian Cup,Vllaznia  (6th)
Austria,Frauenliga,St. Pölten  (5th),Ladies Cup,St. Pölten  (7th)
Belarus,Premier League,,Belarusian Cup,
Belgium,Super League,Anderlecht  (6th),Belgian Cup,Gent  (2nd)
Bosnia and Herz.,Premier League,SFK 2000  (17th),BiH Cup,SFK 2000  (15th)
Bulgaria,Bulgarian Championship,NSA Sofia  (15th),Bulgarian Cup,
Croatia,First League,Split  (1st),Croatian Cup,Split  (2nd)
Cyprus,First Division,Apollon Limassol  (10th),Cypriot Cup,Barcelona FA  (1st)
Czech Republic,First Division,Sparta Prague  (20th),Czech Cup,Sparta Prague  (10th)
Denmark,Elitedivisionen,Brøndby  (12th),Danish Cup,Fortuna Hjørring  (9th)
England,WSL,Arsenal  (15th),FA Cup,Manchester City  (2nd)
Estonia,Meistriliiga,,Estonian Cup,Flora  (5th)
Faroe Islands,1. deild,,Faroese Cup,
Finland,Naisten Liiga,,Finnish Cup,
France,Division 1,Lyon  (17th),Coupe de France,Lyon  (10th)
Germany,Bundesliga,VfL Wolfsburg  (5th),DFB-Pokal,VfL Wolfsburg  (6th)
Gibraltar,Women's League,Lincoln Red Imps  (3rd),Rock Cup,
Greece,A Division,PAOK  (14th),Greek Cup,
Hungary,Női NB I,Ferencváros  (3rd),Hungarian Cup,Ferencváros  (5th)
Iceland,Úrvalsdeild,,Icelandic Cup,
Israel,Ligat Nashim,ASA Tel Aviv University  (8th),Israeli Cup,ASA Tel Aviv University  (5th)
Italy,Serie A,Juventus  (2nd),Coppa Italia,Juventus  (1st)
Kazakhstan,Kazakhstani Championship,,Kazakhstani Cup,
Kosovo,Women's League,Mitrovica  (2nd),Kosovo Cup,
Latvia,Latvian League,,Latvian Cup,
Lithuania,A-Lyga,,Lithuanian Cup,
Luxembourg,Ligue 1,Bettembourg  (2nd),Luxembourg Cup,Racing FC  (1st)
Malta,First Division,Birkirkara  (8th),Maltese Cup,Birkirkara  (15th)
Moldova,Top League,Agarista-ȘS Anenii Noi  (2nd),Moldovan Cup,Agarista-ȘS Anenii Noi  (2nd)
Montenegro,Montenegrin League,Breznica  (4th),Montenegrin Cup,
Netherlands,Eredivisie,Twente  (6th),KNVB Cup,Ajax  (4th)
North Macedonia,Macedonian Championship,,Macedonian Cup,
Northern Ireland,Women's Premiership,,Challenge Cup,
Norway,Toppserien,,Norwegian Cup,
Poland,Ekstraliga,Górnik Łęczna  (2nd),Polish Cup,Medyk Konin  (9th)
Portugal,Campeonato Nacional,Braga  (1st),Taça de Portugal,Benfica  (1st)
Republic of Ireland,WNL,,FAI Cup,
Romania,Liga I,Olimpia Cluj  (9th),Romanian Cup,Vasas  (1st)
Russia,Russian Championship,,Russian Cup,
Scotland,SWPL,,SWF Cup,
Serbia,SuperLiga,Spartak Subotica  (9th),Serbian Cup,Spartak Subotica  (7th)
Slovakia,First League,Slovan Bratislava  (14th),Slovak Cup,
Slovenia,Women's League,Pomurje  (7th),Slovenian Cup,Pomurje  (9th)
Spain,Primera División,Atlético Madrid  (3rd),Copa de la Reina,Real Sociedad  (1st)
Sweden,Damallsvenskan,,Svenska Cupen,Kopparbergs/Göteborg  (3rd)
Switzerland,Nationalliga A,Zürich  (22nd),Swiss Cup,Zürich  (14th)
Turkey,First League,Beşiktaş  (1st),,
Ukraine,Ukrainian League,,Ukrainian Cup,
Wales,Premier League,Cardiff Met  (6th),FAW Cup,Cardiff Met  (3rd)
