col0,col1,col2
Argenteuil—Deux-Montagnes,Philippe Valois,Liberal
Beauce,Raoul Poulin,Independent
Beauharnois—Salaberry,Robert Cauchon,Liberal
Bellechasse,Louis-Philippe Picard (until resignation),LPC
Bellechasse,Ovide Laflamme (by-election of 26 September 1955),Liberal
Berthier—Maskinongé—delanaudière,Joseph Langlois,Grits
Bonaventure,Bona Arsenault,Liberal
Brome—Missisquoi,Joseph-Léon Deslières,Grits
Cartier,Leon David Crestohl,LPC
Chambly—Rouville,Roch Pinard,LPC
Champlain,Joseph Irenée Rochefort,Canadian Liberals
Chapleau,David Gourd,Grits
Charlevoix,Auguste Maltais,Liberal
Châteauguay—Huntingdon—Laprairie,Jean Boucher,Grits
Chicoutimi,Paul-Edmond Gagnon,Independent
Compton—Frontenac,Joseph-Adéodat Blanchette,Grits
Dollard,Guy Rouleau,Liberal
Dorchester,Robert Perron,Progressive Conservative
Drummond—Arthabaska,Armand Cloutier,Liberal
Gaspé,Léopold Langlois,Liberal
Gatineau,Joseph-Célestin Nadon (died 17 December 1953),Canadian Liberals
Gatineau,Rodolphe Leduc (by-election of 22 March 1954),Liberal
Hochelaga,Raymond Eudes,Canadian Liberals
Hull,Alexis Caron,Liberal
Îles-de-la-Madeleine,Charles Cannon,Liberal
Jacques-Cartier—Lasalle,Edgar Leduc,Liberal
Joliette—l'Assomption—Montcalm,Maurice Breton,Liberal
Kamouraska,Arthur Massé,Independent Liberal
Labelle,Gustave Roy,Liberal
Lac-Saint-Jean,André Gauthier,Liberal
Lafontaine,J.-Georges Ratelle,Liberal
Lapointe,Fernand Girard,Independent
Laurier,J.-Eugène Lefrançois,Liberal
Laval,Léopold Demers,Liberal
Lévis,Maurice Bourget,Liberal
Longueuil,Auguste Vincent,Canadian Liberals
Lotbinière,Hugues Lapointe,Canadian Liberals
Maisonneuve—Rosemont,Jean-Paul Deschatelets,LPC
Matapédia—Matane,Léandre Thibault,Grits
Mégantic,Joseph Lafontaine,Canadian Liberals
Mercier,Marcel Monette,LPC
Montmagny—L'Islet,Jean Lesage,Liberal
Mount Royal,Alan Macnaughton,Liberal
Nicolet—Yamaska,Maurice Boisvert,LPC
Notre-Dame-de-Grâce,William McLean Hamilton,Progressive Conservative
Outremont—St-Jean,Romuald Bourque,LPC
Papineau,Adrien Meunier,Independent Liberal
Pontiac—Témiscamingue,Hugh Proudfoot,Liberal
Portneuf,Pierre Gauthier,Liberal
Québec—Montmorency,Wilfrid Lacroix,Liberal
Quebec East,Louis St. Laurent,LPC
Quebec South,Charles Gavan Power (until 28 July 1955 Senate appointment),Liberal
Quebec South,Francis (Frank) Gavan Power (by-election of 26 September 1955),Liberal
Quebec West,J.-Wilfrid Dufresne,Progressive Conservative
Richelieu—Verchères,Lucien Cardin,Liberal
Richmond—Wolfe,Ernest-Omer Gingras,Liberal
Rimouski,Gérard Légaré,Liberal
Roberval,Georges Villeneuve,Liberal
Saguenay,Lomer Brisson,Liberal
St. Ann,Thomas Healy,Grits
Saint-Antoine—Westmount,Douglas Abbott (until 1 July 1954 emoulment appointment),Canadian Liberals
Saint-Antoine—Westmount,George Carlyle Marler (by-election of 8 November 1954),Liberal
Saint-Denis,Azellus Denis,Liberal
Saint-Henri,Joseph-Arsène Bonnier,Liberal
Saint-Hyacinthe—Bagot,Joseph Fontaine,Liberal
Saint-Jacques,Roland Beaudry,Liberal
Saint-Jean—Iberville—Napierville,Alcide Côté (died 7 August 1955),Liberal
Saint-Jean—Iberville—Napierville,J.-Armand Ménard (by-election of 19 December 1955),Canadian Liberals
St. Lawrence—St. George,Brooke Claxton (resigned 31 July 1954),Liberal
St. Lawrence—St. George,Claude Richardson (by-election of 8 November 1954),Canadian Liberals
Sainte-Marie,Hector Dupuis,Liberal
Saint-Maurice—Laflèche,Joseph-Adolphe Richard,Liberal
Shefford,Marcel Boivin,Grits
Sherbrooke,Maurice Gingues,LPC
Stanstead,Louis-Édouard Roberge,Liberal
Témiscouata,Jean-François Pouliot (until 28 July 1955 Senate appointment),Liberal
Témiscouata,Jean-Paul St. Laurent (by-election of 26 September 1955),LPC
Terrebonne,Lionel Bertrand,Canadian Liberals
Trois-Rivières,Léon Balcer,Progressive Conservative
Vaudreuil—Soulanges,Louis-René Beaudoin,Liberal
Verdun,Paul-Émile Côté (until 1 January 1954 emoulment appointment),Canadian Liberals
Verdun,Yves Leduc (by-election of 22 March 1954),Liberal
Villeneuve,Armand Dumas,Canadian Liberals
