col0,col1,col2,col3,col4
1,Jaws,"Dale Earnhardt, Inc.",Chevrolet,Pennzoil
2,"Russell William Wallace, Jr.",Penske-Kranefuss Racing,Ford Motor,Miller Lite
3,Ralph Dale Earnhardt Sr.,Richard Childress Racing,Chevy,GM Goodwrench Service Plus
4,Bobby Hamilton,Morgan-McClure Motorsports,Chevy,Eastman Kodak Company of New Jersey
5,Terry Labonte,Hendrick Motorsports,Chevy,Kellogg's Blasted Froot Loops
6,Mark Martin,Roush Racing,Ford,Valvoline
7,Geoff Bodine,Mattei Motorsports,Ford,Philips
8,Morgan Shepherd,Stavola Brothers Racing,Chevy,Circuit City
9,Lake Speed,Melling Racing,Ford,Cartoon Network Happy Birthday NASCAR!
10,Ricky Rudd,Rudd Performance Motorsports,Ford,Tide
11,Brett Bodine,Brett Bodine Racing,Ford Motor,Paychex
12,Jeremy Mayfield,Penske-Kranefuss Racing,Ford,Mobil 1
13,Jerry Nadeau (R),Elliott-Marino Racing,Ford Motor Co.,FirstPlus Financial Group
16,Ted Musgrave,Roush Racing,Ford Motor,PrimeStar
18,Bobby Labonte,Joe Gibbs Racing,Pontiac,Interstate Batteries
19,Tony Raines,Roehrig Motorsports,Ford Motor,Yellow Transportation
21,Michael Waltrip,Wood Brothers Racing,Ford,Citgo
22,Ward Burton,Bill Davis Racing,Pontiac,MBNA
23,Jimmy Spencer,Haas-Carter Motorsports,Ford,Winston No Bull
24,Jeff Gordon,Hendrick Motorsports,Chevy,DuPont
26,Johnny Benson Jr.,Roush Racing,Ford,"Cheerios, Pop Secret"
28,Kenny Irwin Jr. (R),Robert Yates Racing,Ford,"Texaco, Havoline"
30,Derrike Cope,Bahari Racing,Pontiac,Gumout
31,Mike Skinner,Richard Childress Racing,Chevy,Lowe's
33,Ken Schrader,Andy Petree Racing,Chevy,Skoal
35,Todd Bodine,ISM Racing,Pontiac,Tabasco
36,Ernie Irvan,MB2 Motorsports,Pontiac,Skittles
40,Sterling Marlin,Team SABCO,Chevy,Coors Light
41,Steve Grissom,Larry Hedrick Motorsports,Chevy,Kodiak
42,Joe Nemechek,Team SABCO,Chevy,BellSouth
43,John Andretti,Petty Enterprises,Pontiac,STP
44,Kyle Petty,Petty Enterprises,Pontiac,Hot Wheels
46,Jeff Green,Team SABCO,Chevy,First Union
50,Wally Dallenbach Jr.,Hendrick Motorsports,Chevrolet,Budweiser
71,Dave Marcis,Marcis Auto Racing,Chevy,Team Realtree Camouflage
75,Rick Mast,Butch Mock Motorsports,Ford,Remington Arms
77,Robert Pressley,Jasper Motorsports,Ford,Jasper Engines & Transmissions
78,Gary Bradberry,Triad Motorsports,Ford Motor,Pilot Travel Centers
81,Kenny Wallace,FILMAR Racing,FoMoCo,Square D
88,Dale Jarrett,Robert Yates Racing,FoMoCo,"Quality Care Service, Ford Credit"
90,Dick Trickle,Donlavey Racing,Ford,Heilig-Meyers
91,Kevin Lepage (R),LJ Racing,Chevrolet,LJ Racing
94,Bill Elliott,Elliott-Marino Racing,Ford Motor,McDonald's
96,Hut Stricklin,American Equipment Racing,Chevrolet,Caterpillar
97,Chad Little,Roush Racing,Ford,John Deere
98,Rich Bickle,Cale Yarborough Motorsports,Ford,Thorn Apple Valley
99,Jeff Burton,Roush Racing,Ford,Exide Batteries
