col0,col1,col2,col3
1992,Iskra Luhansk,Orbita Zaporizhzhia,Lokomotyv Dnipropetrovsk
1992-93,Orbita Zaporizhzhia,Iskra Luhansk,Krayan Odesa
1993-94,Iskra Luhansk,Orbita-ZAES Zaporizhzhia,AF Oleksandriya Bila Tserkva
1994-95,Iskra Luhansk,Orbita Zaporizhzhia,Dynamo-Jinestra Odesa
1995-96,Iskra Luhansk,Dynamo-Jinestra Odesa,Orbita-ZAES Zaporizhzhia
1996-97,Iskra Luhansk,Khimvolokno-Sporttekh Cherkasy,Dynamo-Jinestra Odesa
1997-98,Khimvolokno-Tryverton Cherkasy,Orbita Zaporizhzhia,Dynamo-Jinestra Odesa
1998-99,Iskra Luhansk,Khimvolokno-Kruh Cherkasy,Dynamo-Jinestra Odesa
1999-00,Khimvolokno-Kruh Cherkasy,Dynamo-Jinestra Odesa,Halychanka-Halexport Ternopil
2000-01,Dynamo-Jinestra Odesa,Dynamo-Kruh Cherkasy,Halychanka-Halexport Ternopil
2001-02,Dynamo-Jinestra Odesa,Dynamo-Kruh Cherkasy,ZDIA Zaporizhzhia
2002-03,Dynamo-Jinestra Odesa,ZDIA Zaporizhzhia,Kruh Cherkasy
2003-04,Dynamo-Jinestra Odesa,ZDIA Zaporizhzhia,Kruh Cherkasy
2004-05,Kruh Cherkasy,Jinestra Odesa,Khimvolokno Cherkasy
2005-06,Kruh Cherkasy,Halychanka-Halexport Ternopil,Severodonchanka Severodonetsk
2006-07,Kruh Cherkasy,Jinestra Odesa,Orbita-Universytet Zaporizhzhia
2007-08,Kruh Cherkasy,Jinestra Odesa,Halychanka-Halexport Ternopil
2008-09,Severodonchanka Severodonetsk,Kruh Cherkasy,Halychanka-Dynamo-TNEU Ternopil
2009-10,Halychanka-Dynamo-TNEU Ternopil,Jinestra Odesa,Kruh Cherkasy
2010-11,Khimik Yuzhne,Jinestra Odesa,Severodonchanka Severodonetsk
2011-12,Khimik Yuzhne,Volyn Lutsk,Severodonchanka Severodonetsk
2012-13,Khimik Yuzhne,Volyn Lutsk,Orbita-Universytet Zaporizhzhia
2013-14,Khimik Yuzhne,Severodonchanka Severodonetsk,Orbita-Universytet Zaporizhzhia
2014-15,Khimik Yuzhne,Severodonchanka Severodonetsk,Orbita-Universytet Zaporizhzhia
2015-16,Khimik Yuzhne,Orbita-Universytet Zaporizhzhia,Severodonchanka Severodonetsk
2016-17,Khimik Yuzhne,Bilozgar-MedUniversytet Vinnytsia,Volyn Universytet-Odyussh Lutsk
2017-18,Khimik Yuzhne,Volyn Universytet-Odyussh Lutsk,Halychanka-TNEU Gadz Ternopil
2018-19,Khimik Yuzhne,Orbita-Universytet Zaporizhzhia,Volyn Universytet-Odyussh Lutsk
2019-20,Prometey Kamianske,Khimik Yuzhne,Halychanka-TNEU Gadz Ternopil
