col0,col1
:Category:Maharashtra,"Y --   TinuCherian       (Wanna Talk?)    - 08:50, 15 June 2008 (UTC)"
:Category:1993 Bombay bombings,"Y -- Gaurav (talk) 12:38, 15 June 2008 (UTC)"
:Category:Affiliates of University of Mumbai,"Y -- Gaurav (talk) 12:38, 15 June 2008 (UTC)"
:Category:Akola,"Y, recommend deletion -- Gaurav (talk) 16:31, 16 June 2008 (UTC)"
:Category:Battles involving the Maratha Empire,"Y -- Gaurav (talk) 12:38, 15 June 2008 (UTC)"
:Category:Berar,"Y, recommend rename/cleanup -- Gaurav (talk) 16:31, 16 June 2008 (UTC)"
:Category:Buildings and structures in Maharashtra,"Y -- Gaurav (talk) 12:38, 15 June 2008 (UTC)"
:Category:Buildings and structures in Mumbai,"Y -- Gaurav (talk) 12:38, 15 June 2008 (UTC)"
:Category:Buldhana district,"Y -- Gaurav (talk) 16:31, 16 June 2008 (UTC)"
:Category:Caves around Mumbai,"Y -- Gaurav (talk) 12:38, 15 June 2008 (UTC)"
:Category:Chandrapur,"Y, recommend rename -- Gaurav (talk) 16:31, 16 June 2008 (UTC)"
:Category:Chief Ministers of Maharashtra,"Y -- Gaurav (talk) 12:38, 15 June 2008 (UTC)"
:Category:Churches in Mumbai,"Y -- Gaurav (talk) 12:38, 15 June 2008 (UTC)"
:Category:Cities and towns in Maharashtra,"Y -- Gaurav (talk) 12:38, 15 June 2008 (UTC)"
:Category:Culture of Maharashtra,"Y -- Gaurav (talk) 12:38, 15 June 2008 (UTC)"
:Category:Districts of Maharashtra,"Y -- Gaurav (talk) 12:38, 15 June 2008 (UTC)"
:Category:Divisions of Maharashtra,"Y -- Gaurav (talk) 12:38, 15 June 2008 (UTC)"
:Category:Education in Maharashtra,"Y -- Gaurav (talk) 12:38, 15 June 2008 (UTC)"
:Category:Education in Mumbai,"Y -- Gaurav (talk) 12:38, 15 June 2008 (UTC)"
:Category:Education in Nagpur,"Y -- Gaurav (talk) 12:38, 15 June 2008 (UTC)"
:Category:Education in Navi Mumbai,"Y -- Gaurav (talk) 12:38, 15 June 2008 (UTC)"
:Category:Education in Pune,"Y -- Gaurav (talk) 12:38, 15 June 2008 (UTC)"
:Category:Engineering colleges in Mumbai,"Y -- Gaurav (talk) 12:38, 15 June 2008 (UTC)"
:Category:Engineering colleges in Pune,"Y -- Gaurav (talk) 12:38, 15 June 2008 (UTC)"
:Category:Former railway stations in Mumbai,"Y -- Gaurav (talk) 12:38, 15 June 2008 (UTC)"
:Category:Forts around Mumbai,"Y -- Gaurav (talk) 12:38, 15 June 2008 (UTC)"
:Category:Forts in Maharashtra,"Y -- Gaurav (talk) 12:38, 15 June 2008 (UTC)"
:Category:Geography of Maharashtra,"Y -- Gaurav (talk) 12:38, 15 June 2008 (UTC)"
:Category:Geography of Mumbai,"Y -- Gaurav (talk) 12:38, 15 June 2008 (UTC)"
:Category:Government of Maharashtra,"Y -- Gaurav (talk) 12:38, 15 June 2008 (UTC)"
:Category:Government of Mumbai,"Y -- Gaurav (talk) 12:38, 15 June 2008 (UTC)"
:Category:Governors of Bombay,"Y -- Gaurav (talk) 12:38, 15 June 2008 (UTC)"
:Category:Governors of Maharashtra,"Y -- Gaurav (talk) 12:38, 15 June 2008 (UTC)"
:Category:Hindu temples in Maharashtra,"Y -- Gaurav (talk) 12:38, 15 June 2008 (UTC)"
:Category:History of Maharashtra,"Y -- Gaurav (talk) 12:38, 15 June 2008 (UTC)"
:Category:History of Mumbai,"Y -- Gaurav (talk) 12:38, 15 June 2008 (UTC)"
:Category:Hospitals in Mumbai,"Y -- Gaurav (talk) 12:38, 15 June 2008 (UTC)"
:Category:Hotels in Mumbai,"Y -- Gaurav (talk) 12:38, 15 June 2008 (UTC)"
:Category:Maharashtra cricketers,"Y -- Gaurav (talk) 12:38, 15 June 2008 (UTC)"
:Category:Maharashtra geography stubs,"Y -- Gaurav (talk) 12:38, 15 June 2008 (UTC)"
:Category:Maharashtra location articles needing coordinates,"Y -- Gaurav (talk) 12:38, 15 June 2008 (UTC)"
:Category:Maharashtra politicians,"Y -- Gaurav (talk) 12:38, 15 June 2008 (UTC)"
:Category:Maharashtrian Brahmin communities,"Y -- Gaurav (talk) 12:38, 15 June 2008 (UTC)"
:Category:Maharashtrian cuisine,"Y -- Gaurav (talk) 12:38, 15 June 2008 (UTC)"
:Category:Maratha Empire,"Y -- Gaurav (talk) 12:38, 15 June 2008 (UTC)"
:Category:Marathi-language newspapers,"Y -- Gaurav (talk) 12:38, 15 June 2008 (UTC)"
:Category:Marathi language,"Y -- Gaurav (talk) 12:38, 15 June 2008 (UTC)"
:Category:Marathi literature,"Y -- Gaurav (talk) 12:38, 15 June 2008 (UTC)"
:Category:Marathi people,"Y -- Gaurav (talk) 12:38, 15 June 2008 (UTC)"
:Category:Marathi poets,"Y -- Gaurav (talk) 12:38, 15 June 2008 (UTC)"
:Category:Marathi writers,"Y -- Gaurav (talk) 12:38, 15 June 2008 (UTC)"
:Category:Mayors of Mumbai,"Y -- Gaurav (talk) 12:38, 15 June 2008 (UTC)"
:Category:Medical colleges in Maharashtra,"Y -- Gaurav (talk) 12:38, 15 June 2008 (UTC)"
:Category:Mumbai,"Y -- Gaurav (talk) 12:38, 15 June 2008 (UTC)"
:Category:Mumbai civic officials,"Y -- Gaurav (talk) 12:38, 15 June 2008 (UTC)"
:Category:Mumbai cricketers,"Y -- Gaurav (talk) 12:38, 15 June 2008 (UTC)"
:Category:Mumbai culture,"Y -- Gaurav (talk) 12:38, 15 June 2008 (UTC)"
:Category:Mumbai Police,"Y -- Gaurav (talk) 12:38, 15 June 2008 (UTC)"
:Category:Mumbai radio stations,"Y -- Gaurav (talk) 12:38, 15 June 2008 (UTC)"
:Category:Nagpur,"Y -- Gaurav (talk) 12:38, 15 June 2008 (UTC)"
:Category:Nagpur district,"Y -- Gaurav (talk) 12:38, 15 June 2008 (UTC)"
:Category:Nagpur University Alumni,"Y -- Gaurav (talk) 12:38, 15 June 2008 (UTC)"
:Category:Nashik,"Y -- Gaurav (talk) 12:38, 15 June 2008 (UTC)"
:Category:Navi Mumbai,"Y -- Gaurav (talk) 12:38, 15 June 2008 (UTC)"
:Category:Neighbourhoods in Mumbai,"Y -- Gaurav (talk) 12:38, 15 June 2008 (UTC)"
:Category:Newspapers of Mumbai,"Y -- Gaurav (talk) 12:38, 15 June 2008 (UTC)"
:Category:Organisations based in Mumbai,"Y -- Gaurav (talk) 12:38, 15 June 2008 (UTC)"
:Category:P. L. Deshpande Plays,"Y -- Gaurav (talk) 12:38, 15 June 2008 (UTC)"
:Category:Parks in Mumbai,"Y -- Gaurav (talk) 12:38, 15 June 2008 (UTC)"
:Category:People from Maharashtra,"Y -- Gaurav (talk) 16:31, 16 June 2008 (UTC)"
:Category:People from Mumbai,"Y -- Gaurav (talk) 16:31, 16 June 2008 (UTC)"
:Category:People from Nagpur,"Y -- 16:31, 16 June 2008 (UTC)"
:Category:People from Pune,"Y -- 16:31, 16 June 2008 (UTC)"
:Category:Peshwa dynasty,"Y, recommend rename -- Gaurav (talk) 12:38, 15 June 2008 (UTC)"
:Category:Places of worship in Mumbai,"Y -- Gaurav (talk) 12:38, 15 June 2008 (UTC)"
:Category:Political parties in Maharashtra,"Y -- Gaurav (talk) 12:38, 15 June 2008 (UTC)"
:Category:Politics of Maharashtra,"Y -- Gaurav (talk) 12:38, 15 June 2008 (UTC)"
:Category:Pune,"Y -- Gaurav (talk) 12:38, 15 June 2008 (UTC)"
:Category:Railway stations in Maharashtra,"Y -- Gaurav (talk) 12:38, 15 June 2008 (UTC)"
:Category:Railway stations in Marathwada,"Y -- Gaurav (talk) 12:38, 15 June 2008 (UTC)"
:Category:Railway stations in Mumbai,"Y -- Gaurav (talk) 12:38, 15 June 2008 (UTC)"
:Category:Railway stations in Vidarbha,"Y -- Gaurav (talk) 12:38, 15 June 2008 (UTC)"
:Category:Regions of Maharashtra,"Y -- Gaurav (talk) 12:38, 15 June 2008 (UTC)"
:Category:Rivers of Maharashtra,"Y -- Gaurav (talk) 12:38, 15 June 2008 (UTC)"
:Category:Roads in Maharashtra,"Y -- Gaurav (talk) 12:38, 15 June 2008 (UTC)"
:Category:Schools in Maharashtra,"Y -- Gaurav (talk) 12:38, 15 June 2008 (UTC)"
:Category:Schools in Mumbai,"Y -- Gaurav (talk) 12:38, 15 June 2008 (UTC)"
:Category:Schools in Nashik,"Y -- Gaurav (talk) 12:38, 15 June 2008 (UTC)"
:Category:Sheriffs of Mumbai,"Y -- Gaurav (talk) 12:38, 15 June 2008 (UTC)"
:Category:Shiv Sena,"Y -- Gaurav (talk) 12:38, 15 June 2008 (UTC)"
:Category:Social groups of Maharashtra,"Y, recommend rename -- Gaurav (talk) 12:38, 15 June 2008 (UTC)"
:Category:Solapur,"Y -- Gaurav (talk) 12:38, 15 June 2008 (UTC)"
:Category:Sport in Mumbai,"Y -- Gaurav (talk) 16:31, 16 June 2008 (UTC)"
:Category:Streets in Mumbai,"Y -- Gaurav (talk) 12:38, 15 June 2008 (UTC)"
:Category:Suburbs of Mumbai,"Y -- Gaurav (talk) 12:38, 15 June 2008 (UTC)"
:Category:Tehsils in Maharashtra,"Y -- Gaurav (talk) 12:38, 15 June 2008 (UTC)"
:Category:Terrorism in Mumbai,"Y -- Gaurav (talk) 12:38, 15 June 2008 (UTC)"
:Category:Tourism in Maharashtra,"Y --   TinuCherian       (Wanna Talk?)    - 08:50, 15 June 2008 (UTC)"
:Category:Transport in Mumbai,"Y -- Gaurav (talk) 12:38, 15 June 2008 (UTC)"
:Category:Universities and colleges in Maharashtra,"Y --   TinuCherian       (Wanna Talk?)    - 08:50, 15 June 2008 (UTC)"
:Category:Universities and colleges in Mumbai,"Y --   TinuCherian       (Wanna Talk?)    - 08:50, 15 June 2008 (UTC)"
:Category:University of Mumbai,"Y -- Gaurav (talk) 12:38, 15 June 2008 (UTC)"
:Category:University of Pune,"Y -- Gaurav (talk) 12:38, 15 June 2008 (UTC)"
:Category:Vidarbha,"Y -- Gaurav (talk) 12:38, 15 June 2008 (UTC)"
:Category:Villages in Maharashtra,"Y -- Gaurav (talk) 12:38, 15 June 2008 (UTC)"
:Category:Visitor attractions in Mumbai,"Y, suggest rename -- Gaurav (talk) 12:38, 15 June 2008 (UTC)"
:Category:Wildlife sanctuaries of Maharashtra,"Y --   TinuCherian       (Wanna Talk?)    - 08:50, 15 June 2008 (UTC)"
