col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17
2006,Juho Hänninen,Mitsubishi Lancer Evo IX,MON,SWE,MEX,ESP,FRA,ARG,ITA,GRE,GER,,,,,NC,0
2007,RRE Sports,Mitsubishi Lancer Evo IX,MON,SWE,,,,ARG,,GRE,,,NZL,,,22nd,1
2007,Juho Hänninen,Mitsubishi Lancer WRC 05,,,NOR,MEX,POR,,ITA,,FIN,GER,,,,22nd,1
2008,ACMS,Mitsubishi Lancer Evo IX,MON,SWE,MEX,ARG,JOR,ITA,GRE,TUR,FIN,GER,NZL,,,19th,1
2009,Juho Hänninen,Škoda Fabia S2000,IRE,NOR,CYP,POR,ARG,ITA,GRC,POL,FIN,AUS,ESP,GBR,,NC,0
WRC 2010,Juho Hänninen,Škoda Fabia S2000,SWE,MEX,JOR,TUR,NZL,POR,BUL,FIN,GER,JPN,FRA,ESP,GBR,20th,2
2011,Red Bull Škoda,Škoda Fabia S2000,SWE,MEX,POR,JOR,ITA,ARG,GRE,FIN,GER,AUS,FRA,ESP,GBR,16th,14
WRC 2013,QWRT,Ford Fiesta RS WRC,MON,SWE,MEX,POR,ARG,GRE,ITA,,,,,,,15th,8
2013,Juho Hänninen,Ford Fiesta RS WRC,,,,,,,,FIN,GER,AUS,FRA,ESP,GBR,15th,8
WRC 2014,Hyundai Shell World Rally Team,i20 WRC V8,MON,SWE,MEX,POR,ARG,ITA,POL,2014 Rally Finland,GER,AUS,FRA,ESP,GBR,13th,20
2015,Juho Hänninen,Ford Fiesta RS WRC,MON,SWE,MEX,ARG,POR,ITA,POL,FIN,GER,AUS,FRA,ESP,GBR,14th,8
2017,Toyota Gazoo Racing WRT,Toyota Yaris WRC,MON,SWE,MEX,FRA,37º Rally Argentina,51º Vodafone Rally de Portugal,ITA,POL,FIN,GER,ESP,GBR,AUS,9th,71
2019,Tommi Mäkinen Racing,Toyota Yaris WRC,MON,SWE,MEX,FRA,ARG,1. Copec Rally Chile,POR,ITA,FIN,GER,TUR,GBR,ESP,NC,0
