col0,col1
Moshe Arens,Likud Party
Yoram Aridor,Consolidation
Elyakim Badian,Likud
Menachem Begin,Likud
Yitzhak Berman,Consolidation
Geula Cohen,Likud Party
Meir Cohen-Avidov,Likud
Yigal Cohen-Orgad,Likud
Yigal Cohen,Likud-National Liberal Movement
Haim Corfu,Consolidation
Michael Dekel,Likud
Sarah Doron,Likud-National Liberal Movement
Simha Erlich,Likud
Yehezkel Flomin,Likud
Pesah Grupper,Likud (politická strana)
Yigal Hurvitz,Likud
Moshe Katsav,Likud
Avraham Katz,Likud
Haim Kaufman,Likud-National Liberal Movement
David Levy,Likud
Amnon Linn,Likud
Eitan Livni,Likud (politická strana)
Moshe Meron,Likud
Roni Milo,Likud
Yitzhak Moda'i,Likud
Amal Nasser el-Din,Likud
Moshe Nissim,Likud
Ehud Olmert,Likud Party
Gideon Patt,Likud
Yitzhak Peretz,Likud
Shmuel Rechtman,Likud Party
Yosef Rom,Likud-National Liberal Movement
Menachem Savidor,Likud (politická strana)
Hillel Seidel,Likud
Moshe Shamir,Likud (politická strana)
Yitzhak Shamir,Likud
Avraham Sharir,Likud
Dov Shilansky,Consolidation
Eliezer Shostak,Likud
Zalman Shoval,Likud
Yosef Tamir,Consolidation
Mordechai Tzipori,Likud
Ezer Weizman,Likud
Yigal Allon,Alignment
Moshe Amar,Alignment
Jacques Amir,Alignment
Adiel Amorai,Alignment
Haim Bar-Lev,Alignment
Uzi Baram,Alignment
Moshe Dayan,Alignment
Abba Eban,Alignment
Tamar Eshel,Alignment
Naftali Feder,Alignment
Haika Grossman,Alignment
Menachem Hacohen,Alignment
Amos Hadar,Alignment
Michael Harish,Alignment
Shlomo Hillel,Alignment
Yeruham Meshel,Alignment
Eliyahu Moyal,Alignment
Ora Namir,Alignment
Yitzhak Navon,Alignment
Shimon Peres,Alignment
Yitzhak Rabin,Alignment
Yehoshua Rabinovitz,Alignment
Daniel Rosolio,Alignment
Yossi Sarid,Alignment
Moshe Shahal,Alignment
Eliyahu Speiser,Alignment
Meir Talmi,Alignment
Gad Yaacobi,Alignment
Aharon Yadlin,Alignment
Yehezkel Zakai,Alignment
Haim Yosef Zadok,Alignment
Shafik Assad,Democratic Movement for Change
Zeidan Atashi,Democratic Movement for Change
Mordechai Elgrably,Democratic Movement for Change
David Golomb,Democratic Movement for Change
Binyamin Halevi,Democratic Movement for Change
Akiva Nof,Democratic Movement for Change
Amnon Rubinstein,Democratic Movement for Change
Shmuel Tamir,Democratic Movement for Change
Shmuel Toledano,Democratic Movement for Change
Mordechai Virshubski,Democratic Movement for Change
Stef Wertheimer,Democratic Movement for Change
Yigael Yadin,Democratic Movement for Change
Assaf Yaguri,Democratic Movement for Change
Meir Zorea,Democratic Movement for Change
Aharon Abuhatzira,National Religious Party
Eliezer Avtabi,National Religious Party
Yehuda Ben-Meir,National Religious Party
Yosef Burg,National Religious Party
Haim Drukman,National Religious Party
David Glass,National Religious Party
Zevulun Hammer,National Religious Party
Avraham Melamed,National Religious Party
Ben-Zion Rubin,National Religious Party
Pinhas Scheinman,National Religious Party
Sara Stern-Katan,National Religious Party
Zerach Warhaftig,National Religious Party
Charlie Biton,Hadash
Hanna Mwais,Hadash
Tawfik Toubi,Hadash
Meir Vilner,Hadash
Tawfiq Ziad,Hadash
Yehuda Meir Abramovicz,Agudat Yisrael
Shlomo-Ya'akov Gross,Agudat Yisrael
Shlomo Lorincz,Agudat Yisrael
Menachem Porush,Agudat Yisrael
Aryeh Eliav,Left Camp of Israel
Meir Pa'il,Left Camp of Israel
Ariel Sharon,Shlomtzion
Yitzhak Yitzhaky,Shlomtzion
Shmuel Flatto-Sharon,Development and Peace
Shulamit Aloni,Ratz
Gideon Hausner,Independent Liberals
Kalman Kahana,Poalei Agudat Yisrael
Seif el-Din el-Zoubi,United Arab List
