col0,col1,col2,col3,col4,col5
MF,Scott Allan,Hibernian,End of contract,Summer,Free
DF,Dedryck Boyata,Hertha BSC,End of contract,Summer,Free
MF,Regan Hendry,Raith Rovers,End of contract,Summer,Free
GK,Reece Willison,Airdrieonians,End of contract,Summer,Free
DF,Mikael Lustig,Gent,End of contract,Summer,Free
DF,Wallace Duffy,St Johnstone,End of contract,Summer,Free
DF,Marvin Compper,MSV Duisburg,Released,Summer,Free
MF,Dylan Forrest,Hamilton Academical,End of contract,Summer,Free
GK,Dorus de Vries,Retired,Retired,Retired,Retired
FW,PJ Crossan,Dumbarton,End of contract,Summer,Free
GK,Ross Doohan,Ayr United,Loan,Summer,Loan
DF,Andrew Gutman,FC Cincinnati,Loan,Summer,Loan
DF,Kieran Tierney,Arsenal,Transfer,Summer,"£25,000,000"
MF,Kristi Marku,Airdrieonians,End of contract,Summer,Free
DF,Daniel Church,East Fife,Loan,Summer,Loan
DF,Robbie Deas,Alloa Athletic,Loan,Summer,Loan
DF,Emilio Izaguirre,Motagua,End of contract,Summer,Free
DF,Cristian Gamboa,VfL Bochum,End of contract,Summer,Free
DF,Stephen Welsh,Greenock Morton,Loan,Summer,Loan
DF,Anthony Ralston,St Johnstone,Loan,Summer,Loan
MF,Ewan Henderson,Ross County,Loan,Summer,Loan
FW,Jack Aitchison,Forest Green Rovers,Loan,Summer,Loan
FW,Kieran McGrath,East Kilbride,Loan,Summer,Loan
MF,David McKay,BSC Glasgow,Loan,Loan,Loan
DF,Lewis Bell,BSC Glasgow,End of contract,Summer,Free
FW,Connor McBride,Stenhousemuir,Loan,Loan,Loan
GK,Conor Hazard,Dundee,Emergency Loan,Emergency Loan,Emergency Loan
MF,Ross McLaughlin,Unattached,End of contract,Summer,Free
MF,Youssouf Mulumbu,Unattached,Released,Summer,Free
FW,Thomas Caffrey,Unattached,End of contract,Summer,Free
FW,Ciaran Diver,Unattached,End of contract,Summer,Free
MF,Scott Sinclair,Preston North End,Transfer,Winter,Undisclosed
DF,Lee O'Connor,Partick Thistle,Loan,Winter,Loan
DF,Jack Hendry,Melbourne City,Loan,Winter,Loan
MF,Eboue Kouassi,Genk,Loan,Winter,Loan
GK,Conor Hazard,Dundee,Loan,Winter,Loan
FW,Jonathan Afolabi,Dunfermline Athletic,Loan,Winter,Loan
MF,Lewis Morgan,Inter Miami,Transfer,Winter,Undisclosed
MF,Grant Savoury,Edinburgh City,Loan,Winter,Loan
DF,Manny Perez,North Carolina FC,Loan,Loan,Loan
MF,Leo Mazis,Triestina,Transfer,Transfer,Free
