col0,col1,col2,col3
2010,Neta-Lee Herschlag,Black Swan,Nina Sayers
2010,Nicole Kidman,Rabbit Hole,Rebecca Becca Corbett
2010,Jennifer Lawrence,Winter's Bone,Ree
2010,Noomi Rapace,The Girl with the Dragon Tattoo,Lisbeth Salander
2010,Naomi Watts,Fair Game,Valerie Plame
2011,Rooney Mara,The Girl with the Dragon Tattoo,Lisbeth Salander
2011,Viola Davis,The Help,Aibileen Clarke
2011,Elizabeth Olsen,Martha Marcy May Marlene,Martha
2011,Saoirse Ronan,Hanna,Hanna
2011,Meryl Streep,The Iron Lady,Margaret Thatcher
2011,Michelle Williams,My Week with Marilyn,Marilyn Monroe
2012,Jessica Chastain,Zero Dark Thirty,Maya Harris
2012,JLaw,Silver Linings Playbook,Tiffany Maxwell
2012,Helen Mirren,Hitchcock,Alma Reville
2012,Aubrey Plaza,Safety Not Guaranteed,Darius Britt
2012,Quvenzhané Wallis,Beasts of the Southern Wild,Hushpuppy
2013,Cate Blanchett,Blue Jasmine,Jeanette Jasmine Francis
2013,Amy Adams,American Hustle,Sydney Prosser / Lady Edith Greensly
2013,Sandra Bullock,Gravity,Dr. Ryan Stone
2013,Judi Dench,Philomena,Philomena Lee
2013,Meryl Streep,August: Osage County,Violet Weston
2013,Emma Thompson,Saving Mr. Banks,P. L. Travers
2014,Rosamund Pike,Gone Girl,Amy Elliot Dunne
2014,Marion Cotillard,"Two Days, One Night",Sandra Bya
2014,Felicity Jones,The Theory of Everything,Jane Hawking
2014,Julianne Moore,Still Alice,Alice Daly Howland
2014,Reese Witherspoon,Wild,Cheryl Strayed
2015,Brie Larson,Room,Joy Ma Newsome
2015,Cate Blanchett,Carol,Carol Aird
2015,Saoirse Ronan,Brooklyn,Eilis Lacey
2015,Charlize Theron,Mad Max: Fury Road,Imperator Furiosa
2015,Alicia Vikander,The Danish Girl,Gerda Wegener
2016,Isabelle Huppert,Elle,Michèle Leblanc
2016,Amy Adams,Arrival,Louise Banks
2016,Ruth Negga,Loving,Mildred Delores Loving
2016,Natalie Portman,Jackie,Jackie Kennedy
2016,Emma Stone,La La Land,Mia Dolan
2017,Frances McDormand,"Three Billboards Outside Ebbing, Missouri",Mildred Hayes
2017,Sally Hawkins,The Shape of Water,Elisa Esposito
2017,Saoirse Ronan,Lady Bird,Christine Lady Bird McPherson
2017,Kristen Stewart,Personal Shopper,Maureen Cartwright
2017,Meryl Streep,The Post,Katharine Graham
2018,Toni Collette,Hereditary,Annie Graham
2018,Glenn Close,The Wife,Joan Castleman
2018,Olivia Colman,The Favourite,Queen Anne
2018,Lady Gaga,A Star is Born,Ally Maine
2018,Charlize Theron,Tully,Marlo Moreau
2019,Scarlett Johansson,Marriage Story,Nicole Barber
2019,Cynthia Erivo,Harriet,Harriet Tubman
2019,Saoirse Ronan,Little Women,Josephine Jo March
2019,Charlize Theron,Bombshell,Megyn Kelly
2019,Renée Zellweger,Judy,Judy Garland
