col0,col1
1,"Taiyuan, 1937 - Iwo Jima, 1944"
2,"Iwo Jima, 1944"
3,"North China, 1941-1945, 1st Army"
4,"Taiyuan, 1943"
5,"Shandong, 1939-1941, 12th Army"
6,"Taiyuan, 1941-1943, 12th Army"
7,"1941, 12th army - 1944, Henan"
8,"North China, 1941 - Chengde, 1945"
9,"North China, 1941"
10,"Jinan, 1941, 12th Army"
11,"Taiyuan, 1937; Battle of West Henan-North Hubei, 1945"
12,"Taiyuan, 1937,   Chuzhou, 1939"
13,"Lu'an, 1943"
14,"Jiangxi, 1942"
15,"Taiyuan, 1937"
16,"Linfen, 1942"
17,"1941, 13th Army - 1945, 6th Area Army"
18,"Dangyang, 1940"
19,"Guangzhou, 1941, 23rd Army"
20,"Ningbo, 1942"
21,"French Indochina, 1941"
22,"Guangzhou, 1941, 23rd Army"
23,"1945, 23rd Army"
24,"Myitkyina, 1944"
25,"Sumatra, January 1944, 25th Army 25th Independent Mixed Brigade (Ban)"
26,"south Sumatra, January 1944, 25th Army - Singapore, May 1945 26th Independent Mixed Brigade (Gaku)"
27,"Jakarta, 1944, 16th Army"
28,"eastern Java, 1944, 16th Army 28th Independent Mixed Brigade (Kei)"
29,"Bangkok, December 1943 - Prachuap Khiri Khan Province, August 1944 29th Independent Mixed Brigade (Tai)"
30,"Shanghai, 1943 - Mindanao, 1944 IJA Landing Craft Depot Ship SHINSHU MARU: Tabular Record of Movement"
31,"Bohol, June 1944 IJN LST T.101: Tabular Record of Movement"
32,"Baguio, July 1943 103rd Division (Shun)"
33,"Luzon, 1944 IJN TEIA MARU: Tabular Record of Movement"
34,"Nanjing, 1943 - Saigon, 1944 34th Independent Mixed Brigade (Iku)"
35,"Tokyo, 1944 - Andaman Islands, 1945, 29th Army"
36,"Tokyo, 1944 - Nicobar Islands, 1945, 29th Army"
37,"Osaka, 1944 - Malaysia, 1945, 29th Army"
38,"Bouganville, 1944"
39,"Solomon Islands, 1944 - 1945, 41st Army"
40,"Solomon Islands, 1944"
43,"Iturup, 1945"
44,"Okinawa, 1945"
45,"Okinawa, 1945"
