col0,col1,col2,col3
A. B.,criteria,process,"For now, I am committed to using the same process Lar has laid out so meticulously at User:Lar/Accountability"
AGK,process,process,"File an RFC; if that holds that there are concerns, I will submit to a reconfirmation-RFA; and if that fails, I will resign.  (May 2008; updated Sept. 2012)"
AnonEMouse,criteria,process,"Shame that something so simple has to be converted into party of the first part shall be referred to as the party of the first part..., but so it goes."
Arjun01,criteria,process,For now at least I am going to using the same processes that Lar has described. In a well explained process I might add. Simple
Barneca,criteria,process,"Pretty simple.  An admin conduct RfC can escalate into a recall if 4 users in good standing indicate I should resign.
:Added an alternate process that I stole from Ed Poor's RfA: I'll resign if 4 of my RFA supporters request it."
Bigtimepeace,criteria and process,criteria and process,Admin recall should be a fairly simple process with minimal bureaucracy—i.e. not a big deal. Basic idea and formatting on my page is blatantly stolen from Shell Kinney. I hope I can simplify it further in the future.
Cailil,criteria and process,criteria and process,Inspired by SirFozzie's criteria & process.
Ddstretch,criteria and process,criteria and process,"Home-grown, but Firsfron's simple criteria was the starting point."
Dppowell,Criteria and process,Criteria and process,"Adapted from Alison (and, by extension, Lar and Fvasconcellos)."
Epbr123,criteria,process,I'll stand for a reconfirmation RfA if a user I respect advises that I should.
EVula,criteria,process,"Pretty straight-forward, and gives the requesting editor a decent shot at having me de-sysopped if I deserve it."
Fetchcomms,criteria,process,Not to be abused.
Friday,some thoughts,,"Start an RFC-like discussion.  If there is significant consensus that I've been misusing the tools and should give them up, that's what I'll do."
GermanJoe,criteria and process,criteria and process,RfC-based process with an initial talkpage phase.
Hersfold,criteria and process,criteria and process,Based kinda loosely on Lar's - and I swear on pain of indefinite blocking that I shall abide by that process should it be started.
hmwith,"process, criteria, & such","process, criteria, & such",Admin user conduct RfC (inspired by Barneca).
Jackmcbarn,criteria and process,criteria and process,"One initiator, two certifiers, and then a 2-week RfA-like discussion."
Jayvdb,criteria and process,criteria and process,"Marked as temporary pending a formal arbitrator recall process, eligibility is from functionaries, supporters, or those who have made significant contributions to Wikisource, once 5 eligible ask, steps down as arb and stands for new RfA."
Jennavecia,criteria,process,"Designed by taking those of EVula, SirFozzie and Lar and smushing them together. :D"
kbthompson,criteria,process,"Lar's process seems fine for now. Should I find a better one, or a wider consensus emerge, I reserve the right to change my choice."
Kirill Lokshin,criteria,process,Very simple; the basic idea is borrowed from Shell Kinney.
Kwsn,criteria,process,Simply using Lar's method.
Luna Santin,criteria,process,"Composed after reviewing the work of other admins in the category, but is especially based on the subpages created by Lar and Alison (whose in turn is based on Fvasconcellos's)"
Mtmelendez,criteria,process,It's simpler than it looks.
Nancy,criteria,process,Like Pedro's but with a longer self-selected list of potential participants.
Persian Poet Gal,criteria,process,"I am comfortable with what Lar has put together, may customize my criteria in the future."
Revolving Bugbear,criteria,process,"I plan to write my own criteria at some point, but until then, I will use Lar's."
RHM22,criteria and process,criteria and process,I will voluntarily relinquish all administrative privileges if petitioned to by four members in good standing.
Riana,criteria,process,"Not as liberal as I'd like it to be, I'll try revising it in the coming days. Any feedback welcome :)"
Royalguard11,criteria,process,To the point I think.
Sean William,criteria,process,"Short, simple, to the point."
Singularity,criteria,process,Should be relatively simple...actually a combination of User:David Fuchs's and User:Husond's criteria.
Tbo 157,criteria,process,Will resign or start an RfC.  Consensus will be judged by an uninvolved trusted user selected by the clerk.
Tim Vickers,criteria,process,Simple approach from Firsfron
Walton One,criteria and process,criteria and process,My own distinct criteria and process. I will step down on the request of any three users in good standing.
WGFinley,criteria and process,criteria and process,Blatantly stolen from AGK involving RFCU
xDanielx,criteria and process,criteria and process,Fairly typical; involves RFCU
