col0,col1,col2
W. A. Weir,Liberal,Argenteuil
Paul Tourigny,Quebec Liberal Party,Arthabaska
Frederic-Hector Daigneault,Liberal,Bagot
Arthur Godbout,Quebec Liberal Party,Beauce
Arthur Plante,Conservative,Beauharnois
Adélard Turgeon,PLQ,Bellechasse
Joseph Lafontaine,Liberal,Berthier
John Hall Kelly,Quebec Liberal Party,Bonaventure
William Frederick Vilas,Liberal,Brome
Maurice Perrault,Liberal,Chambly
Pierre-Calixte Neault,Parti liberal du Quebec,Champlain
Pierre D'Auteuil,Conservative,Charlevoix
Hospice Dumtremble,Conservative,Châteauguay
Honoré Petit,Liberal,Chicoutimi et Saguenay
Allen Wright Girard,Conservative,Compton
Arthur Sauvé,Conservative,Deux-Montagnes
Alfred Morissett,Parti liberal du Quebec,Dorchester
Joseph Laferté,PLQ,Drummond
Louis-Joseph Lemieux,Liberal,Gaspé
Louis-Jérémie Décarie,Parti liberal du Quebec,Hochelaga
William H. Walker,PLQ,Huntingdon
Joseph-Aldéric Benoît,Quebec Liberal Party,Iberville
Louis-Albin Theriault,PLQ,Îles-de-la-Madeleine
Philémon Cousineau,Conservative,Jacques Cartier
Joseph-Mathias Tellier,Conservative,Joliette
Louis-Rodolphe Roy,Parti liberal du Quebec,Kamouraska
Theodore-Louis-Antoine Broet,Liberal,Lac St-Jean
Ésioff-Léon Patenaude,Conservative,Laprairie
Walter Reed,PLQ,L'Assomption
Joseph-Wenceslas Lévesque,PLQ,Laval
Jean-Cléophas Blouin,Liberal,Lévis
Joseph-Édouard Caron,Liberal,L'Islet
Joseph-Napoléon Francoeur,Parti liberal du Quebec,Lotbinière
Georges Lafontaine,Conservative,Maskinongé
Donat Caron,PLQ,Matane
David Henry Pennington,Conservative,Mégantic
Joseph-Jean-Baptiste Gosselin,Liberal,Missisquoi
Joseph Sylvestre,Conservative,Montcalm
,Armand Lavergne,Ligue nationaliste canadienne
Louis-Alexandre Taschereau,Liberal,Montmorency
Georges-Albini Lacombe,Liberal,Montréal division no. 1
,Henri Bourassa,Ligue nationaliste canadienne
Godfroy Langlois,Parti liberal du Quebec,Montréal division no. 3
John Thomas Finnie,Liberal,Montréal division no. 4
Charles Ernest Gault,Conservative,Montréal division no. 5
Denis Tansey,Conservative,Montréal division no. 6
Cyprien Dorris,Liberal,Napierville
Charles Ramsay Devlin,Quebec Liberal Party,Nicolet
Ferdinand-Ambroise Gendron,Liberal,Ottawa
Tancrède Charles Gaboury,Liberal,Pontiac
Lomer Gouin,Liberal,Portneuf
Cyrille Fraser Delage,PLQ,Québec-Comté
Amédée Robitaille,Parti liberal du Quebec,Québec-Centre
Louis-Alfred Létourneau,PLQ,Québec-Est
John Charles Kaine,PLQ,Québec-Ouest
Louis-Pierre-Paul Cardin,Parti liberal du Quebec,Richelieu
Peter Samuel George Mackenzie,Liberal,Richmond
Pierre-Émile D'Anjou,Parti liberal du Quebec,Rimouski
Alfred Girard,Quebec Liberal Party,Rouville
,Henri Bourassa,Ligue nationaliste canadienne
Gabriel Marchand III,Liberal,St. Jean
Georges-Isidore Delisle,Liberal,St. Maurice
Charles-Eugene Côté,Quebec Liberal Party,St. Sauveur
Ludger-Pierre Bernard,Conservative,Shefford
Pantaléon Pelletier,Liberal,Sherbrooke
Joseph-Octave Mousseau,Liberal,Soulanges
Prosper-Alfred Bissonnet,Liberal,Stanstead
Napoléon Dion,PLQ,Témiscouata
Jean Prévost,Liberal,Terrebonne
Joseph-Adolphe Tessier,Parti liberal du Quebec,Trois-Rivières
Hormisdas Pilon,Quebec Liberal Party,Vaudreuil
Amédée Geoffrion,Liberal,Verchères
Napoléon-Pierre Tanguay,Liberal,Wolfe
Guillaume-Édouard Ouellette,Liberal,Yamaska
