col0,col1,col2,col3,col4
00,Buckshot Jones,Buckshot Racing,Pontiac cars,Aquafresh
1,Morgan Shepherd,Precision Products Racing,Pontiac,R+L Carriers
2,Rusty Wallace,Penske Racing South,Ford,Miller Lite
3,Ralph Dale Earnhardt,Richard Childress Racing,Chevrolet,GM Goodwrench Service Plus
4,Sterling Marlin,Morgan-McClure Motorsports,Chevrolet,Kodak
5,Terry Labonte,Hendrick Motorsports,Chevy,Kellogg's Frosted Flakes
6,Mark Martin,Roush Racing,Ford,Valvoline
7,Geoff Bodine,Geoff Bodine Racing,Ford,QVC
8,Hut Stricklin,Stavola Brothers Racing,Ford,Circuit City
9,Lake Speed,Melling Racing,Ford,Advantage Camo
10,Ricky Rudd,Rudd Performance Motorsports,Ford Motor Corporation,Tide
11,Brett Bodine,Brett Bodine Racing,Ford Motor Co.,Brett Bodine Racing
14,Steve Park,"Dale Earnhardt, Inc.",Chevrolet,Burger King
16,Ted Musgrave,Roush Racing,Ford,"PrimeStar, The Family Channel"
17,Darrell Waltrip,Darrell Waltrip Motorsports,Chevy,Parts America
18,Bobby Labonte,Joe Gibbs Racing,Pontiac automobiles,Interstate Batteries
21,Michael Waltrip,Wood Brothers Racing,Ford,Citgo
22,Ward Burton,Bill Davis Racing,Pontiac,MBNA
23,Jimmy Spencer,Haas-Carter Motorsports,Ford,Camel Cigarettes
24,Jeff Gordon,Hendrick Motorsports,Chevy,DuPont
25,Ricky Craven,Hendrick Motorsports,Chevy,Budweiser
27,Kenny Irwin Jr.,David Blair Motorsports,Ford,"G.I. Joe, Winner's Circle"
28,Ernie Irvan,Robert Yates Racing,FoMoCo,"Texaco, Havoline"
29,Jeff Green (R),Diamond Ridge Motorsports,Chevrolet,"Cartoon Network, Tom and Jerry, Dexter's Laboratory, Cow and Chicken"
30,Johnny Benson Jr.,Bahari Racing,Pontiac,Pennzoil
31,Mike Skinner (R),Richard Childress Racing,Chevy,Lowe's
33,Ken Schrader,Andy Petree Racing,Chevy,Skoal
35,Todd Bodine,ISM Racing,Pontiac automobiles,Tabasco
36,Derrike Cope,MB2 Motorsports,Pontiac automobiles,Skittles
37,Jeremy Mayfield,Kranefuss-Haas Racing,Ford,Kmart
40,Greg Sacks,Team SABCO,Chevrolet,Coors Light
41,Steve Grissom,Larry Hedrick Motorsports,Chevrolet,Kodiak
42,Joe Nemechek,Team SABCO,Chevy,BellSouth
43,Bobby Hamilton,Petty Enterprises,Pontiac cars,STP
44,Kyle Petty,Petty Enterprises,Pontiac,Hot Wheels
46,Wally Dallenbach Jr.,Team SABCO,Chevrolet,First Union
71,Dave Marcis,Marcis Auto Racing,Chevy,Realtree
75,Rick Mast,Butch Mock Motorsports,Ford Motor,Remington Arms
77,Robert Pressley,Jasper Motorsports,Ford,"Jasper Engines & Transmissions, Federal-Mogul"
78,Gary Bradberry,Triad Motorsports,Ford Motors,Hanes
81,Kenny Wallace,FILMAR Racing,Ford,Square D
88,Dale Jarrett,Robert Yates Racing,Ford,"Quality Care Service, Ford Credit"
90,Dick Trickle,Donlavey Racing,Ford,Heilig-Meyers
91,Kevin Lepage,LJ Racing,Chevrolet,Pionite
94,Bill Elliott,Bill Elliott Racing,Ford Motor Co.,McDonald's
95,Ed Berrier,Sadler Brothers Racing,Chevrolet,Feed the Children
96,David Green (R),American Equipment Racing,Chevrolet,Caterpillar
97,Chad Little,Roush Racing,Pontiac,John Deere
98,John Andretti,Cale Yarborough Motorsports,Ford Motor Corporation,RCA
99,Jeff Burton,Roush Racing,Ford,Exide
