col0,col1,col2
Bahrain,Manama,OBBI
Bangladesh,Chittagong,VGEG
Bangladesh,Dhaka,Hazrat Shahjalal International Airport
China,Kwongchow,Guangzhou Baiyun International Airport
Egypt,Alexandria,Borg El Arab International Airport
Egypt,Cairo,Cairo International Airport
France,Paris,Charles de Gaulle Airport
Germany,Frankfurt,Frankfurt Airport
Germany,Munich,Munich Airport
Greece,Athens,Athens International Airport
India,Amritsar,Sri Guru Ram Dass Jee International Airport
India,Bengaluru,Kempegowda International Airport
India,Chennai,Chennai International Airport
India,Delhi,Indira Gandhi International Airport
India,Goa,Dabolim Airport
India,Goa,Manohar International Airport
India,Hyderabad,Rajiv Gandhi International Airport
India,Jaipur,Jaipur International Airport
India,Kochi,Cochin International Airport
India,Kolkata,Netaji Subhas Chandra Bose International Airport
India,Kozhikode,Calicut International Airport
India,Lucknow,Chaudhary Charan Singh International Airport
India,Mumbai,Chhatrapati Shivaji Maharaj International Airport
India,Thiruvananthapuram,Thiruvananthapuram International Airport
Indonesia,Jakarta,Soekarno-Hatta International Airport
Iran,Mashhad,Mashhad International Airport
Iran,Shiraz,Shiraz Shahid Dastgheib International Airport
Iran,Tehran,Tehran Imam Khomeini International Airport
Iraq,Najaf,Al Najaf International Airport
Italy,Milan,Milan Malpensa Airport
Jordan,Amman,Queen Alia International Airport
Kenya,Nairobi,Jomo Kenyatta International Airport
Kuwait,Kuwait City,Kuwait International Airport
Lebanon,Beirut,Beirut-Rafic Hariri International Airport
Malaysia,Kuala Lumpur,Kuala Lumpur International Airport
Maldives,Malé,Velana International Airport
Morocco,Casablanca,Mohammed V International Airport
Nepal,Kathmandu,Tribhuvan International Airport
Oman,Duqm,Duqm Airport
Oman,Khasab,Khasab Airport
Oman,Muscat,Muscat International Airport
Oman,Salalah,Salalah International Airport
Pakistan,Islamabad,Benazir Bhutto International Airport
Pakistan,Islamabad,Islamabad International Airport
Pakistan,Karachi,Jinnah International Airport
Pakistan,Lahore,Allama Iqbal International Airport
Philippines,Manila,Ninoy Aquino International Airport
Russia,Moscow,Moscow Domodedovo Airport
Russia,Moscow,Sheremetyevo International Airport
Qatar,Doha,Hamad International Airport
Saudi Arabia,Dammam,King Fahd International Airport
Saudi Arabia,Jeddah,King Abdulaziz International Airport
Saudi Arabia,Medina,Prince Mohammad bin Abdulaziz International Airport
Saudi Arabia,Riyadh,King Khalid International Airport
Singapore,Singapore,Changi Airport
Sri Lanka,Colombo,Bandaranaike International Airport
Switzerland,Zürich,Zürich Airport
Tanzania,Dar es Salaam,Julius Nyerere International Airport
Tanzania,Zanzibar,Abeid Amani Karume International Airport
Thailand,Bangkok,Suvarnabhumi Airport
Thailand,Phuket,Phuket International Airport
Turkey,Istanbul,Istanbul Airport
Turkey,Trabzon,Trabzon Airport
United Arab Emirates,Abu Dhabi,Zayed International Airport
United Arab Emirates,Dubai,Dubai International Airport
United Arab Emirates,Sharjah,Sharjah International Airport
United Kingdom,London,Heathrow Airport
United Kingdom,Manchester,Manchester Airport
