col0,col1
-1,Constitution Fourteenth Amendment Act of 2008
0,Constitution Fifteenth Amendment Act of 2008
1,"Choice on Termination of Pregnancy Amendment Act, 2008"
2,"Division of Revenue Act, 2008"
3,"Taxation Laws Amendment Act, 2008"
4,"Taxation Laws Second Amendment Act, 2008"
5,"National Regulator for Compulsory Specifications Act, 2008"
6,"Social Assistance Amendment Act, 2008"
7,"Repeal of the Black Administration Act and Amendment of Certain Laws Amendment Act, 2008"
8,"Standards Act, 2008"
9,"Appropriation Act, 2008"
10,"National Gambling Amendment Act, 2008"
11,"Financial Intelligence Centre Amendment Act, 2008"
12,"Cross-Border Road Transport Amendment Act, 2008"
13,"Special Pensions Amendment Act, 2008"
14,"South African Judicial Education Institute Act, 2008"
15,"Agricultural Debt Management Repeal Act, 2008"
16,"Social Housing Act, 2008"
17,"Human Sciences Research Council Act, 2008"
18,"Prohibition or Restriction of Certain Conventional Weapons Act, 2008"
19,"Local Government Laws Amendment Act, 2008"
20,"Judicial Service Commission Amendment Act, 2008"
21,"Air Services Licensing Amendment Act, 2008"
22,"Financial Services Laws General Amendment Act, 2008"
23,"Housing Development Agency Act, 2008"
24,"National Environmental Management: Integrated Coastal Management Act, 2008"
25,"Correctional Services Amendment Act, 2008"
26,"Technology Innovation Agency Act, 2008"
27,"Insurance Laws Amendment Act, 2008"
28,"Mineral and Petroleum Resources Royalty Act, 2008"
29,"Mineral and Petroleum Resources Royalty (Administration) Act, 2008"
30,"Renaming of High Courts Act, 2008"
31,"Jurisdiction of Regional Courts Amendment Act, 2008"
32,"Liquor Products Amendment Act, 2008"
33,"Refugees Amendment Act, 2008"
34,"National Energy Act, 2008"
35,"Diplomatic Immunities and Privileges Amendment Act, 2008"
36,"South African National Space Agency Act, 2008"
37,"Skills Development Amendment Act, 2008"
38,"Legal Succession to the South African Transport Services Amendment Act, 2008"
39,"Higher Education Amendment Act, 2008"
40,"Adjustments Appropriation Act, 2008"
41,"Eskom Subordinated Loan Special Appropriation Act (2008/09-2010/11 Financial Years), 2008, 2008"
42,"Finance Act, 2008"
43,"Government Employees Pension Fund (Condonation of Interrupted Service) Act, 2008"
44,"National Environment Laws Amendment Act, 2008"
45,"Methodist Church of Southern Africa (Private) Act Repeal Act, 2008"
46,"Dutch Reformed Churches Union Act Repeal Act, 2008"
47,"The Apostolic Faith Mission of South Africa (Private) Act Repeal Act, 2008"
48,"Regulation of Interception of Communications and Provision of Communication-related Information Amendment Act, 2008"
49,"Mineral and Petroleum Resources Development Amendment Act, 2008"
50,"General and Further Education and Training Quality Assurance Amendment Act, 2008"
51,"Intellectual Property Rights from Publicly Financed Research and Development Act, 2008"
52,"Mandating Procedures of Provinces Act, 2008"
53,"National Radioactive Waste Disposal Institute Act, 2008"
54,"National Youth Development Agency Act, 2008"
55,"General Laws (Loss of Membership of National Assembly, Provincial Legislature or Municipal Council) Amendment Act, 2008"
56,"National Prosecuting Authority Amendment Act, 2008"
57,"South African Police Service Amendment Act, 2008"
58,"Provision of Land Assistance Amendment Act, 2008"
59,"National Environmental Management: Waste Act, 2008"
60,"Revenue Laws Amendment Act, 2008"
61,"Revenue Laws Second Amendment Act, 2008"
62,"National Environmental Management Amendment Act, 2008"
63,"Tobacco Products Control Amendment Act, 2008"
64,"National Road Traffic Amendment Act, 2008"
65,"Criminal Procedure Amendment Act, 2008"
66,"Judicial Matters Amendment Act, 2008"
67,"National Qualifications Framework Act, 2008"
68,"Consumer Protection Act, 2008"
69,"National Railway Safety Regulator Amendment Act, 2008"
70,"Prevention of and Treatment for Substance Abuse Act, 2008"
71,"Companies Act, 2008"
72,"Medicines and Related Substances Amendment Act, 2008"
73,"National Conventional Arms Control Amendment Act, 2008"
74,"Mine Health and Safety Amendment Act, 2008"
75,"Child Justice Act, 2008"
