col0,col1,col2,col3,col4
1990,Julie Andrews in Concert (Great Performances),Julie Andrews in Concert (Great Performances),"Ian Fraser, Billy Byers, Chris Boardman, Bob Florence, J. Hill and Angela Morley",Public Broadcasting Service
1990,The 63rd Academy Awards,The 63rd Annual Academy Awards,"Bill Conti, Jack Eskew, Julie Giroux, Ashley Irwin, William Kidd, Morton Stevens, Peter Matz and Billy Byers",ABC
1990,The Kennedy Center Honors,The Kennedy Center Honors,"Nick Perito, Ray Charles and Jon Charles",Tiffany Network
1990,Sammy Davis Jr. 60th Anniversary Celebration,Sammy Davis Jr. 60th Anniversary Celebration,"Glen Roven, David Michael Frank, Bruce Miller, Joe Curiale and Lawrence Schwartz",ABC
1990,The Songwriters Hall of Fame 20th Anniversary... The Magic of Music,The Songwriters Hall of Fame 20th Anniversary... The Magic of Music,"Elliot Lawrence, Jack Cornter, Marvin Laird, Jamie Lawrence, Peter Matz, Lanny Meyers, James 'Buddy' Skipper and Torrie Zito",CBS
1991,The Walt Disney Company Presents the American Teacher Awards,The Walt Disney Company Presents the American Teacher Awards,"Ian Fraser, Billy Byers, Chris Boardman and J. Hill",Disney
1991,The 63rd Annual Academy Awards,The 63rd Annual Academy Awards,"Bill Conti, Jack Eskew, Julie Giroux, Ashley Irwin, Dennis McCarthy and Marc Shaiman",ABC
1991,The Josephine Baker Story,The Josephine Baker Story,Ralph Burns,HBO
1991,The Muppets Celebrate Jim Henson,The Muppets Celebrate Jim Henson,"Larry Grossman, Paul McKibbons, Torrie Zito and Jamie Lawrence",CBS
1991,The 1990 Tony Awards,The 1990 Tony Awards,"Elliot Lawrence, Lanny Meyers, Torrie Zito and Jamie Lawrence",Columbia Broadcasting System
1992,The 64th Annual Academy Awards,The 64th Annual Academy Awards,"Bill Conti, Jack Eskew, Julie Giroux, Ashley Irwin and Hummie Mann",ABC
1992,Christmas in Washington,Christmas in Washington,"Ian Fraser, Chris Boardman, Billy Byers and J. Hill",NBC
1992,The Kennedy Center Honors,The Kennedy Center Honors,Nick Perito and Ray Charles,Black Rock
1992,Late Night with David Letterman,10th Anniversary Special,Paul Shaffer and Bruce Kapler,NBC
1993,The 52nd Presidential Inaugural Gala,The 52nd Presidential Inaugural Gala,Ian Fraser,CBS
1993,The 65th Annual Academy Awards,The 65th Annual Academy Awards,Bill Conti,ABC
1993,The Kennedy Center Honors,The Kennedy Center Honors,Nick Perito,CBS
1993,Sinatra,Part 1,Artie Butler,CBS
1993,The Young Indiana Jones Chronicles,Young Indiana Jones and the Mystery of the Blues,Joel McNeely,ABC
1994,Gypsy,Gypsy,Michael Rafter,CBS
1994,The 66th Annual Academy Awards,The 66th Annual Academy Awards,Bill Conti,ABC
1994,Jerry Herman's Broadway at the Bowl (Great Performances),Jerry Herman's Broadway at the Bowl (Great Performances),Donald Pippin,PBS
1994,The Kennedy Center Honors,The Kennedy Center Honors,Elliot Lawrence,CBS
1994,The Walt Disney Company Presents the American Teacher Awards,The Walt Disney Company Presents the American Teacher Awards,Ian Fraser,Disney
1995,Barbra Streisand: The Concert,Barbra Streisand: The Concert,Marvin Hamlisch,HBO
1995,The 67th Annual Academy Awards,The 67th Annual Academy Awards,Bill Conti,ABC
1995,The Kennedy Center Honors,The Kennedy Center Honors,Elliot Lawrence,Eye Network
1995,The 38th Pablo Casals Festival,The 38th Pablo Casals Festival,Krzysztof Penderecki,A&E
1995,The Walt Disney Company Presents the American Teacher Awards,The Walt Disney Company Presents the American Teacher Awards,Ian Fraser,Disney
1996,Sinatra: 80 Years My Way,Sinatra: 80 Years My Way,Glen Roven,ABC
1996,Bye Bye Birdie,Bye Bye Birdie,Irwin Fisch,ABC
1996,Christmas in Washington,Christmas in Washington,Ian Fraser,NBC
1996,The 39th Pablo Casals Festival,The 39th Pablo Casals Festival,Krzysztof Penderecki,A&E
1996,Peter and the Wolf,Peter and the Wolf,George Daugherty,ABC
1997,Centennial Olympic Games: Opening Ceremonies,Centennial Olympic Games: Opening Ceremonies,Mark Watters,NBC
1997,The 69th Annual Academy Awards,The 69th Annual Academy Awards,Bill Conti,ABC
1997,Bette Midler: Diva Las Vegas,Bette Midler: Diva Las Vegas,Bobby Lyle,HBO
1997,The 53rd Presidential Inaugural Gala: An American Journey,The 53rd Presidential Inaugural Gala: An American Journey,Ian Fraser,CBS
1997,The Simpsons,Simpsoncalifragilisticexpiala(Annoyed Grunt)cious,Alf Clausen,Fox
1998,The 70th Annual Academy Awards,The 70th Annual Academy Awards,Bill Conti,ABC
1998,Michael Crawford in Concert,Michael Crawford in Concert,Ian Fraser,PBS
1998,Rodgers & Hammerstein's Cinderella,Rodgers & Hammerstein's Cinderella,Paul Bogaev,ABC
1998,The Simpsons,"All Singing, All Dancing",Alf Clausen,Fox
1998,Star Trek: Deep Space Nine,His Way,Jay Chattaway,Syndicated
1999,The Rat Pack,The Rat Pack,Mark Adler,HBO
1999,The 71st Annual Academy Awards,The 71st Annual Academy Awards,Bill Conti,ABC
1999,And the Beat Goes On: The Sonny and Cher Story,And the Beat Goes On: The Sonny and Cher Story,Steve Tyrell,ABC
1999,Christmas in Washington,Christmas in Washington,Ian Fraser,TNT
1999,Janet: The Velvet Rope,Janet: The Velvet Rope,Rex Salas,HBO
1999,The Temptations,Part 1,Daniel Carlin,NBC
