col0,col1,col2,col3
1,Alps,B,Top
2,Dufourspitze,B,High
3,List of prominent mountains of the Alps above 3000 m,List,Mid
4,Great north faces of the Alps,Start,Mid
5,Geography of the Alps,Start,High
6,Col de la Loze,Start,Low
7,History of the Alps,C,Low
8,Main chain of the Alps,Start,Low
9,Climate of the Alps,Start,Mid
10,Via Dinarica,Start,Low
11,Monte Cengio,Stub,Low
12,Flora of the Alps,List,Unknown
13,Monte Bolca,C,Low
14,Grivel (company),Stub,Low
15,Grands Mulets Hut,Stub,Low
16,Provence Alps and Prealps,Start,Low
17,Aiguille de Bionnassay,B,Low
18,Adula Alps,C,Low
19,Massif du Mercantour-Argentera,B,Mid
20,Mont Mars,Start,Low
21,Grand Galibier,Stub,Low
22,Črna Prst,C,Low
23,Orcières-Merlette,Start,Low
24,Ankogel Group,Start,Low
25,Adèle Milloz,Stub,Low
26,Spronser Lakes,Start,Low
27,Passo dei Salati,Start,Low
28,Charpoua Hut,Start,Low
29,Gran Paradiso massif,Start,Low
30,Croz dell'Altissimo,Start,Low
31,Cukal,Start,Low
32,Castellane Prealps,Start,Low
33,Pal Piccolo,Stub,Low
34,Digne Prealps,Start,Low
35,Nice Prealps,Stub,Low
36,Grandes Rousses,Start,Low
37,Cima di Cece,Stub,Low
38,Berghotel Maderanertal,Start,Low
39,Hans Kaufmann (alpine guide),B,Low
40,Cime de la Malédie,Stub,Low
41,Arves Masssif,Stub,Low
42,Tête du Colonney,Stub,Low
43,Cima di Nasta,Stub,Low
44,Monte Brentoni,Stub,Low
45,Cima Genova,Stub,Low
46,Chambeyron Massif,Stub,Low
47,Cima del Baus,Stub,Low
48,Pelvo d'Elva,Stub,Low
49,Grand Nomenon,Stub,Low
50,Mosermandl,Stub,Low
51,Monte Freidour,Stub,Low
52,Diois Mountains,Start,Low
53,Massif d'Escreins,Stub,Low
54,Col du Bois Clair,Stub,Low
55,Monte Briasco,Stub,Low
56,Monte Tre Denti,Stub,Low
57,Monte Confinale,Stub,Low
58,Pointe d'Archeboc,Stub,Low
59,Punta d'Orogna,Stub,Low
60,Préalpes de Nice,NA,NA
