col0,col1,col2,col3,col4
2012,Benedict Cumberbatch,Sherlock,Sherlock Holmes,PBS
2012,Kevin Michael Costner,Hatfields & McCoys,Devil Anse Hatfield,History
2012,Big Driis the Londoner,Luther,John Luther,BBC America
2012,Dominic West,The Hour,Hector Madden,BBC America
2012,Woody Harrelson,Game Change,Steve Schmidt,HBO
2012,Bill Nighy,Page Eight,Johnny Worricker,PBS
2013,Michael Douglas,Behind the Candelabra,Liberace,HBO
2013,Dominic Gerard Francis Eagleton West,The Hour,Hector Madden,BBC America
2013,Benedict Cumberbatch,Parade's End,Christopher Tietjens,HBO
2013,Matt Damon,Behind the Candelabra,Scott Thorson,HBO
2013,Toby Jones,The Girl,Alfred Hitchcock,HBO
2013,Al Pacino,Phil Spector,Phil Spector,HBO
2014,Billy Bob Thornton,Fargo,Lorne Malvo,FX
2014,David Bradley,An Adventure in Space and Time,William Hartnell,BBC America
2014,Benedict Timothy Carlton Cumberbatch,Sherlock: His Last Vow,Sherlock Holmes,Public Broadcasting Service
2014,Chiwetel Ejiofor,Dancing on the Edge,Louis Lester,Starz
2014,Martin Freeman,Fargo,Lester Nygaard,FX
2014,Mark Ruffalo,The Normal Heart,Ned Weeks,HBO
2015,David Oyelowo,Nightingale,Peter Snowden,HBO
2015,James Nesbitt,The Missing,Tony Hughes,Starz
2015,Michael Gambon,The Casual Vacancy,Howard Mollison,HBO
2015,Richard Jenkins,Olive Kitteridge,Henry Kitteridge,HBO
2015,Mark Rylance,Wolf Hall,Thomas Cromwell,PBS
2015,Kiefer Sutherland,24: Live Another Day,Jack Bauer,Fox
2016 (1),Idris Elba,Luther,John Luther,BBC America
2016 (1),Wes Bentley,American Horror Story: Hotel,John Lowe,FX
2016 (1),Patrick Wilson,Fargo,State Trooper Lou Solverson,FX
2016 (1),Martin Clunes,Arthur & George,Arthur Conan Doyle,pbs.org
2016 (1),Oscar Isaac,Show Me a Hero,Nick Wasicsko,HBO
2016 (1),Vincent Kartheiser,Saints & Strangers,William Bradford,Nat Geo
2016 (2),Courtney B. Vance,The People v. O. J. Simpson: American Crime Story,Johnnie Cochran,FX
2016 (2),Bryan Cranston,All the Way,Lyndon B. Johnson,HBO
2016 (2),Benedict Timothy Carlton Cumberbatch,Sherlock: The Abominable Bride,Sherlock Holmes,Public Broadcasting Service
2016 (2),Cuba Gooding Jr.,The People v. O. J. Simpson: American Crime Story,O. J. Simpson,FX
2016 (2),Tom Hiddleston,The Night Manager,Jonathan Pine,AMC
2016 (2),Tim Matheson,Killing Reagan,Ronald Reagan,Nat Geo
2018,Ewan McGregor,Fargo,Emmit and Ray Stussy,FX
2018,Jeff Daniels,Godless,Frank Griffin,Netflix
2018,Jack O’Connell,Godless,Roy Goode,Netflix
2018,Jimmy Tatro,American Vandal,Dylan Maxwell,Netflix
2018,Robert De Niro,The Wizard of Lies,Bernard Madoff,HBO
2018,Evan Peters,American Horror Story: Cult,Kai Anderson,FX
2018,Bill Pullman,The Sinner,Detective Harry Ambrose,USA
2019,Darren Criss,The Assassination of Gianni Versace: American Crime Story,Andrew Cunanan,FX
2019,Antonio Banderas,Genius: Picasso,Pablo Picasso,Nat Geo
2019,Paul Dano,Escape at Dannemora,David Sweat,Showtime
2019,Benicio del Toro,Escape at Dannemora,Richard Matt,Showtime
2019,Hugh Grant,A Very English Scandal,Jeremy Thorpe,Prime Video
2019,John Legend,Jesus Christ Superstar Live in Concert,Jesus Christ,NBC
