col0,col1,col2,col3,col4
2010,EastEnders,EastEnders,BBC,BBC TV
2010,Casualty,Casualty,BBC,BBC One
2010,Coronation Street,Corrie,ITV Studios,ITV1
2010,The Bill,The Bill,Talkback Thames,ITV1
2011,EastEnders,EastEnders,British Broadcasting Corporation,BBC One
2011,Corrie,Coronation Street,ITV Studios,ITV1
2011,CASUAL+Y,Casualty,British Broadcasting Corporation,BBC1
2011,Waterloo Road,"Sharon Hughff, Sharon Channer, Fraser MacDonald, Lis Steele",Shed Productions,BBC One
2012,Coronation Street,Corrie,ITV Studios,ITV1
2012,EastEnders,EastEnders,BBC,BBC One
2012,Holby City,Holby City,BBC,BBC One
2012,Shameless,"Paul Abbott, George Faber, David Threlfall, Lawrence Till",Company Pictures,Channel 4
2013,EastEnders,EastEnders,BBC,BBC One
2013,Coronation Street,Coronation Street,Granada Productions,ITV
2013,Emmerdale,Emmerdale,Granada Productions,ITV
2013,Shameless,Shameless,Company Pictures,Channel 4
2014,Corrie,Coronation Street,ITV Studios,ITV
2014,Casualty,Casualty,BBC,BBC Television Service
2014,EastEnders,EastEnders,BBC,BBC One
2014,Holby City,Holby City,BBC,BBC Television Service
2015,Corrie,Corrie,ITV Studios,ITV
2015,Casualty,CASUAL+Y,British Broadcasting Corporation,BBC TV
2015,EastEnders,EastEnders,British Broadcasting Corporation,BBC One
2015,Hollyoaks,Hollyoaks,Lime Pictures,Channel 4
2016,EastEnders,EastEnders,BBC,BBC One
2016,Corrie,Coronation Street,Granada Television,ITV
2016,Emmerdale,Emmerdale,ITV Studios,ITV
2016,Holby City,"Oliver Kent, Simon Harper, Kate Hall, Joe Ainsworth",British Broadcasting Corporation,BBC TV
2017,Emmerdale,Emmerdale,ITV Studios,ITV
2017,Casualty,Casualty,BBC,BBC TV
2017,EastEnders,EastEnders,British Broadcasting Corporation,BBC One
2017,Hollyoaks,"Bryan Kirkwood, Emily Gascoyne, Vikki Tennant, Colette Chard",Lime Pictures,Channel 4
2018,Casualty,Casualty,BBC,BBC Television Service
2018,Coronation Street,Coronation Street,ITV Studios,ITV
2018,Emmerdale,Emmerdale,Granada Productions,ITV
2018,Hollyoaks,"Bryan Kirkwood, Emily Gascoyne, Vikki Tennant, Colette Chard",Lime Pictures,Channel 4
2019,EastEnders,EastEnders,BBC,BBC 1
2019,Coronation Street,Coronation Street,ITV Studios,ITV
2019,CASUAL+Y,Casualty,British Broadcasting Corporation,BBC1
2019,Hollyoaks,"Bryan Kirkwood, Emily Gascoyne, Colette Chard, Kevin Rundle",Lime Pictures,Channel 4
