col0,col1,col2,col3
127 Hours,127 Hours,Danny Boyle,United States
AMIGO,AMIGO,John Sayles,United States
L'Amour fou,L'Amour fou,Pierre Thoretton,France
Another Year,Another Year,Mike Leigh,United Kingdom
Beginners,Beginners,Mike Mills,United States
The Big Picture,L'Homme qui voulait vivre sa vie,Éric Lartigau,France
Biutiful,Biutiful,Alejandro González Iñárritu,"Mexico, Spain"
Blue Valentine,Blue Valentine,Derek Cianfrance,United States
Bombay Diaries,Dhobi Ghat,Kiran Rao,India
Brighton Rock,Brighton Rock,Rowan Joffé,United Kingdom
Buried,Buried,Rodrigo Cortés,Spain
Conviction,Conviction,Tony Goldwyn,United States
Cirkus Columbia,Cirkus Columbia,Danis Tanović,Bosnia and Herzegovina
Deep in the Woods,Promenons-nous dans les bois,Benoît Jacquot,France
Easy A,Easy A,Will Gluck,United States
Everything Must Go,Everything Must Go,Dan Rush,United States
Force of Nature: The David Suzuki Movie,Force of Nature: The David Suzuki Movie,Sturla Gunnarsson,Canada
Good Neighbours,Good Neighbours,Jacob Tierney,Canada
Gorbaciof,Gorbaciof,Stefano Incerti,Italy
Heartbeats,Les Amours imaginaires,Xavier Dolan,Canada
Henry's Crime,Henry's Crime,Malcolm Venville,United States
Hereafter,Hereafter,Clint Eastwood,United States
The House by the Medlar Tree,Malavoglia,Pasquale Scimeca,Italy
I'm Still Here,I'm Still Here,Casey Affleck,United States
I Saw the Devil,악마를 보았다,Kim Jee-woon,South Korea
The Illusionist,L'Illusioniste,Sylvain Chomet,"France, United Kingdom"
In a Better World,Hævnen,Anders Thomas Jensen,Denmark
Incendies,Incendies,Denis Villeneuve,Canada
It's Kind of a Funny Story,It's Kind of a Funny Story,"Anna Boden, Ryan Fleck",United States
Jack Goes Boating,Jack Goes Boating,Philip Seymour Hoffman,United States
Julia's Eyes,Los ojos de Julia,Guillem Morales,Spain
The Last Circus,Balada triste de trompeta,Álex de la Iglesia,"Spain, France"
Legend of the Fist: The Return of Chen Zhen,Legend of the Fist: The Return of Chen Zhen,Andrew Lau,Hong Kong
Let Me In,Let Me In,Matt Reeves,"United Kingdom, United States"
Lope,Lope,Andrucha Waddington,"Spain, Brazil"
Love Crime,Crime d'amour,Alain Corneau,France
Made in Dagenham,Made in Dagenham,Nigel Cole,United Kingdom
Miral,Miral,Julian Schnabel,"France, India, Israel, Italy, Palestine, United States"
Mothers,Majki,Milcho Manchevski,"Macedonia, France, Bulgaria"
Never Let Me Go,Never Let Me Go,Mark Romanek,United Kingdom
Norwegian Wood,Noruwei no Mori,Tran Anh Hung,Japan
Outside the Law,Hors-la-loi,Rachid Bouchareb,"France, Algeria, Tunisia, Belgium"
Passione,Passione,John Turturro,Italy
Passion Play,Passion Play,Mitch Glazer,United States
The Poll Diaries,Poll,Chris Kraus,Germany
Rabbit Hole,Rabbit Hole,John Cameron Mitchell,United States
Repeaters,Repeaters,Carl Bessai,Canada
Rio Sex Comedy,Rio Sex Comedy,Jonathan Nossiter,"France, Brazil"
A Screaming Man,Un homme qui crie,Mahamat-Saleh Haroun,"France, Belgium, Chad"
Special Treatment,Sans queue ni tête,Jeanne Labrune,"France, Luxembourg, Belgium"
Stone,Stone,John Curran,United States
Submarine,Submarine,Richard Ayoade,United Kingdom
Tamara Drewe,Tamara Drewe,Stephen Frears,United Kingdom
That Girl in Yellow Boots,That Girl in Yellow Boots,Anurag Kashyap,India
Trigger,Trigger,Bruce McDonald,Canada
The Trip,The Trip,Michael Winterbottom,United Kingdom
Trust,Trust,David Schwimmer,United States
What's Wrong With Virginia,What's Wrong With Virginia,Dustin Lance Black,United States
The Whistleblower,The Whistleblower,Larysa Kondracki,"Canada, Germany"
You Will Meet a Tall Dark Stranger,You Will Meet a Tall Dark Stranger,Woody Allen,"United Kingdom, United States, Spain"
