col0,col1,col2,col3
Saudi Arabia national football team,Football,Men,IX Asiad
,Football,Men,10th Asian Games
Saudi Arabia men's national handball team,Handball,handball at the 1990 Asian Games - men,Beijing 1990
Saeed Al-Mutairi Bariq,Shooting,Men's skeet,Hiroshima 1994
Saad Shaddad Al-Asmari,Athletics,Men's 3000 metres steeplechase,1994 Hiroshima
Yousef Hawsawi,Boxing,Men's 91 kg,1994 Hiroshima
Abdulmuttalib Al-Bargawi,Karate,Men's kumite +80 kg,1994 Hiroshima
Alyan Al-Qahtani,Athletics,"Men's 10,000 metres",1994 Hiroshima
Juma Seghaier,Boxing,Men's 60 kg,1994 Hiroshima
Sharif Ismail,Karate,Men's kumite -65 kg,1994 Hiroshima
Mohammed Saddiq,Taekwondo,Men's -54 kg,1994 Hiroshima
Khalid Al-Shamrani,Taekwondo,Men's -64 kg,Hiroshima 1994
Mukhlid Al-Otaibi,Athletics,"Men's 10,000 metres",2002 Busan
Jamal Al-Saffar,Athletics,Men's 100 metres,2002 Busan
Hadi Soua'an Al-Somaily,Athletics,Men's 400 metres hurdles,2002 Busan
Mukhlid Al-Otaibi,Athletics,Men's 5000 metres,2002 Busan
Salem Al-Ahmedi,Athletics,Men's triple jump,2002 Busan
Hussein Al-Sabee,Athletics,Men's long jump,2002 Busan
Hamed Al-Bishi   Hadi Soua'an Al-Somaily   Mohammed Al-Salhi   Hamdan Al-Bishi,Athletics,Men's 4 × 400 metres relay,2002 Busan
Hamdan Al-Bishi,Athletics,Men's 400 metres,2002 Busan
Ghali Al-Matrafi,Taekwondo,Men's -62 kg,2002 Busan
Hassan Al-Shaikh   Bader Al-Shaikh,Bowling,Men's doubles,2006 Doha
Bader Al-Shaikh,Bowling,Men's all-events,2006 Doha
Yahya Habeeb,Athletics,Men's 100 metres,2006 Doha
Hussein Al-Sabee,Athletics,Men's long jump,2006 Doha
Hamdan Al-Bishi,Athletics,Men's 400 metres,2006 Doha
Sultan Al-Hebshi,Athletics,Men's shot put,2006 Doha
Khaled Al-Eid   Abdullah Al-Saud   Kamal Bahamdan   Abdullah Al-Sharbatly,Equestrian,Team jumping,2006 Doha
Ismail Al-Sabiani   Hamed Al-Bishi   Mohammed Al-Salhi   Hamdan Al-Bishi,Athletics,Men's 4 × 400 metres relay,2006 Doha
Bader Al-Shaikh   Faisal Al-Juraifani   Hassan Al-Shaikh,Bowling,Men's trios,2006 Doha
Hassan Al-Shaikh   Bader Al-Shaikh   Faisal Al-Juraifani   Ahmed Al-Hdyan   Yousif Akbar   Faisal Sugati,Bowling,Men's team,2006 Doha
Ahmed Faiz,Athletics,Men's long jump,2006 Doha
Sultan Al-Dawoodi,Athletics,Men's discus throw,2006 Doha
Thamer Al-Malki,Karate,Men's kumite -55 kg,2006 Doha
,Volleyball,Men,2006 Doha
Ramzy Al-Duhami   Khaled Al-Eid   Abdullah Al-Saud   Abdullah Al-Sharbatly,Equestrian,Team jumping,2010 Guangzhou
Mohammed Shaween,Athletics,Men's 1500 metres,2010 Guangzhou
Sultan Al-Hebshi,Athletics,Men's shot put,2010 Guangzhou
Ismail Al-Sabiani     Mohammed Al-Salhi     Hamed Al-Bishi     Yousef Masrahi,Athletics,Men's 4 × 400 metres relay,2010 Guangzhou
Ramzy Al-Duhami,Equestrian,Individual jumping,2010 Guangzhou
Yasser Al-Nasheri,Athletics,Men's 100 metres,2010 Guangzhou
Bandar Sharahili,Athletics,Men's 400 metres hurdles,2010 Guangzhou
Imad Almalki,Karate,Men's kumite -55 kg,2010 Guangzhou
Yousef Masrahi,Athletics,Men's 400 metres,2010 Guangzhou
Ali Al-Amri,Athletics,Men's 3000 metres steeplechase,2010 Guangzhou
Hussein Al-Sabee,Athletics,Men's long jump,2010 Guangzhou
Khaled Al-Eid,Equestrian,Individual jumping,2010 Guangzhou
Fahad Al-Khathami,Karate,Men's kumite -67 kg,2010 Guangzhou
Yousef Masrahi,Athletics,Men's 400 metres,2014 Incheon
Sultan Al-Hebshi,Athletics,Men's shot put,2014 Incheon
Abdullah Al-Sharbatly,Equestrian,Individual jumping,2014 Incheon
Fahhad Mohammed Al-Subaie,Athletics,Men's 200 metres,2014 Incheon
Faisal Al-Shalan   Abdulrahman Al-Rajhi   Salman Al-Maqadi   Abdullah Al-Sharbatly,Equestrian,Team jumping,2014 Incheon
Abdullah Al-Harbi,Karate,Men's kumite -55 kg,2014 Incheon
Ismail Al-Sabiani   Ahmed Al-Khayri   Mohammed Al-Bishi   Yousef  Masrahi,Athletics,Men's 4 × 400 metres relay,2014 Incheon
Ramzy Al-Duhami   Khaled Al-Mobty    Khaled Al-Eid   Abdullah Al-Sharbatly,Equestrian,Team jumping,2018 Jakarta-Palembang
Hussain Ghuwayli Al-Harbi,Shooting,Men's 300 metre standard rifle,2018 Jakarta-Palembang
Raef Adel Al-Turkistani,Karate,Men's kumite -75 kg,2018 Jakarta-Palembang
Tareg Hamedi,Karate,Men's kumite +84 kg,2018 Jakarta-Palembang
Ramzy Al-Duhami,Equestrian,Individual jumping,2018 Jakarta-Palembang
Tariq Al-Amri,Athletics,Men's 5000 metres,2018 Jakarta-Palembang
