col0,col1,col2
Hackney North & Stoke Newington,Labour,1987
Bethnal Green and Bow,"Labor Party, UK",2010
Tooting,"Labor Party, UK",2016 by-election
Harrow East,Conservative Party (UK),2010
Carshalton and Wallington,Liberal Democrats,1997
Old Bexley and Sidcup,Conservative and Unionist Party,2010
West Ham,Labour,2005
Westminster North,Labour,"UK general election, 2010"
Brent Central,Labour,2015
Twickenham,Liberal Democrats,2017
Brentford and Isleworth,Labour Party (UK),2015
Enfield Southgate,Labour,2017
Islington North,Labour,1983
Bermondsey and Old Southwark,Labour,2015
Walthamstow,Labour Co-op,"United Kingdom general election, 2010"
Dagenham and Rainham,Labour,2010
Leyton and Wanstead,Labour,2010
Lewisham East,Labour,2018 by-election
Kingston and Surbiton,Liberal Democrats,2017
Battersea,Labour,2017
Kensington,Labour Party (UK),2017
Hornchurch and Upminster,Conservative Party (Great Britain) -- Records and correspondence,2017
Chingford and Woodford Green,Conservative,1997
Eltham,Labour Party (UK),1997
Bexleyheath and Crayford,Tory Party,2005
Cities of London and Westminster,Conservative,2001
Poplar and Limehouse,Labour,2010
Lewisham Deptford,Labour Party (Great Britain) -- Wales -- Records and correspondence,2015
Finchley and Golders Green,Conservative,2010 UK general election
Ilford South,Change UK   (prev. Labour Co-op),1992
Brent North,Labour,1997
Richmond Park,Conservative,2010
Putney,Independent   (suspended from   Conservatives),2005
Wimbledon,Independent   (suspended from   Conservatives),2005
Chelsea and Fulham,Conservative,2010
Camberwell and Peckham,Labour,1997
Dulwich and West Norwood,Labour,2015
Hackney South and Shoreditch,Labour Co-op,2005
Barking,Labour,1994 by-election
Vauxhall,Labour,1989 by-election
Ealing Central and Acton,Labour,2015
"Ruislip, Northwood and Pinner",Conservative,2010
Uxbridge and South Ruislip,Tories,2015
Orpington,Conservative,2010
Croydon Central,Labour,2017
Tottenham,Labour,2000 by-election
Feltham and Heston,Labour,2011 by-election
Mitcham and Morden,Labour,1997
Hayes and Harlington,Labour,1997
Bromley and Chislehurst,Conservative Party (Great Britain) -- Records and correspondence,2006 by-election
Hendon,Conservative,"UK general election, 2010"
Edmonton,Labour Co-op,2015
Erith and Thamesmead,Labour,2010
Greenwich and Woolwich,Labour Party (UK),2015
Croydon South,Conservative,2015
Ealing North,Labour Party (UK),1997
Croydon North,Labour Party (UK),2012 by-election
Lewisham West and Penge,Labour,2017
Romford,Conservative,2001
Enfield North,Change UK   (prev. Labour),2015
Sutton and Cheam,Conservative,2015
Ealing Southall,Labour,2007 by-election
Hampstead and Kilburn,Labour,2015
Hammersmith,Labour Party (Great Britain) -- Wales -- Records and correspondence,"General election, 2010"
Holborn and St Pancras,Labour,2015
Beckenham,Conservative,2010 UK general election
Ilford North,Labour,2015
Harrow West,Labour Co-op,1997
Islington South and Finsbury,"Labor Party, UK",2005
East Ham,Labour,1997
Streatham,Liberal Democrats   (prev. Labour),2010
Chipping Barnet,Tory Party,2005
Hornsey and Wood Green,Labour,2015
