col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10
1821,Lewis Cass,William Woodbridge,Rev. John Monteith,Henry Jackson Hunt,John Hunt,Charles Larned,Philip Lecuyer,Father Gabriel Richard,Benjamin Stead Appointed but declined to serve .,"William H. Puthuff , indicates William H. Puthoff of Michilimackinac served from 1821 to 1834, but William H. Puthuff, mayor of Michilimackinac, died in 1824 ."
1822,Lewis Cass,William Woodbridge,Abraham Edwards,Henry Jackson Hunt,John Hunt,Charles Larned,Philip Lecuyer,Father Gabriel Richard,Thomas Rowland,"William H. Puthuff , indicates William H. Puthoff of Michilimackinac served from 1821 to 1834, but William H. Puthuff, mayor of Michilimackinac, died in 1824 ."
1823,Lewis Cass,William Woodbridge,Abraham Edwards,Henry Jackson Hunt,John Hunt,Charles Larned,Philip Lecuyer,Father Gabriel Richard,Thomas Rowland,"William H. Puthuff , indicates William H. Puthoff of Michilimackinac served from 1821 to 1834, but William H. Puthuff, mayor of Michilimackinac, died in 1824 ."
1824,Lewis Cass,William Woodbridge,Abraham Edwards,Henry Jackson Hunt,John Hunt,Charles Larned,Philip Lecuyer,Father Gabriel Richard,Thomas Rowland,"William H. Puthuff , indicates William H. Puthoff of Michilimackinac served from 1821 to 1834, but William H. Puthuff, mayor of Michilimackinac, died in 1824 ."
1825,Lewis Cass,William Woodbridge,Abraham Edwards,Henry Jackson Hunt,John Hunt,Charles Larned,Philip Lecuyer,Father Gabriel Richard,Thomas Rowland,
1826,Lewis Cass,William Woodbridge,Abraham Edwards,Henry Jackson Hunt,John Hunt,Charles Larned,Philip Lecuyer,Father Gabriel Richard,Thomas Rowland,
1826,Lewis Cass,William Woodbridge,Abraham Edwards,,John Hunt,Charles Larned,Philip Lecuyer,Father Gabriel Richard,Thomas Rowland,
1827,Lewis Cass,William Woodbridge,Abraham Edwards,,John Hunt,Charles Larned,Philip Lecuyer,Father Gabriel Richard,Thomas Rowland,
1827,Lewis Cass,,Abraham Edwards,Jonathan Kearsley,Noah M. Wells,Charles Larned,Philip Lecuyer,Father Gabriel Richard,Thomas Rowland,L. Humphrey
1828,Lewis Cass,,Abraham Edwards,Jonathan Kearsley,Noah M. Wells,Charles Larned,Philip Lecuyer,Father Gabriel Richard,Thomas Rowland,L. Humphrey
1829,Lewis Cass,,Abraham Edwards,Jonathan Kearsley,Noah M. Wells,Charles Larned,Philip Lecuyer,Father Gabriel Richard,Thomas Rowland,L. Humphrey
1830,Lewis Cass,James Witherell,Abraham Edwards,Jonathan Kearsley,Noah M. Wells,Charles Larned,Philip Lecuyer,Father Gabriel Richard,Thomas Rowland,L. Humphrey
1830,Lewis Cass,John T. Mason,Abraham Edwards,Jonathan Kearsley,Noah M. Wells,Charles Larned,Philip Lecuyer,Father Gabriel Richard,Thomas Rowland,L. Humphrey
1831,Lewis Cass,John T. Mason,Abraham Edwards,Jonathan Kearsley,Noah M. Wells,Charles Larned,Philip Lecuyer,Father Gabriel Richard,Thomas Rowland,L. Humphrey
1831,George B. Porter,Stevens T. Mason,Abraham Edwards,Jonathan Kearsley,Noah M. Wells,Charles Larned,Philip Lecuyer,Father Gabriel Richard,Thomas Rowland,L. Humphrey
1832,George B. Porter,Stevens T. Mason,Abraham Edwards,Jonathan Kearsley,Noah M. Wells,Charles Larned,Philip Lecuyer,Father Gabriel Richard,Thomas Rowland,L. Humphrey
1832,George B. Porter,Stevens T. Mason,Abraham Edwards,Jonathan Kearsley,Noah M. Wells,Charles Larned,Philip Lecuyer,,Thomas Rowland,L. Humphrey
1833,George B. Porter,Stevens T. Mason,Abraham Edwards,Jonathan Kearsley,Noah M. Wells,Charles Larned,Philip Lecuyer,,Thomas Rowland,L. Humphrey
1835,Stevens T. Mason,John S. Horner,Abraham Edwards,Jonathan Kearsley,,,,John McDonnell,Thomas Rowland,
1836,Stevens T. Mason,,Abraham Edwards,Jonathan Kearsley,,,,John McDonnell,Thomas Rowland,
1837,Stevens T. Mason,,Abraham Edwards,Jonathan Kearsley,Ross Wilkins,John Norvell,,John McDonnell,Thomas Rowland,
