col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15
1997,Binder Racing,HMS,LBH,NAZ,MIL,MTL,CLE,TOR,TRR,MDO,ROA,VAN,LS,NR,0
1998,World Speed Motorsports,LBH,NAZ,GAT,MIL,MTL,CLE,TOR,TRR,MDO,ROA,VAN,LS,NR,0
1999,Jensen MotorSport,LBH,NAZ,GAT,MIL,MTL,ROA,Circuit Trois-Rivieres,MDO,CHI,VAN,LS,HOU,32nd,0
2000,Jensen MotorSport,HMS1,HMS2,LBH,MIL,MTL,CLE,TOR,TRR,ROA,LS,GAT,HOU,33rd,0
2001,Jensen MotorSport,LBH,NAZ,MIL,MTL,CLE,TOR,CHI,TRR,ROA,VAN,HOU,LS,33rd,0
2002,Jensen MotorSport,MTY,LBH,MIL,LS,POR,CHI,TOR,CLE,TRR,ROA,MTL,DEN,34rd,0
2003,Jensen MotorSport,MTY,LBH,MIL,LS,POR,CLE,TOR,TRR,MDO,MTL,DEN,MIA,12th,49
2004,Jensen MotorSport,LBH,MTY,MIL,POR1,POR2,CLE,TOR,VAN,ROA,DEN,MTL,LS,15th,71
2005,Jensen MotorSport,LBH,MTY,POR1,POR2,CLE1,CLE2,TOR,EDM,SJO,DEN,ROA,MTL,14th,54
2008,Jensen MotorSport,LBH,LS,MTT,Rexall Grand Prix of Edmonton,Rexall Edmonton Indy,ROA1,ROA2,TRR,NJ,UTA,ATL,,25th,9
2009,Jensen MotorSport,Sebring Raceway,UTA,NJ1,NJ2,LIM,ACC1,ACC2,MDO,Circuit Trois-Rivieres,MOS,ATL,LS,12th,16
