col0,col1,col2
"Boise, Idaho, United States",Liver failure,"Musician, singer"
"Mendota Heights, Minnesota, United States",Complications of chronic ethanol use disorder,Professional football coach
"Phoenix, Arizona, United States",Alcohol-related issues,"County Attorney for Maricopa County, 2019 to 2022"
"Brandon, Florida, United States",Chronic alcohol use,National Football League player
"Helsinki, Finland",Alcohol-related cirrhosis and pancreatitis,"Professional Musician, heavy metal vocalist"
"Lake Charles, Louisiana, United States",Alcohol-related issues,United States district judge
"Los Angeles, United States",Suicide by alcohol intoxication,Actor and comedian
"London, England",Drowning due to alcohol intoxication,Singer
"Fort Lauderdale, Florida, United States","Kidney and liver failure due to alcohol abuse, was in a medically induced coma awaiting liver transplant","Singer, musician and actor"
"Fort William, Scotland",Major haemorrhage linked to alcoholism,Liberal Democrat politician
"Los Angeles, California, U.S.","cirrhosis of the liver due to alcohol, which caused acute gastrointestinal bleeding, cardiogenic shock and cardiac arrest.",Actress
"Indianapolis, United States",Organ failure related to alcohol abuse,Musician
"Inland Empire, California, United States",Alcohol-related liver cirrhosis,Musician
"London, England",Alcohol intoxication,Singer/songwriter
"Estepona, Spain",Heart attack,Musician
"London, England",Alcoholism and complications following a liver transplant,Football player
"London, England",Alcoholism,Actor
"Brighton, United Kingdom",Liver failure,Television producer
"Milwaukee, United States",Alcoholism,Computer programmer
Malta,Heart attack,Actor
"London, England","Heart attack, brought on by liver failure after years of alcoholism",Actor
"Staffordshire, England",Alcohol-related incident,Actor
"Slough, United Kingdom",Renal failure,Singer
"Smyrna, Tennessee, United States",Heart attack,Musician
"Dallas, United States",Liver cancer,New York Yankees center fielder
"London, England",Gastrointestinal haemorrhage,Comedian
"London, England",Alcoholism,Television director
"Paris, France",Heart Attack,Wrestler
"Goodlettsville, Tennessee",Alcoholism,Country music singer
"Los Angeles, United States",Alcohol-related cirrhosis,Film director
"Halifax, Nova Scotia","Alcoholism, alcohol-related liver cirrhosis, cardiac arrest",Buddhist meditation master
"London, England",Stomach haemorrhage,Actor
"Los Angeles, United States",Liver disease,Writer
"Geneva, Switzerland",Cerebral haemorrhage,Actor
"London, England",Alcoholism @PseudLit at Twitter Uncredited actors?? - Page 13 - Britmovie,Actor
"Lisbon, Portugal",Alcohol-related liver cirrhosis,Poet
"Rio de Janeiro, Brazil",Alcoholism,Footballer
"Windsor, United Kingdom",Asphyxiation,"Drummer for Led Zeppelin, musician"
"London, England",Alcoholism,Actress
"Moscow, Soviet Union",Heart attack,"Singer, songwriter, poet, and actor"
"London, England",Acute alcohol intoxication,Lead singer and songwriter for hard rock band AC/DC
"Royal Free Hospital, Hampstead, London, England","Alcohol-related liver cirrhosis, Kidney failure",United Kingdom Chancellor of the Exchequer
"Los Angeles, United States",Cardiac arrest,Film director
"Mumbai, India",Alcohol-related liver cirrhosis,Composer
"Burlington, Vermont, United States",Acute hepatitis,Actress
"Corte Madera, California, United States",Gastrointestinal haemorrhage,Musician
"Mumbai, India",Alcohol-related liver cirrhosis,Singer
"The Bronx, New York, United States",Heart attack,R&B singer
"Mumbai, India",Alcohol-related liver cirrhosis,"Actress, poet, singer, costume designer"
"Mumbai, India",Alcohol-related liver cirrhosis,Composer
"San Francisco, United States",Binge drinking,Evangelist
"St. Petersburg, Florida, United States",Alcoholism,Writer
"San Diego, United States",Liver failure,Actress
"Mumbai, India",Alcohol-related liver cirrhosis,Lyricist
"New York City, United States",Stroke,Cartoonist and writer
"Los Angeles, California","Liver damage, aspiration of vomit",Actress
"Vancouver, Canada",Heart attack,Actor
"New York City, United States",Cirrhosis,Singer
"San Diego, United States",Pneumonia,Writer
"New York City, United States",Heart failure,Musician
"Bethesda, Maryland, United States",Acute hepatitis,Republican U.S. Senator
"Bapchule, Arizona, United States","Alcohol intoxication, hypothermia",War hero
"New York City, United States",Alcoholism,Writer
"Oak Hill, West Virginia, United States",Acute ventricular dilation,Musician
"San Gabriel, California, United States",Stroke,Actor
"Rome, Italy",Alcoholism,"Novelist, playwright, short story writer"
"Pasadena, California, United States",Alcoholism,Actor
"New York City, United States",Alcoholism,Lyricist
"Los Angeles, California, United States",Alcohol-related liver cirrhosis,Actor
"Chicago, Illinois, United States",Alcohol-related liver cirrhosis,"Singer, actress"
"Hollywood, California, United States",Heart attack,Writer
"Lisbon, Portugal",Alcohol-related liver cirrhosis or alcohol-related pancreatitis,"Poet, writer, literary critic, translator, publisher and philosopher"
"Queens, New York, United States",Pneumonia,Musician
"New York City, United States",Alcohol-related liver cirrhosis,Writer
"Saint-André-du-Bois, France",Alcoholism,"Painter, printmaker, draughtsman, caricaturist, and illustrator"
"Royal Palace, Papeʻete, Tahiti",Alcoholism,The last monarch of Tahiti
"Saint Petersburg, Russia","Alcoholism, delirium tremens, epileptic seizure",Composer
"Concord, New Hampshire, United States",Edema or alcohol-related liver cirrhosis (death certification),U.S. President
"Tehran, Iran",Alcohol-related issues,"Prince, and governor"
"Marshfield, Massachusetts, U.S.",Alcohol-related liver cirrhosis,United States Secretary of State
"Lahore, Sikh Empire (present-day Punjab, Pakistan)","Alcoholism, liver failure, stroke",1st Maharaja of the Sikh Empire
"Motu Uta, Papeete, Tahiti",Alcohol-related issues,The second king of Tahiti between 1782 and 1821
Mongolia,Alcoholism,The second Great Khan of Mongol Empire between 1227 and 1241
Hungary,Alcohol-related issues,King of Hungary and Croatia from 1131
"Northern Qi, China",Long-term effects of alcohol,1st emperor of the Northern Qi
