col0,col1
10,Jack Lemmon
9,Johnny Depp
8,Walter Matthau
6,Dustin Hoffman
5,Jim Carrey
5,Cary Grant
5,Steve Martin
5,Robin Williams
4,Nicolas Cage
4,Michael Caine
4,Robert De Niro
4,Hugh Grant
4,Danny Kaye
4,Kevin Kline
4,Eddie Murphy
4,Bill Murray
4,Jack Nicholson
4,Peter O'Toole
4,Joaquin Phoenix
4,Peter Sellers
4,John Travolta
3,Christian Bale
3,Warren Beatty
3,Billy Crystal
3,Matt Damon
3,Jeff Daniels
3,Leonardo DiCaprio
3,Colin Farrell
3,Albert Finney
3,Paul Giamatti
3,Ryan Gosling
3,Tom Hanks
3,Bob Hope
3,Hugh Jackman
3,Marcello Mastroianni
3,Dudley Moore
3,Patrick Swayze
3,Glenn Ford
2,Alan Alda
2,Woody Allen
2,Fred Astaire
2,Antonio Banderas
2,Sacha Baron Cohen
2,Jack Black
2,Mel Brooks
2,Steve Carell
2,Daniel Craig
2,Bing Crosby
2,Tom Cruise
2,Danny DeVito
2,Michael Douglas
2,Richard Dreyfuss
2,Ralph Fiennes
2,James Franco
2,Clark Gable
2,James Garner
2,Richard Gere
2,Brendan Gleeson
2,Joseph Gordon-Levitt
2,Charles Grodin
2,George Hamilton
2,Rex Harrison
2,Charlton Heston
2,Nathan Lane
2,Harold Lloyd
2,Lee Marvin
2,Lin-Manuel Miranda
2,James Mason
2,Ewan McGregor
2,David Niven
2,Al Pacino
2,Robert Preston
2,John C. Reilly
2,Burt Reynolds
2,Alberto Sordi
2,Kevin Spacey
2,Billy Bob Thornton
2,Gene Wilder
