col0,col1,col2
Anthony Hopkins,The Silence of the Lambs,Dr. Hannibal Lecter
Jeff Bridges,Fisher King,Jack Lucas
James Edmund Caan,Misery,Paul Sheldon
Kevin Costner,Robin Hood: Prince of Thieves,Robin Hood
Arnold Schwarzenegger,Terminator 2: Judgment Day,Terminator
Robin Williams,The Fisher King,Parry
Gary Oldman,Bram Stoker's Dracula,Count Dracula / Vlad Dracula
Chevy Chase,Memoirs of an Invisible Man,Nick Halloway
Michael Gambon,Toys,Lt. General Leland Zevo
Raúl Juliá,The Addams Family,Gomez Addams
John Lithgow,Raising Cain,Dr. Carter Nix/Cain/Nix Sr/Josh/Margo
Robin Williams,Toys,Leslie Zevo
Bruce Willis,Death Becomes Her,Dr. Ernest Menville
Robert Downey Jr.,Heart and Souls,Thomas Reilly
Jeff Bridges,The Vanishing,Barney Cousins
Bill Murray,Groundhog Day,Phil Connors
Robert Patrick,Fire in the Sky,Mike Rogers
Arnold Schwarzenegger,Last Action Hero,Jack Slater
Christian Slater,True Romance,Clarence Worley
Max von Sydow,Needful Things,Leland Gaunt
Martin Landau,Ed Wood,Bela Lugosi
Kenneth Branagh,Frankenstein,Victor Frankenstein
Tom Cruise,Interview with the Vampire,Lestat de Lioncourt
Tom Hanks,Forrest Gump,Forrest Gump
Jack Nicholson,Wolf,Will Randall
Brad Pitt,Interview with the Vampire,Louis de Pointe du Lac
Arnold Schwarzenegger,True Lies,Harry Tasker
George Clooney,From Dusk till Dawn,Seth Gecko
Pierce Brosnan,GoldenEye,James Bond
Ralph Fiennes,Strange Days,Lenny Nero
Morgan Freeman,Se7en,William Somerset
Robin Williams,Jumanji,Alan Parrish
Bruce Willis,12 Monkeys,James Cole
Eddie Murphy,The Nutty Professor,
Michael J. Fox,The Frighteners,Frank Bannister
Jeff Goldblum,Independence Day,David Levinson
Bill Paxton,Twister,Bill Harding
Will Smith,Independence Day,Captain Steven Hiller
Patrick Stewart,Star Trek: First Contact,Captain Jean-Luc Picard
Pierce Brosnan,Tomorrow Never Dies,James Bond
Nicolas Cage,Face/Off,Castor Troy / Sean Archer
Kevin Costner,The Postman,The Postman
Al Pacino,The Devil's Advocate,John Milton
Will Smith,Men in Black,Agent J
John Travolta,Face/Off,Sean Archer / Castor Troy
James Woods,Vampires,Jack Crow
Jim Carrey,The Truman Show,Truman Burbank
David Duchovny,The X-Files: Fight the Future,Special Agent Fox Mulder
Anthony Hopkins,Meet Joe Black,William Parrish
Edward Norton,American History X,Derek Vinyard
Bruce Willis,Armageddon,Harry Stamper
Tim Allen,Galaxy Quest,Jason Nesmith / Cmdr. Taggart
Johnny Depp,Sleepy Hollow,Ichabod Crane
Brendan Fraser,The Mummy,Richard Rick O'Connell
Liam Neeson,Star Wars: Episode I - The Phantom Menace,Qui-Gon Jinn
Keanu Reeves,The Matrix,Thomas Anderson / Neo
Bruce Willis,The Sixth Sense,Dr. Malcolm Crowe
