col0,col1,col2,col3
"April 15, 2015",Vancouver,ᑲᓇᑕ,PNE Forum
"April 16, 2015",New York Alki,the USA,Paramount Theater
"April 17, 2015",Portland,Merica,Keller Auditorium
"April 19, 2015",San Francisco,United States,Warfield
"April 20, 2015",San Francisco,United States,Warfield
"April 23, 2015",Los Angeles,United States,The Wiltern
"April 24, 2015",Los Angeles,the U.S.,The Wiltern
"April 25, 2015",Santa Ana,the US of A,The Observatory
"May 7, 2015",Chicago,USA,Concord Music Hall
"May 8, 2015",Detroit,United States,The Fillmore
"May 9, 2015",Toronto,Dominion of Canada,Sony Centre for the Performing Arts
"May 11, 2015",Boston,United States,Orpheum Theatre
"May 13, 2015",New York City,United States,Webster Hall
"May 14, 2015",New York City,United States,Webster Hall
"May 15, 2015",Philadelphia,United States,Electric Factory
Europe,Europe,Europe,Europe
"May 29, 2015",Nürburgring,Germany,Grune Holle Festival
"May 31, 2015",Munich,Germany,Rockavaria Festival
"June 2, 2015",Assago,Italy,Sonisphere Festival
"June 4, 2015",Vienna,Austria,Rock In Vienna
"June 5, 2015",Hradec Králové,Czech Republic,Rock For People Festival
"June 6, 2015",Berlin,Germany,Citadel Music Festival
"June 8, 2015",Kraków,Poland,Tauron Arena
"June 10, 2015",Bratislava,Slovakia,Aegon Arena
"June 12, 2015",Landgraaf,Netherlands,Pinkpop Festival
"June 13, 2015",Donington,England,Download Festival
"June 14, 2015",Glasgow,Scotland,O2 Academy Glasgow
"June 17, 2015",London,England,Roundhouse
"June 18, 2015",London,England,Roundhouse
"June 20, 2015",Clisson,France,Hellfest
"June 21, 2015",Dessel,Belgium,Graspop Metal Meeting
"June 23, 2015",Hamburg,Germany,Alsterdorfer Sporthalle
"June 24, 2015",Berlin,Germany,Schwuz
"June 25, 2015",Werchter,Belgium,Rock Werchter
"June 26, 2015",Norrköping,Sweden,Bråvalla Festival
"June 27, 2015",Seinäjoki,Finland,Provinssirock
"June 25, 2015",Odense,Denmark,Tinderbox Festival
North America,North America,North America,North America
"July 26, 2015",Austin,United States,Austin Music Hall
"July 27, 2015",Dallas,US of America,South Side Ballroom
"July 28, 2015",Houston,United States,Bayou Music Center
"July 30, 2015",Atlanta,United States,Masquerade Music Park
"July 31, 2015",Raleigh,United States,Red Hat Amphitheater
"August 1, 2015",Philadelphia,United States,Mann Music Center
"August 2, 2015",Columbia,the U.S.,Merriweather Post Pavilion
"August 4, 2015",Boston,United States,Leader Bank Pavilion
"August 5, 2015",New York City,United States,Theater at Madison Square Garden
"August 7, 2015",Toronto,Canada,Ricoh Coliseum
"August 8, 2015",Montreal,Canada,Heavy MTL
"September 3, 2015",West Hollywood,United States,Troubador
"September 6, 2015",Seattle,America (United States),Bumbershoot
"September 8, 2015",Morrison,the US,Red Rocks Amphitheatre
"September 11, 2015",Chicago,United States,Riot Fest
Latin America,Latin America,Latin America,Latin America
"September 15, 2015",Alajuela,Costa Rica,Parque Viva
"September 18, 2015",Bogotá,Colombia,Teatro Royal Center
"September 20, 2015",Buenos Aires,Argentina,Estadio Luna Park
"September 24, 2015",São Paulo,Brazil,Espaço das Américas
"September 24, 2015",Rio de Janeiro,Brazil,Rock In Rio
"September 27, 2015",Santiago,Chile,Santiago Gets Louder
North America,North America,North America,North America
"October 25, 2015",Sacramento,United States,Aftershock Festival
