col0,col1,col2,col3
17 April 1984,City of Sarajevo,Yugoslavia,Olympic Hall J. A. Samaranch
18 April 1984,Belgrade,Yugoslavia,Hala Pionir
19 April 1984,Zagreb,SFRY,Dom Sportova
21 April 1984,Budapest,Hungary,Budapest Sportcsarnok
22 April 1984,Budapest,Hungary,Budapest Sportcsarnok
24 April 1984,Prague,Czechoslovakia,Palace of culture
25 April 1984,Ostrava,Czechoslovakia,Havířov Sport Hall
26 April 1984,Katowice,Poland,Spodek
27 April 1984,Warsaw,Poland,Sala Kongresowa
28 April 1984,Gdańsk,Poland,Hala Olivia
30 April 1984,Stockholm,Sweden,Johanneshov Isstadion
2 May 1984,Drammen,Norway,Drammenshallen
4 May 1984,Copenhagen,Denmark,Valby-Hallen
5 May 1984,Copenhagen,Denmark,Brøndbyhallen
6 May 1984,Rotterdam,Netherlands,Ahoy Hall
7 May 1984,Brussels,Belgium,Forest National
8 May 1984,Brussels,Belgium,Forest National
11 May 1984,Cologne,West Germany,Sporthalle
12 May 1984,Essen,West Germany,Grugahalle
13 May 1984,Essen,West Germany,Grugahalle
14 May 1984,Bremen,West Germany,Stadhalle Bremen
15 May 1984,Stuttgart,West Germany,Hanns-Martin-Schleyer-Halle
17 May 1984,Hanover,West Germany,Stadionsporthalle
18 May 1984,West Berlin,West Germany,Waldbühne
20 May 1984,Bad Segeberg,West Germany,Freilichtbühne
22 May 1984,Munich,West Germany,Olympiahalle
23 May 1984,Vienna,Austria,Wiener Stadthalle
25 May 1984,Geneva,Switzerland,Patinoire des Vernets
26 May 1984,Zürich,Switzerland,Hallenstadion
27 May 1984,Zürich,Switzerland,Hallenstadion
28 May 1984,Paris,France,Palais Omnisports de Paris-Bercy
29 May 1984,Paris,France,Palais Omnisports de Paris-Bercy
30 May 1984,Paris,France,Palais Omnisports de Paris-Bercy
31 May 1984,Grenoble,France,Palais des Sports
2 June 1984,Ludwigshafen,West Germany,Südweststadion
4 June 1984,Orange,France,Théatre Antique d'Orange
5 June 1984,Nice,France,Palais des Congrès Acropolis
6 June 1984,Toulouse,France,Palais des Sports de Toulouse
8 June 1984,Madrid,Spain,Pabellón de Deportes
9 June 1984,Barcelona,Spain,Palau dels Esports de Barcelona
11 June 1984,Milan,Italy,Teatro Tenda di Lampugnano
12 June 1984,Milan,Italy,Teatro Tenda di Lampugnano
15 June 1984,Belfast,Northern Ireland,King's Hall
16 June 1984,Dublin,Ireland,RDS Arena
18 June 1984,Leeds,England,Queen's Hall
19 June 1984,Leeds,England,Queen's Hall
20 June 1984,Edinburgh,Scotland,Edinburgh Playhouse
21 June 1984,Edinburgh,Scotland,Edinburgh Playhouse
23 June 1984,Birmingham,England,National Exhibition Centre Arena
24 June 1984,Birmingham,England,National Exhibition Centre Arena
25 June 1984,Birmingham,England,National Exhibition Centre Arena
30 June 1984,London,England,Wembley Stadium
