col0,col1,col2,col3,col4
2003,Santiago,China,Chinese Taipei,South Korea
2004,Kobe City,China,South Korea,Japan
2005,Linz,Japan,China,Germany
2006,Cairo,China,Japan,Germany
2006,Cairo,China,Japan,Russia
2007,Palo Alto,China,South Korea,France
2007,Palo Alto,China,South Korea,Japan
2008,Madrid,China,South Korea,England
2008,Madrid,China,South Korea,Japan
2009,Colombia,China,Germany,Japan
2009,Colombia,China,Germany,South Korea
2010,Bratislava,China,Japan,Germany
2010,Bratislava,China,Japan,South Korea
2011,Manama,China,Japan,Germany
2011,Manama,China,Japan,South Korea
2012,Hyderabad,China,Japan,South Korea
2012,Hyderabad,China,Japan,France
2013,Rabat,China,Japan,Poland
2013,Rabat,China,Japan,France
2014,Shanghai,China,Japan,Chinese Taipei
2014,Shanghai,China,Japan,South Korea
2015,Vendée,China,South Korea,France
2015,Vendée,China,South Korea,Hong Kong
2016,Cape Town,Japan,South Korea,Chinese Taipei
2016,Cape Town,Japan,South Korea,China
2017,Riva del Garda,China,Japan,South Korea
2017,Riva del Garda,China,Japan,Romania
2018,Bendigo,China,Japan,Chinese Taipei
2018,Bendigo,China,Japan,France
2019,Korat,China,Chinese Taipei,France
2019,Korat,China,Chinese Taipei,Japan
