col0,col1,col2,col3
1966,Umina United,Brisbania SC,-
1967,Wyong SC,Narara Wyoming SC,-
1968,The Entrance,The Entrance,-
1969,Ettalong Beach,Ettalong Beach,-
1970,Budgewoi FC,Budgewoi FC,-
1971,Ettalong Beach,Woy Woy FC,-
1972,The Entrance,Budgewoi FC,-
1973,Southern United,Southern United,-
1974,Southern United,Southern United,-
1975,Wyoming FC,Wyoming FC,Southern United
1976,Wyoming FC,Wyoming FC,Southern United
1977,Wyoming FC,Wyong SC,Southern United
1978,Wyoming FC,Wyoming FC,Southern United
1979,Wyong SC,Wyoming FC,Southern United
1980,Wyong SC,Wyong SC,Wyong SC
1981,Umina United,Umina United,Wyong SC
1982,Toukley Gorokan FC,Umina United,East Gosford FC
1983,Umina United,Wyong SC,Wyong SC
1984,Wyong SC,Umina United,Umina United
1985,Wyong SC,Wyong SC,Wyong SC
1986,East Gosford FC,Umina United,Woy Woy FC
1987,Swansea United,East Gosford FC,Budgewoi FC
1988,Budgewoi FC,Umina United,Southern & Ettalong
1989,The Entrance,The Entrance,The Entrance
1990,Southern & Ettalong,Wyong SC,Umina United
1991,The Entrance,Southern & Ettalong,Ourimbah United
1992,Southern & Ettalong,Southern & Ettalong,The Entrance
1993,Wyong SC,Wyong SC,Wyong SC
1994,Wyong SC,Wyong SC,Gosford City
1995,Umina United,Gosford City,Southern & Ettalong
1996,Wyong SC,Gosford City,Gosford City
1997,Umina United,Southern & Ettalong,The Entrance
1998,The Entrance,Ourimbah United,Ourimbah United
1999,Wyong SC,Wyong SC,Killarney District
2000,Umina United,Umina United,-
2001,Ourimbah United,Ourimbah United,Ourimbah United
2002,Umina United,East Gosford FC,Ourimbah United
2003,Umina United,Killarney District,Umina United
2004,East Gosford FC,Wyoming FC,Berkeley Vale SC
2005,The Entrance,The Entrance,The Entrance
2006,Umina United,Umina United,Southern & Ettalong
2007,Wyoming FC,Wyoming FC,The Entrance
2008,Budgewoi FC,Umina United,Budgewoi FC
2009,Berkeley Vale SC,Wyoming FC,Budgewoi FC
2010,The Entrance,The Entrance,Berkeley Vale SC
2011,Berkeley Vale SC,Umina United,East Gosford FC
2012,Berkeley Vale SC,Wyoming FC,Berkeley Vale SC
2013,Killarney District,Wyoming FC,Budgewoi FC
2014,Wyoming FC,The Entrance,Wyoming FC
2015,Gosford City,The Entrance,The Entrance
2016,Killarney District,Killarney District,Killarney District
2017,Killarney District,Killarney District,- Not Held
2018,Killarney District,Killarney District,- Not Held
2019,Killarney District,Killarney District,- Not Held
2020,Killarney District,Terrigal United FC,- Not Held
2021,- N/A (Abandoned due to Covid-19),- N/A (Abandoned due to Covid-19),Terrigal United FC
2022,Killarney District,Terrigal United FC,Berkeley Vale SC
2023,Killarney District,Killarney District,Southern & Ettalong United
