col0,col1
Nur Otan,Abai Tasbolatov
Assembly of People,Ahmet Muradov
Nur Otan,Aigül Nurkina
Nur Otan,Aigül Soloveva
Communist People's Party,Aiqyn Qongyrov
Nur Otan,Aitkül Samaqova
Nur Otan,Aldan Smaiyl
Nur Otan,Aleksandr Milyutin
Nur Otan,Älıhan Toibaev
Ak Zhol Democratic Party,Almas Tūrtaev
Nur Otan,Anatoli Makovsky
Nur Otan,Anatoli Pepenin
Nur Otan,Andrei Begeneev
Nur Otan,Arman Qojahmetov
Nur Otan,Ashat Bekenov
Nur Otan,Asqar Bazarbaev
Ak Zhol,Azamat Äbıldaev
Ak Zhol,Azat Peruashev
Nur Otan,Baqytbek Smağūl
Nur Otan,Bakhytzhan Ertaev
Communist People's Party,Boris Sorokin
Nur Otan,Dariga Nazarbayeva
Assembly of People,Egor Kappel
Ak Zhol,Ekaterina Nikitinskaya
Nur Otan,Elena Tarasenko
Nur Otan,Ergen Doşaev
Nur Otan,Erkın Şpanov
Nur Otan,Ersūltan Bektūrğanov
Communist People's Party,Galina Baimahanova
Nur Otan,Gleb Shegelsky
Nur Otan,Güljana Qarağūsova
Nur Otan,Gülmira Esimbaeva
Nur Otan,Gülnar Seiıtmağanbetova
Nur Otan,Gülnar Yqsanova
Nur Otan,İdiristıŋ Kuttojy
Nur Otan,Irina Aronova
Nur Otan,İzbaq Ömırzaqov
Nur Otan,Jalğas Düisenğaliev
Communist People's Party,Jambyl Ahmetbekov
Nur Otan,Janat Jarasov
Nur Otan,Jeksenbai Düisebaev
Assembly of People,Jūmatai Äliev
Nur Otan,Kabibulla Dzhakupov
Nur Otan,Kamal Burhanov
Nur Otan,Maira Aisina
Nur Otan,Mäulen Äşimbaev
Nur Otan,Meiram Begentaev
Nur Otan,Meiram Pişembaev
Ak Zhol,Meruert Qazbekova
Nur Otan,Mūhtar Tinikeev
Assembly of People,Mūrat Ahmadiev
Assembly of People,Nadezhda Nesterova
Nur Otan,Nadezhda Petukhova
Nur Otan,Nikolai Kuzmin
Nur Otan,Nikolai Logutov
Nur Otan,Nūrğali Äşım
Nur Otan,Nurlan Äbdirov
Ak Zhol,Nūrlan Jazylbekov
Nur Otan,Nurlan Nigmatulin
Nur Otan,Nūrtai Sabilianov
Nur Otan,Olga Kikolenko
Nur Otan,Olga Shishigina
Nur Otan,Omarhan Öksikbaev
Nur Otan,Oŋalsyn Jūmabekov
Nur Otan,Oral Muhamedjanov
Nur Otan,Orazkül Asanğazy
Nur Otan,Qaiyrbek Süleimenov
Nur Otan,Qojahan Jabağiev
Nur Otan,Quanyş Sūltanov
Nur Otan,Qūralai Qaraken
Nur Otan,Rahmet Mūqaşev
Nur Otan,Ramazan Sarpekov
Nur Otan,Rauan Şaekin
Assembly of People,Roman Kim
Nur Otan,Romin Madinov
Assembly of People,Rozaqūl Halmūradov
Ak Zhol,Sağiatolla Särsenov
Nur Otan,Säken Jylqaidarov
Nur Otan,Şalatai Myrzahmetov
Nur Otan,Samiğolla Urazov
Nur Otan,Särsenbai Qojahmetov
Nur Otan,Şavhat Ötemısov
Nur Otan,Seiıtsūltan Aiymbetov
Nur Otan,Sergey Dyachenko
Nur Otan,Serık Ospanov
Nur Otan,Serık Seidumanov
Nur Otan,Serık Ümbetov
Nur Otan,Serıkbai Nūrğisaev
Nur Otan,Serıkjan Qanaev
Nur Otan,Svetlana Byshkova
Nur Otan,Svetlana Ferho
Nur Otan,Svetlana Romanovskaya
Ak Zhol,Talğat Erğaliev
Nur Otan,Tatiana Yakovleva
Nur Otan,Temirhan Dosmūhambetov
Nur Otan,Tölegen İbraev
Communist People's Party,Töleş Kenjin
Nur Otan,Tūrarbek Asanov
Communist People's Party,Tūrsynbek Ömırzaqov
Nur Otan,Uälıhan Bişımbaev
Nur Otan,Ūlasbek Sädıbekov
Nur Otan,Üsengeldı Medeuov
Nur Otan,Viktor Kiyansky
Nur Otan,Viktor Rogalev
Communist People's Party,Vladislav Kosarev
Assembly of People,Yuri Timoshenko
Nur Otan,Zağipa Balieva
Assembly of People,Zuhra Sayapova
