col0,col1,col2
Algoma East,Lester B. Pearson,Liberal
Algoma West,George Ewart Nixon,Liberal
Brantford,James Elisha Brown,LPC
Brant—Haldimand,Lawrence Pennell,Liberal
Broadview,George Hees,Progressive Conservative
Bruce,Andrew Ernest Robinson,Progressive Conservative
Carleton,Dick Bell,Progressive Conservative
Cochrane,Joseph-Anaclet Habel,LPC
Danforth,Reid Scott,New Democratic Party
Davenport,Walter L. Gordon,Grits
Dufferin—Simcoe,William Earl Rowe,Progressive Conservative
Durham,Russell Honey,LPC
Eglinton,Donald Fleming,Progressive Conservative
Elgin,James Alexander McBain,Progressive Conservative
Essex East,Paul Martin Sr.,Liberal
Essex South,Eugene Whelan,Grits
Essex West,Herb Gray,Liberal
Fort William,Hubert Badanai,Liberal
Glengarry—Prescott,Viateur Éthier,Liberal
Greenwood,Andrew Brewin,New Democratic Party
Grenville—Dundas,Jean Casselman Wadds,Progressive Conservative
Grey—Bruce,Eric Alfred Winkler,Progressive Conservative
Grey North,Percy Verner Noble,Progressive Conservative
Halton,Harry Cruickshank Harley,Grits
Hamilton East,John Munro,LPC
Hamilton South,Robert Matthew Turnbull McDonald,Progressive Conservative
Hamilton West,Ellen Fairclough,Progressive Conservative
Hastings—Frontenac,Roderick Arthur Ennis Webb,Progressive Conservative
Hastings South,Lee Elgy Grills,Progressive Conservative
High Park,Pat Cameron,Liberal
Huron,Lewis Elston Cardiff,Progressive Conservative
Kenora—Rainy River,William Moore Benidickson,Liberal-Labour
Kent,Sidney LeRoi Clunis,Liberal
Kingston,Edgar Benson,Liberal
Lambton—Kent,John Wesley Burgess,Liberal
Lambton West,Walter Frank Foy,Liberal
Lanark,George Doucett,Progressive Conservative
Leeds,John Matheson,LPC
Lincoln,James Carroll Patrick Mcnulty,Liberal
London,Ernest Halpenny,Progressive Conservative
Middlesex East,Campbell Ewing Millar,Progressive Conservative
Middlesex West,William Howell Arthur Thomas,Progressive Conservative
Niagara Falls,Judy LaMarsh,Liberal
Nickel Belt,Osias Godin,Liberal
Nipissing,Jack Garland,Liberal
Norfolk,Jack Roxburgh,Canadian Liberals
Northumberland,Harry Oliver Bradley,Progressive Conservative
Ontario,Michael Starr,Progressive Conservative
Ottawa East,Jean-Thomas Richard,Liberal
Ottawa West,George James Mcilraith,Grits
Oxford,Wally Nesbitt,Progressive Conservative
Parkdale,Stanley Haidasz,Liberal
Parry Sound—Muskoka,Gordon Aiken,Progressive Conservative
Peel,Bruce Silas Beer,Canadian Liberals
Perth,Jay Monteith,Progressive Conservative
Peterborough,Fred Stenson,Progressive Conservative
Port Arthur,Doug Fisher,New Democratic Party
Prince Edward—Lennox,Douglas Alkenbrack,Progressive Conservative
Renfrew North,James Moffat Forgie,Liberal
Renfrew South,James William Baskin,Progressive Conservative
Rosedale,Donald Stovel Macdonald,LPC
Russell,Paul Tardif,Liberal
St. Paul's,Ian Wahn,Liberal
Simcoe East,Philip Bernard Rynard,Progressive Conservative
Simcoe North,Heber Edgar Smith,Progressive Conservative
Spadina,Sylvester Perry Ryan,Liberal
Stormont,Lucien Lamoureux,Grits
Sudbury,Rodger Mitchell,Liberal
Timiskaming,Arnold Peters,New Democratic Party
Timmins,Murdo Martin,New Democratic Party
Trinity,Paul Hellyer,Canadian Liberals
Victoria,Clayton Wesley Hodgson,Progressive Conservative
Waterloo North,Oscar William Weichel,Progressive Conservative
Waterloo South,Gordon Chaplin,Progressive Conservative
Welland,William Hector McMillan,Liberal
Wellington—Huron,Marvin Howe,Progressive Conservative
Wellington South,Alfred Dryden Hales,Progressive Conservative
Wentworth,Joseph Reed Sams,Progressive Conservative
York Centre,James Edgar Walker,Liberal
York East,Steven Otto,Liberal
York—Humber,Ralph Cowan,Grits
York North,John Hollings Addison,Grits
York—Scarborough,Frank Charles Mcgee,Progressive Conservative
York South,David Lewis,New Democratic Party
York West,Leonard Patrick (Red) Kelly,Canadian Liberals
