col0,col1
:Category:Kerala,"Y --   TinuCherian       (Wanna Talk?)    - 10:55, 11 June 2008 (UTC)"
:Category:Airports in Kerala,"Y --   TinuCherian       (Wanna Talk?)    - 10:53, 11 June 2008 (UTC)"
:Category:Arts and Sicence colleges in Kerala,"Y --   TinuCherian       (Wanna Talk?)    - 10:53, 11 June 2008 (UTC)"
:Category:Battles involving Travancore,"Y --   TinuCherian       (Wanna Talk?)    - 10:53, 11 June 2008 (UTC)"
:Category:Battles of the Travancore-Dutch War,"Y --   TinuCherian       (Wanna Talk?)    - 10:53, 11 June 2008 (UTC)"
:Category:Beaches of Kerala,"Y --   TinuCherian       (Wanna Talk?)    - 10:53, 11 June 2008 (UTC)"
:Category:Buildings and structures in Kerala,"Y --   TinuCherian       (Wanna Talk?)    - 10:53, 11 June 2008 (UTC)"
:Category:Business schools in Kerala,"Y --   TinuCherian       (Wanna Talk?)    - 10:53, 11 June 2008 (UTC)"
:Category:Chera kingdom,"Y --   TinuCherian       (Wanna Talk?)    - 10:53, 11 June 2008 (UTC)"
:Category:Chief Ministers of Kerala,"Y --   TinuCherian       (Wanna Talk?)    - 10:53, 11 June 2008 (UTC)"
:Category:Churches in Kerala,"Y --   TinuCherian       (Wanna Talk?)    - 10:53, 11 June 2008 (UTC)"
:Category:Cities and towns in Kerala,"Y --   TinuCherian       (Wanna Talk?)    - 10:53, 11 June 2008 (UTC)"
:Category:Cities and towns in Pathanamthitta,"Y --   TinuCherian       (Wanna Talk?)    - 10:53, 11 June 2008 (UTC)"
:Category:Crime in Kerala,"Y --   TinuCherian       (Wanna Talk?)    - 10:53, 11 June 2008 (UTC)"
:Category:Culture of Kerala,"Y --   TinuCherian       (Wanna Talk?)    - 10:53, 11 June 2008 (UTC)"
:Category:Dams in Kerala,"Y --   TinuCherian       (Wanna Talk?)    - 10:53, 11 June 2008 (UTC)"
:Category:Districts of Kerala,"Y --   TinuCherian       (Wanna Talk?)    - 10:53, 11 June 2008 (UTC)"
:Category:Economy of Kerala,"Y --   TinuCherian       (Wanna Talk?)    - 10:53, 11 June 2008 (UTC)"
:Category:Education in Kerala,"Y --   TinuCherian       (Wanna Talk?)    - 10:53, 11 June 2008 (UTC)"
":Category:Education in Kochi, India","Y --   TinuCherian       (Wanna Talk?)    - 10:53, 11 June 2008 (UTC)"
:Category:Education in Trivandrum,"Y --   TinuCherian       (Wanna Talk?)    - 10:53, 11 June 2008 (UTC)"
:Category:Engineering colleges in Kerala,"Y --   TinuCherian       (Wanna Talk?)    - 10:53, 11 June 2008 (UTC)"
:Category:Forts in Kerala,"Y --   TinuCherian       (Wanna Talk?)    - 10:53, 11 June 2008 (UTC)"
:Category:Geography of Kerala,"Y --   TinuCherian       (Wanna Talk?)    - 10:53, 11 June 2008 (UTC)"
:Category:Government of Kerala,"Y --   TinuCherian       (Wanna Talk?)    - 10:53, 11 June 2008 (UTC)"
:Category:Governors of Kerala,"Y --   TinuCherian       (Wanna Talk?)    - 10:53, 11 June 2008 (UTC)"
:Category:Hindu temples in Kerala,"Y --   TinuCherian       (Wanna Talk?)    - 10:53, 11 June 2008 (UTC)"
:Category:History of Kerala,"Y --   TinuCherian       (Wanna Talk?)    - 10:53, 11 June 2008 (UTC)"
:Category:History of Kochi,"Y --   TinuCherian       (Wanna Talk?)    - 10:53, 11 June 2008 (UTC)"
:Category:Hospitals in Kerala,"Y --   TinuCherian       (Wanna Talk?)    - 10:53, 11 June 2008 (UTC)"
:Category:Kannur,"Y --   TinuCherian       (Wanna Talk?)    - 10:53, 11 June 2008 (UTC)"
:Category:Kathakali,"Y --   TinuCherian       (Wanna Talk?)    - 10:53, 11 June 2008 (UTC)"
:Category:Kerala-related lists,"Y --   TinuCherian       (Wanna Talk?)    - 10:53, 11 June 2008 (UTC)"
:Category:Kerala cricketers,"Y --   TinuCherian       (Wanna Talk?)    - 10:53, 11 June 2008 (UTC)"
:Category:Kerala cuisine,"Y --   TinuCherian       (Wanna Talk?)    - 10:53, 11 June 2008 (UTC)"
:Category:Kerala geography stubs,"Y --   TinuCherian       (Wanna Talk?)    - 10:53, 11 June 2008 (UTC)"
:Category:Kerala location articles needing coordinates,"Y --   TinuCherian       (Wanna Talk?)    - 10:53, 11 June 2008 (UTC)"
