col0,col1,col2
5th Avenue Theatre,Seattle,State of Washington
ACT Theatre,Seattle,WA
Actors Theatre of Louisville,Louisville,KY
Alabama Shakespeare Festival,Montgomery,AL
Alley Theatre,Houston,TX
Alliance Theatre,Atlanta,GA
American Conservatory Theater,San Francisco,CA
American Repertory Theater,Cambridge,MA
Arden Theatre Company,Philadelphia,PA
Arena Stage,Washington,DC
Arizona Theatre Company,Tucson/Phoenix,AZ
Arkansas Repertory Theatre,Little Rock,AR
Artists Repertory Theatre,Portland,OR
Asolo Repertory Theatre,Sarasota,FL
Barter Theatre,Abingdon,VA
Berkeley Repertory Theatre,Berkeley,CA
Capital Repertory Theatre,Albany,NY
Centerstage,Baltimore,MD
Center Theatre Group,Los Angeles,CA
Cincinnati Playhouse in the Park,Cincinnati,OH
City Theatre Company,Pittsburgh,PA
Clarence Brown Theatre Company,Knoxville,TN
Cleveland Play House,Cleveland,OH
Court Theatre,Chicago,IL
Dallas Theater Center,Dallas,TX
Delaware Theatre Company,Wilmington,DE
Denver Center Theatre Company,Denver,CO
Everyman Theatre,Baltimore,MD
Florida Studio Theatre,Sarasota,FL
Ford's Theatre,Washington,DC
Geffen Playhouse,Los Angeles,CA
George Street Playhouse,New Brunswick,NJ
Geva Theatre Center,Rochester,NY
Goodman Theatre,Chicago,IL
Goodspeed Musicals,East Haddam,CT
Great Lakes Theater,Cleveland,OH
Guthrie Theater,Minneapolis,MN
Gulfshore Playhouse,Naples,FL
Hartford Stage Company,Hartford,CT
Huntington Theatre Company,Boston,MA
Indiana Repertory Theatre,Indianapolis,IN
Kansas City Repertory Theatre,Kansas City,MO
Laguna Playhouse,Laguna Beach,CA
La Jolla Playhouse,La Jolla,CA
Lincoln Center Theater,New York,NY
Long Wharf Theatre,New Haven,CT
Maltz Jupiter Theatre,Jupiter,FL
Manhattan Theatre Club,New York,NY
Marin Theatre Company,Mill Valley,CA
McCarter Theatre,Princeton,NJ
Merrimack Repertory Theatre,Lowell,MA
Milwaukee Repertory Theater,Milwaukee,WI
Northern Stage,White River Junction,VT
Northlight Theatre,Skokie,IL
The Old Globe,San Diego,CA
Pasadena Playhouse,Pasadena,CA
People's Light and Theatre Company,Philadelphia,PA
Philadelphia Theatre Company,Philadelphia,PA
Pittsburgh Public Theater,Pittsburgh,PA
PlayMakers Repertory Company,Chapel Hill,NC
Portland Center Stage,Portland,OR
Portland Stage Company,Portland,ME
The Repertory Theatre of St. Louis,St. Louis,MO
Roundabout Theatre Company,New York,NY
Round House Theatre,Bethesda,MD
Seattle Repertory Theatre,"Seattle, Washington",WA
Second Stage Theater,New York,NY
Shakespeare Theatre Company,Washington,DC
Signature Theatre,Arlington,VA
South Coast Repertory,Costa Mesa,CA
Steppenwolf Theatre Company,Chicago,IL
Studio Theatre,Washington,DC
Syracuse Stage,Syracuse,NY
Theatre for a New Audience,New York,NY
TheatreWorks,Palo Alto,CA
Trinity Repertory Company,Providence,RI
Two River Theater,Red Bank,NJ
Utah Shakespeare Festival,Cedar City,UT
Westport Country Playhouse,Westport,CT
The Wilma Theater,Philadelphia,PA
Yale Repertory Theatre,New Haven,CT
