col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17
2014,Corvette Racing,GTLM,Corvette C7.R,Chevrolet 5.5L V8,DAY,2014 Mobil 1 12 Hours of Sebring fueled by Fresh from Florida,LBH,LGA,WGL,MOS,IMS,ELK,VIR,COA,PET,3rd,317
2015,Corvette Racing,GTLM,Chevrolet Corvette C7.R,Chevrolet 5.5L V8,DAY,SEB,LBH,LGA,WGL,MOS,ELK,VIR,COA,PET,,3rd,295
2016,Corvette Racing,GTLM,Chevrolet Corvette C7.R,Chevrolet 5.5 L V8,DAY,SEB,LBH,LGA,WGL,MOS,LIM,ELK,VIR,COA,PET,3rd,319
2017,Corvette Racing,GTLM,Chevrolet Corvette C7.R,Chevrolet 5.5 L V8,2017 Rolex 24 at Daytona,2017 12 Hours of Sebring,LBH,COA,WGL,MOS,LIM,ELK,VIR,LGA,PET,1st,334
2018,Corvette Racing,GTLM,C7.R,Chevrolet LT5.5 5.5 L V8,DAY,SEB,LBH,MDO,WGL,MOS,LIM,ELK,VIR,LGA,PET,1st,322
2019,Corvette Racing,GTLM,Chevrolet Corvette C7.R,Chevrolet LT5.5 5.5 L V8,DAY,SEB,LBH,MDO,WGL,MOS,LIM,ELK,VIR,LGA,PET,3rd,317
2020,Corvette Racing,GTLM,Chevrolet Corvette C8.R,Chevrolet 5.5 L V8,DAY,DAY,SEB,ELK,VIR,ATL,2020 Acura Sports Car Challenge at Mid-Ohio,CLT,PET,LGA,SEB,1st,351
2021,Corvette Racing,GTLM,Chevrolet Corvette C8.R,Chevrolet 5.5 L V8,DAY,SEB,2021 Chevrolet Detroit Grand Prix,WGL,WGL,LIM,ELK,LGA,LBH,VIR,PET,1st,3549
2022,Corvette Racing,GTD Pro,Chevrolet Corvette C8.R GTD,Chevrolet 5.5 L V8,DAY,SEB,LBH,LGA,WGL,MOS,LIM,ELK,VIR,PET,,3rd,3194
2023,Corvette Racing,GTD Pro,Chevrolet Corvette C8.R GTD,Chevrolet 5.5 L V8,DAY,SEB,LBH,LGA,WGL,MOS,LIM,ELK,VIR,IMS,PET,3rd,3579
2024,Corvette Racing by Pratt Miller Motorsports,GTD Pro,Chevrolet Corvette Z06 GT3.R,Chevrolet LT6 5.5 L V8,DAY,SEB,LGA,DET,WGL,MOS,ELK,VIR,IMS,PET,,4th*,1774*
Source:,Source:,Source:,Source:,Source:,Source:,Source:,Source:,Source:,Source:,Source:,Source:,Source:,Source:,Source:,Source:,Source:,Source:
