col0
T. S. Eliot
Jorge Luis Borges
Victoria Ocampo
Elisabeth Söderström
Marcel Marceau
Stevie Wonder
Jerry Lewis
Zoran Mušič
Akira Kurosawa
Yasuo Mizui
Mrinal Sen
Josef Tal
Moritz de Hadeln
Sean Connery
Audrey Hepburn
Fairuz
Peter O'Toole
Mercedes Sosa
Dirk Bogarde
Bob Dylan
Nadine Gordimer
Tarek Ali Hassan
Clint Eastwood
Mortimer Zuckerman
Lauren Bacall
Dustin Hoffman
Marilyn Horne
María Félix
Seamus Heaney
Lester James Peries
Paul Mauriat
David Bowie
Sharmila Tagore
Soumitra Chatterjee
Salman Rushdie
Rustam Ibragimbekov
Václav Havel
Maryse Condé
David Stratton
Barbara Wright
Siddiq Barmak
Adoor Gopalakrishnan
Alexis Rosenberg-Redé
Meryl Streep
Julian Barnes
Jin Yong
Leonardo DiCaprio
Patti Smith
Max Roach
Christoph Eschenbach
Nan Goldin
Paul Auster
Ray Bradbury
Lucien Clergue
Emir Kusturica
June Anderson
Roger Moore
Richard Serra
Nikos Papatakis
Thom Mayne
Michael Haneke
Takeshi Kitano
Jean-Marie Klinkenberg
Michael Caine
Myung-Whun Chung
Anish Kapoor
Christopher Lee
Jean van Hamme
Anne Sofie von Otter
Douglas Gordon
Israel Horovitz
Donald Sutherland
Bono
David Cairns
William Kentridge
Ringo Starr
Bruce Willis
Kar-Wai Wong
Isabelle Adjani
Charles Berling
Catherine Breillat
Xavier Darcos
Brigitte Fontaine
Jacques Higelin
Marlène Jobert
Quincy Jones
Pierre Perret
Juliette Gréco
Eric Clapton
Iggy Pop
Vangelis Papathanassiou
John Mordler
Fujiko Nakaya
Roger Corman
Leo Brouwer
Alejandro G. Iñarritu
Catherine Jacob
Jennifer Flay
Emma Lavigne
Jean Paul Gaultier
Joann Sfar
Oliver Stone
