col0,col1
Dominion of Canada,"Agassiz, British Columbia"
Ireland,Aghabullogue
Australia,Albany
Ireland,Athy
ISO 3166-1:CA,Baie d'Espoir
Australia,Barcaldine
New Zealand,Blenheim
Australia,Boroondara
Ireland,Boyounagh
Southern Ireland,Breaffy
Australia,Brisbane
New Zealand,Bryndwr
Ireland,Cahir
Australia,Cairns
Australia,Canberra
Australia,Canowindra
New Zealand,Charleston
Ireland,Cloghore
Australia,Cockburn
Ireland,Connacht
Australia,Darebin
ᑲᓇᑕ,Delhi
Ireland,Donegal
New Zealand,Dunedin
Australia,Dunedoo
Canada,Etobicoke
Australia,Fairbairn
Australia,Forster
CA,Gaultois
New Zealand,Gisborne
Australia,Gladstone
Australia,Goondiwindi
Canada,Grand Bruit
Australia,Greenough
New Zealand,Greymouth
Australia,Gumeracha
Australia,Indooroopilly
Ireland,Inistioge
Ireland,Kiltimagh
Australia,Kolan River
New Zealand,Kurow
Canada,L'Ardoise
Australia,Lalor
Australia,Launceston
Ireland,Leap
Southern Ireland,Leighlin
🇮🇪,Leighlinbridge
Ireland,Leinster
New Zealand,Levin
Australia,Mackay
Canada,Magaguadavic
Australia,Mandurah
Australia,Mandurama
Australia,Manuka
Ireland,Maynooth
Australia,"Mount Kosciuszko Kosciuszko in Butler, Susan (ed), Macquarie Dictionary (online ed, at 26 November 2020)"
Ireland,Mountcharles
Australia,Mudgeeraba
Australia,Mukinbudin
Ireland,Mweelrea
Hibernia,Naas
New Zealand,Northcote
CAN,Osoyoos
Canada,Osoyoos
Canada,Osoyoos
Canada,Ossington Avenue
Canada,"Ough's Road, Port Hope"
Ireland,Owenabue
New Zealand,Point Chevalier
Trinidad and Tobago,Pointe-à-Pierre
Canada,Pouce Coupe
Australia,Prahran
Canada,Quesnel
Canada,Quidi Vidi
Canada,Quirpon
Ireland,Raphoe
Hibernia,River Suir
Canada,Rusagonis-Waasis
CAN,Saanich
Bermuda,Sandys Parish
ISO 3166-1:CA,Sault Sainte Marie
Dominion of Canada,Sechelt
CA,Sheshatshiu
Canada,Skidegate
Canada,Stouffville
Canada,"Strachan Avenue, Toronto"
Australia,Strahan
Ireland,Tallaght
Australia,Tallangatta
New Zealand,Thames
Canada,Thames River
Canada,The Pas
Ireland,Thurles
Australia,Tiaro
Canada,Tsawwasen
Canada,Tsawwasen
Éire,Tuam
Australia,Wagga Wagga
Australia,Wangi Wangi
CAN,Waskatenau
Australia,Wauchope
Australia,Woonona
Ireland,Youghal
