col0,col1,col2,col3,col4
1990   (42nd),Jay Thomas,Murphy Brown,Jerry Gold,Columbia Broadcasting System
1990   (42nd),David Huddleston,The Wonder Years,Grandpa Arnold,ABC
1990   (42nd),Darren McGavin,Murphy Brown,Bill Brown,CBS
1990   (42nd),Jerome Bernard Orbach,The Golden Girls,Glenn O'Brien,NBC
1990   (42nd),Dick Van Dyke,Golden Girls,Ken Whittingham,National Broadcasting Company
1991   (43rd),Jay Thomas,Murphy Brown,Jerry Gold,Eye Network
1991   (43rd),Sheldon Leonard,Cheers,Sid Nelson,National Broadcasting Company
1991   (43rd),Alan Oppenheimer,Murphy Brown,Eugene Kinsella,CBS
1991   (43rd),Tom Poston,Coach,Art Hibke,ABC
1991   (43rd),Danny Thomas,Empty Nest,Dr. Leo Brewster,National Broadcasting Company
1992   (44th),Harvey Fierstein,Cheers,Mark Newberger,NBC
1992   (44th),Kelsey Grammer,Wings,Dr. Frasier Crane,NBC
1992   (44th),Jay Thomas,Murphy Brown,Jerry Gold,Tiffany Network
1993   (45th),David Clennon,Dream On,Peter Brewer,HBO
1993   (45th),Tom Berenger,Cheers,Don Santry,NBC
1993   (45th),Dana Carvey,The Larry Sanders Show,Himself,HBO
1993   (45th),Bill Erwin,Seinfeld,Sid Fields,National Broadcasting Company
1993   (45th),Joel Grey,Brooklyn Bridge,Jacob Pressman,Black Rock
1994   (46th),Martin Sheen,Murphy Brown,Nick Brody,CBS
1994   (46th),Jason Alexander,Dream On,Randall Townsend,HBO
1994   (46th),Paul Dooley,Dream On,Mickey Tupper,HBO
1994   (46th),John Glover,Frasier,Ned Miller,NBC
1994   (46th),Judge Reinhold,Seinfeld,Aaron,NBC
1995   (47th),Carl Reiner,Mad About You,Alan Brady,NBC
1995   (47th),Sid Caesar,Love & War,Stein,CBS
1995   (47th),Nathan Lane,Frasier,Phil,National Broadcasting Company
1995   (47th),Robert Pastorelli,Murphy Brown,Eldin Bernecky,CBS
1995   (47th),Paul Reubens,Murphy Brown,Andrew J. Lansing III,Black Rock
1996   (48th),Tim Conway,Coach,Kenny Montague,ABC
1996   (48th),Griffin Dunne,Frasier,Bob,NBC
1996   (48th),Mandy Patinkin,The Larry Sanders Show,Himself,HBO
1996   (48th),Larry Thomas,Seinfeld,The Soup Nazi,NBC
1996   (48th),Harris Yulin,Frasier,Jerome Belasco,National Broadcasting Company
1997   (49th),Mel Brooks,Mad About You,Uncle Phil,NBC
1997   (49th),Sid Caesar,Mad About You,Uncle Harold,National Broadcasting Company
1997   (49th),David Duchovny,The Larry Sanders Show,Himself,HBO
1997   (49th),James Earl Jones,Frasier,Norman,National Broadcasting Company
1997   (49th),Jerry Stiller,Seinfeld,Frank Costanza,NBC
1998   (50th),Mel Brooks,Mad About You,Uncle Phil,National Broadcasting Company
1998   (50th),Hank Azaria,Mad About You,Nat,National Broadcasting Company
1998   (50th),Lloyd Bridges,Seinfeld,Izzy Mandelbaum,National Broadcasting Company
1998   (50th),John Cleese,3rd Rock from the Sun,Dr. Liam Neesam,NBC
1998   (50th),Nathan Lane,Mad About You,Nathan Twilley,NBC
1999   (51st),Mel Brooks,Mad About You,Uncle Phil,NBC
1999   (51st),Woody Harrelson,Frasier,Woody Boyd,NBC
1999   (51st),Charles Nelson Reilly,The Drew Carey Show,Mr. Hathaway,ABC
1999   (51st),John Ritter,Ally McBeal,George Madison,Fox
1999   (51st),William Shatner,3rd Rock from the Sun:  Dick's Big Giant Headache,Big Giant Head,NBC
