col0,col1
Valerie Norris-Buffham,"Perth, Western Australia"
Christiane Goethals,"Bruges, Belgium"
Horta van Hoye,"Sint-Joris-Weert, Belgium"
Rayna Atanasova,"Varna, Bulgaria"
Mariya Karashka,"Sofia, Bulgaria"
Vanya Marinova,"Varna, Bulgaria"
Vesela Pasheva,"Ruse, Bulgaria"
Neli Stoyanova,"Varna, Bulgaria"
Suzanne Cloutier,"Sainte-Agathe-des-Monts, Quebec"
Jennifer Diachun,"Toronto, Ontario"
Sandra Hartley,"Vancouver, British Columbia"
Teresa McDonnell,"Toronto, Ontario"
Marilynn Minaker,"Kirkland Lake, Ontario"
Hong Tai-Kwai,"Pingtung, Taiwan"
Yu Mai-Lee,"Zhejiang, China"
Nancy Aldama,"Havana, Cuba"
Nereida Bauta,"Havana, Cuba"
Suzette Blanco,"Havana, Cuba"
Zulema Bregado,"Havana, Cuba"
Yolanda Vega,"Havana, Cuba"
Miriam Villacián,"Havana, Cuba"
Věra Čáslavská,"Prague, Czechoslovakia"
Jana Kubičková,"Nové Sady, Czechoslovakia"
Hana Lišková,"Prague, Czechoslovakia"
Marianna Némethová-Krajčírová,"Košice, Czechoslovakia"
Bohumila Řimnáčová,"Prague, Czechoslovakia"
Miroslava Skleničková,"Karlovy Vary, Czechoslovakia"
Else Trangbæk,"Viborg, Denmark"
Maritta Bauerschmidt,"Waldheim, East Germany"
Karin Janz,"Lübben, East Germany"
Marianne Noack,"Rostock, East Germany"
Magdalena Schmidt,"Lauchhammer, East Germany"
Ute Starke,"Eisleben, East Germany"
Erika Zuchold,"Lucka, East Germany"
Nicole Bourdiau,"Écuisses, France"
Jacqueline Brisepierre,"Montceau-les-Mines, France"
Mireille Cayre,"Moulins, France"
Dominique Lauvard,"Vincennes, France"
Evelyne Letourneur,"Vernon, France"
Françoise Nourry,"Bègles, France"
Margaret Bell,"Beckenham, England"
Mary Prestidge,"London, England"
Ágnes Bánfai,"Budapest, Hungary"
Ilona Békési,"Budapest, Hungary"
Anikó Ducza,"Budapest, Hungary"
Katalin Makray,"Vasvár, Hungary"
Katalin Müller,"Budapest, Hungary"
Márta Tolnai,"Pécs, Hungary"
Adriana Biagiotti,"Prato, Italy"
Daniela Maccelli,"Barberino di Mugello, Italy"
Gabriella Pozzuolo,"Genoa, Italy"
Kazue Hanyu,"Fukui Prefecture, Japan"
Kayoko Hashiguchi,"Miyazaki Prefecture, Japan"
Mitsuko Kandori,"Tokyo, Japan"
Miyuki Matsuhisa,"Kyoko Prefecture, Japan"
Taniko Mitsukuri,"Niigata Prefecture, Japan"
Chieko Oda,"Nagasaki Prefecture, Japan"
Rosario Briones,"San Luis Potosí, Mexico"
María Luisa Morales,"Minatitlán, Mexico"
Rosalinda Puente,"Mexico City, Mexico"
María Elena Ramírez,"Mexico City, Mexico"
Laura Rivera,"Mexico City, Mexico"
Julieta Sáenz,"Mexico City, Mexico"
Dorjiin Norolkhoo,"Ulaanbaatar, Mongolia"
Tsagaandorjiin Gündegmaa,"Övörkhangai Province, Mongolia"
Yadamsürengiin Tuyaa,"Ulaanbaatar, Mongolia"
Helga Braathen,"Drammen, Norway"
Unni Holmen,"Oslo, Norway"
Ann-Mari Hvaal,"Sandefjord, Norway"
Torunn Isberg,"Moss, Norway"
Jill Kvamme,"Bergen, Norway"
Wenche Sjong,"Oslo, Norway"
Małgorzata Chojnacka,"Żochy, Poland"
Halina Daniec,"Świdnica, Poland"
Wiesława Lech,"Kraków, Poland"
Łucja Ochmańska,"Kraków, Poland"
Grażyna Witkowska,"Warsaw, Poland"
Barbara Zięba,"Kraków, Poland"
Esbela da Fonseca,"Lisbon, Portugal"
Lyubov Burda,"Voronezh, Russian SFSR"
Olga Karasyova,"Bishkek, Kyrgyz SSR"
Natalia Kuchinskaya,"Saint Petersburg, Russian SFSR"
Larisa Petrik,"Dolinsk, Russian SFSR"
Ludmilla Tourischeva,"Grozny, Russian SFSR"
Zinaida Voronina,"Yoshkar-Ola, Russian SFSR"
Solveig Egman-Andersson,"Arvika, Sweden"
Rose-Marie Holm,"Landskrona, Sweden"
Marie Lundqvist,"Västerås, Sweden"
Wendy Cluff,"Los Angeles, California"
Kathy Gleason,"Buffalo, New York"
Linda Metheny,"Olney, Illinois"
Colleen Mulvihill,"Merrill, Wisconsin"
Cathy Rigby,"Long Beach, California"
Joyce Tanac,"Seattle, Washington"
Petra Jebram,"Wattenscheid, West Germany"
Angelika Kern,"Emmendingen, West Germany"
Irmi Krauser,"Straubing, West Germany"
Helga Matschkur,"Ansbach, West Germany"
Marlies Stegemann,"Wattenscheid, West Germany"
Anna Stein,"Novi Sad, Yugoslavia"
Nataša Bajin-Šljepica,"Belgrade, Yugoslavia"
