col0,col1,col2,col3
KonoSuba: God's Blessing on this Wonderful World!,Kazuma Sato,Jun Fukushima,Arnie Pantoja
KonoSuba: God's Blessing on this Wonderful World!,Aqua,Amamiya Sora,Faye Mata
KonoSuba: God's Blessing on this Wonderful World!,Megumin,Rie Takahashi,Erica Mendez
KonoSuba: God's Blessing on this Wonderful World!,Lalatina Dustiness Ford (Darkness),Ai Kayano,Cristina Vee
Kono Subarashii Sekai ni Shukufuku o!,Chris,Ayaka Suwa,Kira Buckland
KonoSuba: God's Blessing on this Wonderful World!,Vanir,Masakazu Nishida,Anthony Bowling
KonoSuba: God's Blessing on this Wonderful World!,Yunyun,Aki Toyosaki,Kayli Mills
KonoSuba: God's Blessing on this Wonderful World!,Chomusuke,Hitomi Nabatame,Ryan Bartley
KonoSuba: God's Blessing on this Wonderful World!,Wiz,Yui Horie,Brianna Knickerbocker
KonoSuba: God's Blessing on this Wonderful World!,Ruffian,Tetsu Inada,Jeremy Inman
Overlord,Ainz Ooal Gown,Satoshi Hino,Chris Guerrero
Overlord,Albedo,Yumi Hara,Elizabeth Maxwell
Overlord,Shalltear Bloodfallen,Sumire Uesaka,Felecia Angelle
Overlord,Aura Bella Fiora,Emiri Katō,Jill Harris
Overlord,Mare Bello Fiore,Yumi Uchiyama,Megan Shipman
Overlord,Demiurge,Masayuki Katō,Jeff Johnson
Overlord,Cocytus,Kenta Miyake,Bryan Massey
Overlord,Hamsuke,Akeno Watanabe,Heather Walker
Overlord,Yuri Alpha,Hiromi Igarashi,Whitney Rodgers
Overlord,Lupusregina Beta,Mikako Komatsu,Alexis Tipton
Overlord,Narberal Gamma,Manami Numakura,Anastasia Muñoz
Overlord,CZ2128 Delta,Asami Seto,Michelle Rojas
Overlord,Solution Epsilon,Ayane Sakura,Mallorie Rodak
Overlord,Entoma Vasilissa Zeta,Kei Shindō,Tia Ballard
Overlord,Pandora's Actor,Mamoru Miyano,Eric Vale
Overlord,Sebas Tian,Shigeru Chiba,Bill Jenkins
Overlord,Kyouhukou,Hiroshi Kamiya,John Swasey
Re:Zero − Starting Life in Another World,Subaru Natsuki,Yūsuke Kobayashi,Sean Chiplock
Re:Zero − Starting Life in Another World,Emilia,Rie Takahashi,Kayli Mills
Re:Zero − Starting Life in Another World,Puck,Yumi Uchiyama,Erica Mendez
Re:Zero − Starting Life in Another World,Rem,Inori Minase,Brianna Knickerbocker
Re:Zero − Starting Life in Another World,Ram,Rie Murakawa,Ryan Bartley
Re:Zero − Starting Life in Another World,Beatrice,Satomi Arai,Kira Buckland
Re:Zero − Starting Life in Another World,Roswaal L. Mathers,Takehito Koyasu,Ray Chase
Re:Zero − Starting Life in Another World,Felt,Chinatsu Akasaki,Christine Marie Cabanos
Re:Zero − Starting Life in Another World,Reinhard van Astrea,Yuichi Nakamura,Robbie Daymond
Re:Zero − Starting Life in Another World,Julius Juukulius,Takuya Eguchi,Chris Niosi
Re:Zero − Starting Life in Another World,Wilhelm van Astrea,Kenyu Horiuchi,Sonny Franks
Re:Zero − Starting Life in Another World,Petelgeuse Romanee-Conti,Yoshitsugu Matsuoka,Todd Haberkorn
Re:Zero − Starting Life in Another World,Alec Hoshin,Toshiyuki Morikawa,
Re:Zero − Starting Life in Another World,Garfiel Tinzel,Nobuhiko Okamoto,
Re:Zero − Starting Life in Another World,Otto Suwen,Kōhei Amasaki,
The Saga of Tanya the Evil,Tanya von Degurechaff,Aoi Yūki,Monica Rial
The Saga of Tanya the Evil,Viktoriya Ivanovna Serebryakov (Visha),Saori Hayami,Jeannie Tirado
The Saga of Tanya the Evil,Matheus Johann Weiss,Daiki Hamano,Daman Mills
The Saga of Tanya the Evil,Vooren Grantz,Yūsuke Kobayashi,Jeff Johnson
The Saga of Tanya the Evil,Wilibald Koenig,Jun Kasama,Chris Wehkamp
The Saga of Tanya the Evil,Rhiner Neumann,Daichi Hayashi,Ben Phillips
The Saga of Tanya the Evil,Erich von Lergen,Shinichiro Miki,J. Michael Tatum
The Saga of Tanya the Evil,Kurt von Rudersdorf,Tesshō Genda,Greg Dulcie
The Saga of Tanya the Evil,Hans von Zettour,Hōchū Ōtsuka,Mark Stoddard
The Saga of Tanya the Evil,Adelheid von Schugel,Nobuo Tobita,Charlie Campbell
The Rising of the Shield Hero,Naofumi Iwatani,Kaito Ishikawa,Billy Kametz (Season 2)
The Rising of the Shield Hero,Raphtalia,Asami Seto,Erica Mendez
The Rising of the Shield Hero,Filo,Rina Hidaka,Brianna Knickerbocker
The Rising of the Shield Hero,Motoyasu Kitamura,Makoto Takahashi,Xander Mobus
Cautious Hero: The Hero Is Overpowered but Overly Cautious,Seiya Ryuuguuin,Yūichirō Umehara,Anthony Bowling
Cautious Hero: The Hero Is Overpowered but Overly Cautious,Ristarte,Aki Toyosaki,Jamie Marchi
Original characters,Pantagruel,Minami Tanaka,
Original characters,Vera Mitrohina,Nana Mizuki,
