col0,col1,col2
Exeter,Labour,1997 UK general election
Mid Dorset and North Poole,Liberal Democrats,2001
Taunton Deane,Lib Dems,2010
South Swindon,Tories,2010
Bournemouth West,Conservative Party (Great Britain) -- Records and correspondence,2010
Stroud,Conservative,2010
Christchurch,Conservative,"General election, 1997"
The Cotswolds,Conservative,1997 general election
Plymouth Sutton and Devonport,Conservative,2010 UK general election
Torridge and West Devon,Conservative,2005
South Dorset,Conservative,2010
Bournemouth East,Conservative and Unionist Party,2005
Camborne and Redruth,Conservatives,2010
Bath,Lib Dems,1992
North Somerset,Conservative,2010
St Ives,Liberal Democrats,1997
St Austell and Newquay,Liberal Democrats,2010
Salisbury,Conservatives,2010 general election
Gloucester,Conservative Party (UK),2010
North Wiltshire,Conservative,1997 UK general election
Chippenham,Liberal Democrats,2010
Forest of Dean,Conservative,2005
North Devon,Lib Dems,1992
Somerton and Frome,Lib Dems,1997 UK general election
Cheltenham,Lib Dems,2005
Yeovil,Liberal Democrats,"UK general election, 2001"
Bristol North West,Conservative,2010
West Dorset,Conservative and Unionist Party,1997
Bridgwater and West Somerset,Conservative,2010
Filton and Bradley Stoke,Conservative,"UK general election, 2010"
Bristol East,Labour,2005
Newton Abbot,Conservative Party (Great Britain) -- Records and correspondence,2010 UK general election
Wells,Lib Dems,2010
South East Cornwall,Tory Party,2010
South West Wiltshire,Conservative,"United Kingdom general election, 2010"
Truro and Falmouth,Conservative,2010
Tiverton and Honiton,UK Conservative Party,2010
Weston-super-Mare,United Kingdom Conservative Party,2005
Devizes,Conservative,2010
Bristol South,Labour Party (UK),1987
North East Somerset,British Conservative Party,2010
Tewkesbury,Conservative and Unionist Party,"United Kingdom general election, 1997"
North Cornwall,Lib Dems,2005
Torbay,Liberal Democrats,"UK general election, 1997"
Plymouth Moor View,Labour Party (Great Britain) -- Wales -- Records and correspondence,2010
Kingswood,Conservative Party (Great Britain) -- Records and correspondence,"United Kingdom general election, 2010"
South West Devon,Conservative,"United Kingdom general election, 1997"
Central Devon,UK Conservative Party,2010
East Devon,Conservative and Unionist Party,2001
Poole,Conservative,1997 UK general election
North Swindon,Conservative,2010 UK general election
North Dorset,Conservative,1997
Thornbury and Yate,Liberal Democrats,2010
Bristol West,Liberal Democrats,2005
Totnes,UK Conservative Party,2010
