col0,col1,col2
Oldham East & Saddleworth,Labour,2011 by-election
Liverpool Wavertree,Labour Co-op,2010
Rossendale and Darwen,Conservative,2010
Altrincham and Sale West,Conservative,"United Kingdom general election, 1997"
Congleton,Conservative,2010
Leigh,"Labor Party, UK",2001
Stockport,Labour,1992
Burnley,Labour Party (Great Britain) -- Wales -- Records and correspondence,2015
West Lancashire,Labour,2005
Bolton North East,"Labor Party, UK",1997
Rochdale,Independent,"UK general election, 2010"
Bootle,Labour Party (UK),2015
Wallasey,Labour,1992
Garston and Halewood,Labour,"UK general election, 2010"
Liverpool Riverside,Labour Co-op,"General election, 1997"
Sefton Central,Labour,2010
Weaver Vale,Conservative,2010
Ribble Valley,Conservative,1992
Westmorland and Lonsdale,Liberal Democrats,2005
Birkenhead,Labour,1979
Makerfield,Labour,2010
Bolton West,UK Conservative Party,2015
Stretford and Urmston,Labour,"General election, 2010"
Wirral West,Labour,2015
Denton and Reddish,Labour,2005
Copeland,Conservative Party (Great Britain) -- Elections,2017 by-election
Workington,Labour Party (Great Britain) -- Wales -- Records and correspondence,2015
Preston,Labour Co-op,2000 by-election
Blackburn,Labour,2015
Knowsley,Labour,2010
Chorley,Labour,1997
Hyndburn,Labour,"General election, 2010"
Warrington North,Labour Party (Great Britain) -- Wales -- Records and correspondence,1997
Wythenshawe and Sale East,Labour,2014 by-election
Worsley and Eccles South,Labour,2010
South Ribble,Conservative,2015
Bury South,Labour,"UK general election, 1997"
Salford and Eccles,"Labor Party, UK",2015
Ellesmere Port and Neston,Labour,2015
Blackpool South,Labour Party (UK),1997 UK general election
City of Chester,Labour,2015
Blackpool North and Cleveleys,Conservative,2010
St Helens North,Labour,2015
Wirral South,Labour,2010
Heywood and Middleton,"Labor Party, UK",2014 by-election
Oldham West and Royton,Labour,2015 by-election
Fylde,Conservative,2010
Morecambe and Lunesdale,Conservative Party (Great Britain) -- Elections,2010
Warrington South,Conservative,2010
Wigan,Labour,2010 UK general election
Bury North,Conservative,2010
Tatton,Conservative,2001
Manchester Central,Labour Co-op,2012 by-election
Southport,Liberal Democrats,2001
Bolton South East,Labour,"United Kingdom general election, 2010"
Ashton-under-Lyne,Labour,2015
Stalybridge and Hyde,Labour Co-op,2010
St Helens South and Whiston,"Labor Party, UK",2015
Cheadle,Conservatives,2015
Liverpool Walton,Labour Party (UK),2010
Macclesfield,Conservative,2010
Eddisbury,UK Conservative Party,2015
Lancaster and Fleetwood,Labour,2015
Manchester Withington,Labour,2015
Pendle,Conservative,2010
Carlisle,Conservative Party (Great Britain) -- Elections,2010
Penrith and The Border,UK Conservative Party,2015
Blackley and Broughton,Labour Party (UK),2010 UK general election
Crewe and Nantwich,Conservative,2008 by-election
Halton,Labour,"UK general election, 1997"
Liverpool West Derby,Labour Co-op,2010 general election
Wyre and Preston North,Conservative,2010 general election
Barrow and Furness,Labour Co-op,2010
Hazel Grove,Conservative Party (Great Britain) -- Records and correspondence,2015
