col0,col1,col2,col3,col4
2000,Annie,Annie,Paul Bogaev,ABC
2000,E-Trade Super Bowl XXXIV Halftime Show,E-Trade Super Bowl XXXIV Halftime Show,Dan Stamper,ABC
2000,Heroes for the Planet Featuring Special Guest Charlotte Church,Heroes for the Planet Featuring Special Guest Charlotte Church,Michael Andreas,A&E
2000,The Kennedy Center Honors,The Kennedy Center Honors,Elliot Lawrence,Columbia Broadcasting System
2000,The Little Richard Story,The Little Richard Story,David Sibley,NBC
2001,Barbra Streisand: Timeless,Barbra Streisand: Timeless,Marvin Hamlisch,Fox
2001,Christmas in Washington,Christmas in Washington,Ian Fraser,TNT
2001,The Kennedy Center Honors,The Kennedy Center Honors,Elliott Lawrence Broza,CBS
2001,My Favorite Broadway: The Love Songs (Great Performances),My Favorite Broadway: The Love Songs (Great Performances),Paul Gemignani,PBS
2001,Rodgers & Hammerstein's South Pacific,Rodgers & Hammerstein's South Pacific,Paul Bogaev,ABC
2002,Opening Ceremony Salt Lake 2002 Olympic Winter Games,Opening Ceremony Salt Lake 2002 Olympic Winter Games,Mark Watters,NBC
2002,The 74th Annual Academy Awards,The 74th Annual Academy Awards,John Williams,ABC
2002,Buffy the Vampire Slayer,"Once More, with Feeling",Christophe Beck and Jesse Tobias,UPN
2002,Christmas in Washington,Christmas in Washington,Ian Fraser,TNT
2002,The Kennedy Center Honors,The Kennedy Center Honors,Elliot Laurence Broza,CBS
2002,Ultimate Manilow!,Ultimate Manilow!,Steve Welch,CBS
2003,The 75th Annual Academy Awards,The 75th Annual Academy Awards,Bill Conti,ABC
2003,Cher: The Farewell Tour,Cher: The Farewell Tour,Paul Mirkovich,NBC
2003,Christmas in Washington,Christmas in Washington,Ian Fraser,TNT
2003,Meredith Willson's The Music Man,Meredith Willson's The Music Man,Michael Kosarin,ABC
2004,Harry Connick Jr.: Only You in Concert (Great Performances),Harry Connick Jr.: Only You in Concert (Great Performances),Harry Connick Jr.,PBS
2004,The 76th Annual Academy Awards,The 76th Annual Academy Awards,Marc Shaiman and Harold Wheeler,ABC
2004,Christmas in Washington,Christmas in Washington,Ian Fraser,TNT
2004,The Kennedy Center Honors,The Kennedy Center Honors,Elliot Lawrence,CBS
2005,A Christmas Carol,A Christmas Carol,Michael Kosarin,NBC
2005,Broadway: The American Musical,"Oh, What a Beautiful Morning",Matthias Gohl,PBS
2005,Christmas in Washington,Christmas in Washington,Ian Fraser,TNT
2005,Genius: A Night for Ray Charles,Genius: A Night for Ray Charles,Rickey Minor,Eye Network
2005,The Little Prince (Great Performances),The Little Prince (Great Performances),Rachel Portman,PBS
2006,South Pacific in Concert from Carnegie Hall (Great Performances),South Pacific in Concert from Carnegie Hall (Great Performances),Paul Gemignani,PBS
2006,78th Annual Academy Awards,78th Annual Academy Awards,Bill Conti,ABC
2006,Andrea Bocelli: Amore Under the Desert Sky (Great Performances),Andrea Bocelli: Amore Under the Desert Sky (Great Performances),David Foster,PBS
2006,The Kennedy Center Honors,The Kennedy Center Honors,Elliot Lawrence and Rob Mathes,CBS
2006,The 59th Annual Tony Awards,The 59th Annual Tony Awards,Elliot Lawrence Productions,Tiffany Network
2007,The 79th Annual Academy Awards,The 79th Annual Academy Awards,William Ross,ABC
2007,Dancing with the Stars,310,Harold Wheeler,ABC
2007,Scrubs,My Musical,Jan Stevens,NBC
2007,The 60th Annual Tony Awards,The 60th Annual Tony Awards,Elliot Lawrence,CBS
2008,Movies Rock,Movies Rock,Steve Jordan and Mark Watters,Eye Network
2008,The 80th Annual Academy Awards,The 80th Annual Academy Awards,Bill Conti,ABC
2008,Barry Manilow: Songs from the Seventies,Barry Manilow: Songs from the Seventies,Ron Walters Jr.,PBS
2008,Christmas in Washington,Christmas in Washington,Ian Fraser,TNT
2008,The 50th Annual Grammy Awards,The 50th Annual Grammy Awards,Rickey Minor,Columbia Broadcasting System
2009,Streisand: The Concert,Streisand: The Concert,William Ross,NBC
2009,Christmas in Washington,Christmas in Washington,Ian Fraser,TNT
2009,Dancing with the Stars,710A,Harold Wheeler,ABC
2009,The 51st Annual Grammy Awards,The 51st Annual Grammy Awards,Rickey Minor,CBS
2009,The Kennedy Center Honors,The Kennedy Center Honors,Rob Berman and Rob Mathes,Black Rock
