col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13
Knowsley South,Hughes,Hughes,Hughes,Hughes,O'Hara,O'Hara,O'Hara,O'Hara,O'Hara,O'Hara,O'Hara,O'Hara,O'Hara
Birkenhead,Field,Field,Field,Field,Field,Field,Field,Field,Field,Field,Field,Field,Field
Bootle,Roberts,Roberts,Roberts,Roberts,Carr,Joseph Edward Benton,Benton,Joseph Edward Benton,Joseph Edward Benton,Joseph Edward Benton,Benton,Joseph Edward Benton,Benton
Knowsley N / Knowsley N & Sefton E (1997),Robert Michael Kilroy-Silk,Howarth,Howarth,Howarth,Sir George Edward Howarth,Howarth,Howarth,Howarth,Sir George Edward Howarth,Sir George Edward Howarth,Sir George Edward Howarth,Sir George Edward Howarth,Howarth
Liverpool Garston,Loyden,Loyden,Loyden,Loyden,Loyden,Loyden,Loyden,Loyden,Loyden,M. Eagle,M. Eagle,M. Eagle,M. Eagle
Liverpool Riverside,Parry,Parry,Parry,Parry,Parry,Parry,Parry,Parry,Parry,Ellman,Ellman,Ellman,Ellman
Liverpool Walton,Eric Samuel Heffer,Heffer,Eric Samuel Heffer,Heffer,Heffer,Eric Samuel Heffer,Kilfoyle,Kilfoyle,Kilfoyle,Kilfoyle,Kilfoyle,Kilfoyle,Kilfoyle
Liverpool Broadgreen / Liverpool Wavertree (1997),Fields,Terence Fields,Fields,Terence Fields,Terence Fields,Fields,Fields,Kennedy,Kennedy,Jane Elizabeth Kennedy,Kennedy,Kennedy,Jane Elizabeth Kennedy
Liverpool West Derby,Wareing,Robert Wareing,Wareing,Wareing,Robert Nelson Wareing,R.N. Wareing,Wareing,Wareing,R.N. Wareing,Robert Nelson Wareing,Robert Nelson Wareing,Robert Nelson Wareing,→
St Helens North,John Evans,Evans,John Evans,Evans,Evans,John Evans,Evans,John Evans,Evans,Watts,Watts,Watts,Watts
St Helens South,Bermingham,Bermingham,Bermingham,Gerald Edward Bermingham,Bermingham,Bermingham,Bermingham,Gerald Edward Bermingham,Bermingham,Gerald Edward Bermingham,Woodward,Woodward,Shaun Anthony Woodward
Wallasey,Chalker,"Lynda Bates, Baroness Chalker of Wallasey",Lynda Chalker,Chalker,Chalker,Chalker,Chalker,A. Eagle,Dame Angela Eagle,A. Eagle,Dame Angela Eagle,Dame Angela Eagle,Dame Angela Eagle
Wirral South,George Barrington Porter,George Barrington Porter,Porter,George Barrington Porter,George Barrington Porter,Porter,George Barrington Porter,Porter,Chapman,James Keith Chapman,James Keith Chapman,Chapman,Chapman
Crosby,Thornton,Thornton,Thornton,Thornton,Thornton,Thornton,Thornton,Thornton,Thornton,Curtis-Thomas,Curtis-Thomas,Curtis-Thomas,Curtis-Thomas
Wirral West,Hunt,Hunt,Hunt,Hunt,Hunt,Hunt,Hunt,Hunt,Hunt,Hesford,Hesford,Hesford,Hesford
Southport,Percival,Percival,Fearn,→,→,→,→,Banks,Banks,Fearn,Pugh,Pugh,Pugh
Liverpool Mossley Hill,Alton,Alton,Alton,→,→,→,→,→,→,,,,
