col0,col1,col2,col3,col4
1,Steve Park,"Dale Earnhardt, Inc.",Chevrolet,Pennzoil
2,"Russell William Wallace, Jr.",Penske-Kranefuss Racing,Ford,Miller Lite
3,Dale Earnhardt,Richard Childress Racing,Chevy,GM Goodwrench Service
4,Charles Robert,Morgan-McClure Motorsports,Chevrolet,Eastman Kodak Company
5,Terry Labonte,Hendrick Motorsports,Chevrolet,Kellogg's
6,Mark Martin,Roush Racing,Ford,"Valvoline, Cummins"
7,Michael Waltrip,Mattei Motorsports,Chevrolet,NationsRent
8,Dale Earnhardt Jr. (R),"Dale Earnhardt, Inc.",Chevy,Budweiser
9,Stacy Compton (R),Melling Racing,Ford Motor,Kodiak
10,Johnny Benson Jr.,Tyler Jet Motorsports,Pontiac,Lycos
11,Brett Bodine,Brett Bodine Racing,Ford,Ralphs Supermarkets
12,Jeremy Mayfield,Penske-Kranefuss Racing,Ford,Mobil 1
13,Robby Gordon,Team Menard,Ford,"Burger King, The Flintstones in Viva Rock Vegas"
14,Rick Mast,A. J. Foyt Enterprises,Pontiac,Conseco
16,Kevin Lepage,Roush Racing,Ford,Family Click
17,Matt Kenseth (R),Roush Racing,Ford Motor,DeWalt
18,Bobby Labonte,Joe Gibbs Racing,Pontiac,Interstate Batteries
20,Tony Stewart,Joe Gibbs Racing,Pontiac,The Home Depot
21,Elliott Sadler,Wood Brothers Racing,FoMoCo,Citgo
22,Ward Burton,Bill Davis Racing,Pontiac,Caterpillar
24,Jeff Gordon,Hendrick Motorsports,Chevy,DuPont Automotive Finishes
25,Jerry Nadeau,Hendrick Motorsports,Chevrolet,Michael Holigan
26,Jimmy Spencer,Haas-Carter Motorsports,Ford Motor,Big Kmart
27,Mike Bliss (R),Eel River Racing,Pontiac,Viagra
28,Ricky Rudd,Robert Yates Racing,Ford Motor Corporation,"Texaco, Havoline"
31,Mike Skinner,Richard Childress Racing,Chevy,Lowe's
32,Scott Pruett (R),PPI Motorsports,Ford,Tide
33,Joe Nemechek,Andy Petree Racing,Chevy,Oakwood Homes
36,Ken Schrader,MB2 Motorsports,Pontiac,M&M's
40,Sterling Marlin,Team SABCO,Chevrolet,Coors Light
42,Kenny Irwin Jr.,Team SABCO,Chevrolet,BellSouth
43,John Andretti,Petty Enterprises,Pontiac,"STP, Cheerios"
44,Kyle Petty,Petty Enterprises,Pontiac,Hot Wheels
50,Ricky Craven,Midwest Transit Racing,Chevrolet,Midwest Transit
55,Kenny Wallace,Andy Petree Racing,Chevrolet,Square D
60,Geoff Bodine,Joe Bessey Racing,Chevrolet,Power Team
66,Darrell Waltrip,Haas-Carter Motorsports,Ford Motors,"Route 66, Big Kmart"
71,Dave Marcis,Marcis Auto Racing,Chevy,Realtree
75,Wally Dallenbach Jr.,Galaxy Motorsports,Ford,RedCell
77,Robert Pressley,Jasper Motorsports,Ford,Jasper Engines & Transmissions
88,Dale Jarrett,Robert Yates Racing,Ford,"Quality Care Service, Ford Credit"
90,Ed Berrier (R),Donlavey Racing,Ford,Hills Bros. Coffee
91,Todd Bodine,LJ Racing,Chevy,Little Joe's Autos
93,Dave Blaney (R),Bill Davis Racing,Pontiac,Amoco
94,Bill Elliott,Bill Elliott Racing,Ford,McDonald's
97,Chad Little,Roush Racing,Ford Motor Corporation,John Deere
99,Jeff Burton,Roush Racing,Ford,Exide Batteries
Official entry list,Official entry list,Official entry list,Official entry list,Official entry list
