col0,col1,col2,col3,col4
John Aikman,Non-Labor,1904,William Edgar,Non-Labor
John Aikman,Non-Labor,1907,William Edgar,Non-Labor
John Aikman,Non-Labor,1910,William Edgar,Non-Labor
John Aikman,Non-Labor,1913,William Fielding,Victorian Labor
John Aikman,Non-Labor,1916,James Herbert Arthur Disney,VIC Labor
Daniel McNamara,VIC Labor,1916,James Herbert Arthur Disney,VIC Labor
John Aikman,Non-Labor,1916,Arthur Disney,Victorian Labor
John George Aikman,Nationalist,1917,Arthur Disney,Victorian Labor
John Aikman,Nationalist,1919,Arthur Disney,Labor
Robert Williams,Labor,1922,Arthur Disney,Victorian Labor
Robert Williams,Labor,1925,James Herbert Disney,Labor
Robert Williams,Labor,1928,James Herbert Disney,Labor
Robert Williams,Labor,1931,Arthur Disney,VIC Labor
Robert Williams,Independent,1932,James Herbert Arthur Disney,VIC Labor
Robert Williams,Independent,1934,Arthur Disney,Labor
Robert Williams,Independent,1937,James Herbert Disney,Victorian Labor
Pat Kennelly,Labor,1938,Arthur Disney,VIC Labor
Pat Kennelly,Labor,1940,Arthur Disney,Labor
Pat Kennelly,Labor,1943,Arthur Disney,Victorian Labor
Pat Kennelly,Labor,1943,Les Coleman,Victorian Labor
Pat Kennelly,Labor,1946,Les Coleman,Labor
Pat Kennelly,Labor,1949,Les Coleman,Labor
Bert Bailey,Labor,1952,Les Coleman,VIC Labor
Bert Bailey,Labor (A-C),1955,Les Coleman,Labor (A-C)
Bert Bailey,Labor (A-C),1955,Buckley Machin,Victorian Labor
Archie Todd,Victorian Labor,1958,Buckley Machin,Labor
Archie Todd,Labor,1961,Buckley Machin,Victorian Labor
Archie Todd,Labor,1963,Alexander Knight,Labor
Archie Todd,Victorian Labor,1964,Alexander Knight,Victorian Labor
Archie Todd,Victorian Labor,1967,Alexander Knight,Labor
Bunna Walsh,Labor,1970,Alexander Knight,VIC Labor
Bon Thomas,Labor,1970,Alexander Knight,VIC Labor
Bon Thomas,Labor,1973,Alexander Knight,Victorian Labor
Bon Thomas,Victorian Labor,1976,Alexander Knight,Labor
Bon Thomas,VIC Labor,1979,Joan Coxsedge,Labor
Joan Kirner,Labor,1982,Joan Coxsedge,Labor
Joan Kirner,Labor,1985,Joan Coxsedge,Labor
Licia Kokocinski,Labor,1988,Joan Coxsedge,Labor
Licia Kokocinski,Labor,1992,Jean McLean,VIC Labor
Sang Nguyen,Labor,1996,Jean McLean,Labor
Sang Nguyen,Labor,1999,Kaye Darveniza,VIC Labor
Sang Nguyen,VIC Labor,2002,Kaye Darveniza,Labor
