col0,col1
1929,Barcelona
1929-30 La Liga,Athletic Bilbao
1930-31 La Liga,Athletic Bilbao
1931-32 La Liga,Madrid FC
1932-33,Real Football Club
1933-34,Athletic Bilbao
1934-35,Real Betis
1935-36,Athletic Bilbao
1936-39,Cancelled due to Civil War
1939-40,Atlético Aviación
1940-41,Atlético Aviación
1941-42,Valencia
1942-43,Athletic Bilbao
1943-44,Valencia
1944-45,Football Club of Barcelona
1945-46,Sevilla
1946-47,Valencia
1947-48,Barcelona
1948-49,Barcelona FC
1949-50,Atlético Madrid
1950-51,Atlético Madrid
1951-52,Barcelona
1952-53,Barcelona
1953-54,Royal Madrid Football Club
1954-55,Real Madrid Club of Football
1955-56,Athletic Bilbao
1956-57,Real Madrid
1957-58,Real Madrid
1958-59,Futbol Club Barcelona
1959-60,Futbol Club Barcelona
1960-61,Real Madrid
1961-62,Madrid FC
1962-63,Real Madrid
1963-64,Royal Madrid Football Club
1964-65,Real Madrid
1965-66,Atlético Madrid
1966-67,Real Football Club
1967-68,Royal Madrid
1968-69,Real FC
1969-70,Atlético Madrid
1970-71,Valencia
1971-72,Real Madrid
1972-73,Atlético Madrid
1973-74,Barcelona
1974-75,Royal Madrid
1975-76,Real Madrid
1976-77,Atlético Madrid
1977-78,Real Madrid
1978-79,Madrid Football Club
1979-80,Real Madrid
1980-81,Real Sociedad
1981-82,Real Sociedad
1982-83,Athletic Club de Bilbao
1983-84,Athletic Bilbao
1984-85,Barcelona
1985-86,Real Madrid
1986-87,Real Madrid
1987-88,Real Madrid
1988-89,Real Madrid
1989-90,Real Football Club
1990-91,Barcelona
1991-92,Barcelona
1992-93,F.C.B.
1993-94,Barcelona
1994-95,Real Madrid C.F.
1995-96,Atlético Madrid
1996-97,Real Madrid
1997-98,Barcelona
1998-99,Barcelona
1999-2000,Deportivo La Coruña
2000-01,Royal Madrid
2001-02,Valencia
2002-03,Real Madrid
2003-04,Valencia
2004-05,FCB
2005-06,Barcelona FC
2006-07,RMCF
2007-08,Real Madrid Club of Football
2008-09,Barcelona
2009-10,Barcelona
2010-11,Barcelona
2011-12,Real Madrid
2012-13,Barcelona
2013-14,Atlético Madrid
2014-15,Barcelona
2015-16,Barcelona
2016-17,Real Madrid
2017-18,Barcelona
2018-19,FC Barcelona Football
2019-20,Real Madrid
2020-21,Atlético Madrid
2021-22,Real Madrid
2022-23,Barcelona
2023-24,Real Madrid Club of Football
