col0,col1,col2,col3,col4
1970    (28th),James Brolin,Dr. Steven Kiley,"Marcus Welby, M.D.",ABC
1970    (28th),Tige Andrews,Captain Adam Greer,The Mod Squad,ABC
1970    (28th),Michael Constantine,Seymour Kaufman,Room 222,ABC
1970    (28th),Henry Gibson,Various Characters,Laugh-In,NBC
1970    (28th),Zalman King Lefkowitz,Aaron Silverman,The Young Lawyers,ABC
1971    (29th),Ed Asner,Lou Grant,The Mary Tyler Moore Show,CBS
1971    (29th),James Brolin,Dr. Steven Kiley,"Marcus Welby, M.D.",ABC
1971    (29th),Harvey Korman,Various Characters,The Carol Burnett Show,CBS
1971    (29th),Rob Reiner,Michael Stivic,All in the Family,CBS
1971    (29th),Milburn Stone,Dr. Galen Doc Adams,Gunsmoke,CBS
1972    (30th),James Brolin,Dr. Steven Kiley,"Marcus Welby, M.D.",ABC
1972    (30th),Ed Asner,Lou Grant,The Mary Tyler Moore Show,CBS
1972    (30th),Ted Knight,Ted Baxter,The Mary Tyler Moore Show,CBS
1972    (30th),Harvey Korman,Various Characters,The Carol Burnett Show,CBS
1972    (30th),Rob Reiner,Michael Stivic,All in the Family,CBS
1973    (31st),McLean Stevenson,"Lt. Col. Henry Braymore Blake, M.D.",M*A*S*H,CBS
1973    (31st),Ed Asner,Lou Grant,The Mary Tyler Moore Show,CBS
1973    (31st),Will Geer,Zebulon Walton,The Waltons,CBS
1973    (31st),Harvey Korman,Various Characters,The Carol Burnett Show,CBS
1973    (31st),Strother Martin,R.J. Hawkins,Hawkins,CBS
1973    (31st),Rob Reiner,Michael Stivic,All in the Family,CBS
1974    (32nd),Harvey Korman,Various Characters,The Carol Burnett Show,CBS
1974    (32nd),Will Geer,Zebulon,The Waltons,CBS
1974    (32nd),Gavin McLeod,Murray Slaughter,The Mary Tyler Moore Show,CBS
1974    (32nd),Whitman Mayo,Grady Wilson,Sanford and Son,NBC
1974    (32nd),Jimmie Walker,"James J.J. Evans, Jr.",Good Times,CBS
1975    (33rd),Ed Asner,Lou Grant,The Mary Tyler Moore Show,CBS
1975    (33rd),Tim Conway,Various Characters,The Carol Burnett Show,CBS
1975    (33rd),Ted Knight,Ted Baxter,The Mary Tyler Moore Show,CBS
1975    (33rd),Rob Reiner,Michael Stivic,All in the Family,CBS
1975    (33rd),Jimmie Walker,"James J.J. Evans, Jr.",Good Times,CBS
1976    (34th),Ed Asner,Axel Jordache,"Rich Man, Poor Man",ABC
1976    (34th),Tim Conway,Various Characters,The Carol Burnett Show,CBS
1976    (34th),Charles Durning,Ed Healey,Captains and the Kings,NBC
1976    (34th),Gavin McLeod,Murray Slaughter,The Mary Tyler Moore Show,CBS
1976    (34th),Rob Reiner,Michael Stivic,All in the Family,CBS
1977    (35th),No Award,No Award,No Award,No Award
1978    (36th),Norman Fell,Stanley Roper,Three's Company,ABC
1978    (36th),Jeff Conaway,Bobby Wheeler,Taxi,ABC
1978    (36th),Danny DeVito,Louie De Palma,Taxi,ABC
1978    (36th),Pat Harrington Jr.,Dwayne Schneider,One Day at a Time,CBS
1978    (36th),Andy Kaufman,Latka Gravas,Taxi,ABC
1979    (37th),Danny DeVito,Louie De Palma,Taxi,ABC
1979    (37th),Vic Tayback,Mel Sharples,Alice,CBS
1979    (37th),Jeff Conaway,Bobby Wheeler,Taxi,ABC
1979    (37th),Tony Danza,Anthony Tony Banta,Taxi,ABC
1979    (37th),David Doyle,John Bosley,Charlie's Angels,ABC
