col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12
1989,Beryl Jones,Labor,Robert John Thomas,Labor,Douglas William Wenn,Labor,Bill Stretch,WA Liberals,Muriel Grace Quartermaine,Liberals WA,Barry House,WA Liberals
1993,John Cowdell,Labor,Bob Thomas,Labor,Doug Wenn,WA Labor,Bill Stretch,Liberal Party of Western Australia,Muriel Grace Quartermaine,WA Liberals,Barry House,Liberal
1996,John Cowdell,Labor,Robert John Thomas,Labor,Chrissy Sharp,WA Greens,William Noel Stretch,WA Liberals,Muriel Patterson,Liberal,Barry John House,Liberal
2001,John Cowdell,WA Labor,Adele Farina,Labor,Chrissy Sharp,WA Greens,Bill Stretch,Liberal,Robyn McSweeney,Liberal,Barry House,Liberal Party of Western Australia
2003,John Alexander Cowdell,Australian Labor Party (Western Australian Branch),Adele Farina,WA Labor,Chrissy Sharp,WA Greens,William Noel Stretch,Liberal,Robyn McSweeney,Liberal,Barry House,Liberals WA
"Western Australian state election, 2005",Sally Talbot,Australian Labor Party (Western Australian Branch),Adele Farina,Labor,Matt Benson-Lidholm,Labor,Nigel Hallett,WA Liberals,Robyn McSweeney,Liberal,Barry House,Liberal
2008,Sally Talbot,Labor,Adele Farina,WA Labor,Colin James Holt,National Party of Australia (Western Australia),Nigel Charles Hallett,Liberal,Robyn McSweeney,Liberals WA,Barry House,Liberal Party of Western Australia
"Western Australian state election, 2013",Sally Elizabeth Talbot,Australian Labor Party (Western Australian Branch),Adele Farina,WA Labor,Colin Holt,Nationals,Nigel Charles Hallett,Liberals WA,Robyn McSweeney,Liberal,Barry House,Liberal
2016,Sally Elizabeth Talbot,WA Labor,Adele Farina,Australian Labor Party (Western Australian Branch),Colin James Holt,Nationals,Nigel Charles Hallett,"Shooters, Fishers, Farmers",Robyn McSweeney,Liberal,Barry John House,Liberal
2017,Sally Talbot,Labor,Adele Farina,Labor,Colin Holt,Nationals,Diane Evers,Greens WA,Steven Caldwell Thomas,WA Liberals,Colin Tincknell,One Nation
"Western Australian state election, 2021",Sally Elizabeth Talbot,Labor,Alannah Joan Geraldine Cecilia MacTiernan,Labor,Jackie Jarvis,Labor,Sophia Moermond,LCWA,Steven Caldwell Thomas,WA Liberals,James Dorrin Hayward,Nationals
2021,Sally Talbot,Labor,Alannah MacTiernan,Labor,Jackie Jarvis,WA Labor,Sophia Moermond,Legalise Cannabis,Steve Thomas,Liberal,James Hayward,Independent
2023a,Sally Talbot,Labor,Ben Dawkins,Independent Labor,Jackie Jarvis,Labor,Sophia Moermond,Legalise Cannabis,Steve Thomas,Liberal Party of Western Australia,James Hayward,Independent
2023b,Sally Talbot,Labor,Ben Dawkins,independent,Jackie Jarvis,WA Labor,Sophia Moermond,Legalise Cannabis,Steven Caldwell Thomas,WA Liberals,Louise Kingston,Country Party of Western Australia
2024a,Sally Elizabeth Talbot,Labor,Ben Dawkins,non-partisan politician,Jackie Jarvis,Labor,Sophia Moermond,independent candidate,Steven Caldwell Thomas,WA Liberals,Louise Kingston,Nationals
2024b,Sally Talbot,Labor,Ben Dawkins,Independent,Jackie Jarvis,Australian Labor Party (Western Australian Branch),Sophia Moermond,nonpartisan politician,Steve Thomas,Liberal,Louise Kingston,independent candidate
