col0,col1
1,"Unemployment Insurance Amendment Act, 1981"
2,"Marine Traffic Act, 1981"
3,"Merchant Shipping Amendment Act, 1981"
4,"Civil Aviation Offences Amendment Act, 1981"
5,"Explosives Amendment Act, 1981"
6,"Prevention and Combating of Pollution of the Sea by Oil Act, 1981 (before 1997)    Marine Pollution (Control and Civil Liability) Act, 1981 (after 1997)"
7,"Atomic Energy Amendment Act, 1981"
8,"Tiger's-Eye Control Amendment Act, 1981"
9,"Indians Education Amendment Act, 1981"
10,"Education and Training Amendment Act, 1981"
11,"Culture and Education Laws Amendment Act, 1981"
12,"Sectional Titles Amendment Act, 1981"
13,"National Monuments Amendment Act, 1981"
14,"Plant Breeders' Rights Amendment Act, 1981"
15,"Canned Fruit Export Marketing Amendment Act, 1981"
16,"Electoral Act for Indians Amendment Act, 1981"
17,"Defence Special Account Amendment Act, 1981"
18,"Subdivision of Agricultural Land Amendment Act, 1981"
19,"Fund-raising Amendment Act, 1981"
20,"Medicines and Related Substances Control Amendment Act, 1981"
21,"Atmospheric Pollution Prevention Amendment Act, 1981"
22,"Tweefontein Timber Company Limited Act, 1981"
23,"Mineral Laws Supplementary Act Amendment Act, 1981"
24,"Workmen's Compensation Amendment Act, 1981"
25,"Commission for Fresh Produce Markets Amendment Act, 1981"
26,"Land Survey Amendment Act, 1981"
27,"Technikons (Education and Training) Act, 1981"
28,"Magistrates' Courts Amendment Act, 1981"
29,"Railways and Harbours Acts Amendment Act, 1981"
30,"Railway Construction Act, 1981"
31,"Hazardous Substances Amendment Act, 1981"
32,"Foodstuffs, Cosmetics and Disinfectants Amendment Act, 1981"
33,"Health Amendment Act, 1981"
34,"Railways and Harbours Additional Appropriation Act, 1981"
35,"Electoral Amendment Act, 1981"
36,"Financial Institutions Amendment Act, 1981"
37,"Additional Appropriation Act, 1981"
38,"Mental Health Amendment Act, 1981"
39,"Part Appropriation Act, 1981"
40,"Republic of South Africa Constitution Amendment Act, 1981"
41,"Precious Stones Amendment Act, 1981"
42,"South African Iron and Steel Industrial Corporation, Limited, Amendment Act, 1981"
43,"Prisons Amendment Act, 1981"
44,"Black Administration Amendment Act, 1981"
45,"Marriage Amendment Act, 1981"
46,"Regulation of Functions of Officers in the Public Service Amendment Act, 1981"
47,"Police Amendment Act, 1981"
48,"Wage Amendment Act, 1981"
49,"Railways and Harbours Part Appropriation Act, 1981"
50,"Post Office Part Appropriation Act, 1981"
51,"Environment Planning Amendment Act, 1981"
52,"Judges' Remuneration Amendment Act, 1981"
53,"Unauthorized Expenditure (1979-1980) Act, 1981"
54,"Unit Trusts Control Act, 1981"
55,"Participation Bonds Act, 1981"
56,"Manpower Training Act, 1981"
57,"Labour Relations Amendment Act, 1981"
58,"Second Wage Amendment Act, 1981"
59,"National Road Safety Amendment Act, 1981"
60,"Second Railways and Harbours Acts Amendment Act, 1981"
61,"Second Railway Construction Act, 1981"
62,"Guidance and Placement Act, 1981"
63,"Aviation Amendment Act, 1981"
64,"Road Transportation Amendment Act, 1981"
65,"South African Transport Services Act, 1981"
66,"Medical, Dental and Supplementary Health Service Professions Amendment Act, 1981"
67,"Pension Laws Amendment Act, 1981"
68,"Alienation of Land Act, 1981"
69,"Electoral Act for Indians Second Amendment Act, 1981"
70,"South African Indian Council Amendment Act, 1981"
71,"Nursing Amendment Act, 1981"
72,"Medical Schemes Amendment Act, 1981"
73,"Agricultural Credit Amendment Act, 1981"
74,"Post Office Appropriation Act, 1981"
75,"Post Office Amendment Act, 1981"
76,"Mountain Catchment Areas Amendment Act, 1981"
77,"Borders of Particular States Extension Amendment Act, 1981"
78,"Aliens Amendment Act, 1981"
79,"University of Durban-Westville Amendment Act, 1981"
80,"Railways and Harbours Appropriation Act, 1981"
81,"Export Credit Re-insurance Amendment Act, 1981"
82,"Training Centres for Coloured Cadets Repeal Act, 1981"
83,"Companies Amendment Act, 1981"
84,"Mineral Technology Act, 1981"
85,"Occupational Diseases in Mines and Works Amendment Act, 1981"
86,"Mining Rights Amendment Act, 1981"
87,"Foreign States Immunities Act, 1981"
88,"Land Bank Amendment Act, 1981"
89,"Water Amendment Act, 1981"
90,"Administration of Estates Amendment Act, 1981"
91,"Co-operatives Act, 1981"
92,"Fund-raising Second Amendment Act, 1981"
93,"National Roads Amendment Act, 1981"
94,"Repeal of Laws Act, 1981"
95,"South African Citizenship Amendment Act, 1981"
96,"Income Tax Act, 1981"
97,"Sales Tax Amendment Act, 1981"
98,"South African Reserve Bank Amendment Act, 1981"
99,"Revenue Laws Amendment Act, 1981"
100,"Finance Act, 1981"
101,"Republic of South Africa Constitution Second Amendment Act, 1981"
102,"Financial Relations Amendment Act, 1981"
103,"Powers and Privileges of the President's Council Act, 1981"
104,"Technical Colleges Act, 1981"
105,"South African Teachers' Council for Whites Amendment Act, 1981"
106,"Vista University Act, 1981"
107,"Members of the Coloured Persons Representative Council Pensions Amendment Act, 1981"
108,"Members of the South African Indian Council Pensions Amendment Act, 1981"
109,"Appropriation Act, 1981"
110,"Status of Ciskei Act, 1981"
111,"Laws on Co-operation and Development Amendment Act, 1981"
112,"Small Business Development Act, 1981"
113,"Second Unemployment Insurance Amendment Act, 1981"
114,"Customs and Excise Amendment Act, 1981"
115,"Pensions (Supplementary) Act, 1981"
116,"Attorneys Amendment Act, 1981"
117,"Liquor Amendment Act, 1981"
118,"Financial Arrangements with Ciskei Act, 1981"
