col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16
2014,Action Express Racing,5,P,Coyote Corvette DP,Chevrolet 5.5 L V8,2014 Sebring 12 Hours,LBH,LGA,DET,WGL,MOS,IMS,ELK,COA,24th,100
2015,Action Express Racing,5,P,Coyote Corvette DP,Chevrolet 5.5 L V8,SEB,LGA,LGA,DET,WGL,MOS,ELK,COA,PET,11th,105
2016,CGR,66,GTLM,Ford GT,Ford 3.5 L EcoBoost V6,SEB,LBH,LGA,WGL,MOS,LIM,ELK,VIR,COA,15th,82
2017,Ford Chip Ganassi Racing,66,GTLM,Ford GT,Ford EcoBoost 3.5 L Turbo V6,SEB,LBH,COA,WGL,MOS,LIM,ELK,VIR,LGA,12th,91
2018,Ford Chip Ganassi Racing,66,GTLM,Ford GT,Ford EcoBoost 3.5 L Turbo V6,SEB,LBH,MDO,WGL,MOS,LIM,ELK,VIR,LGA,13th,78
2019,Ford Chip Ganassi Racing,66,GTLM,Ford GT,Ford EcoBoost 3.5 L Turbo V6,SEB,LBH,MDO,WGL,MOS,LIM,ELK,VIR,LGA,12th,131
2020,JDC-Mustang Sampling Racing,5,DPi,Cadillac DPi-V.R,Cadillac 5.5 L V8,DAY,SEB,ELK,ATL,MDO,PET,LGA,SEB,,5th,249
2021,JDC MotorSports,5,DPi,Cadillac DPi-V.R,Cadillac 5.5 L V8,SEB,2021 Acura SportsCar Challenge,2021 Chevrolet Detroit Grand Prix,WGL,WGL,ELK,LGA,LBH,PET,13th,1180
2022,CGR,01,DPi,Cadillac DPi-V.R,Cadillac 5.5 L V8,SEB,LBH,LGA,MDO,DET,WGL,MOS,ELK,PET,3rd,3220
2023,Cadillac Racing,01,GTP,Cadillac V-LMDh,Cadillac LMC55R 5. 5 L V8,SEB,LBH,LGA,WGL,MOS,ELK,IMS,PET,,7th,2673
2024,Cadillac Racing,01,GTP,Cadillac V-Series.R,Cadillac LMC55R 5. 5 L V8,SEB,LBH,LGA,DET,WGL,ELK,IMS,PET,,2nd*,1951*
