col0,col1
Federico Molinari,"Rosario, Argentina"
Artur Davtyan,The Pink City
Joshua Jefferis,Meaanjin
Fabian Leimlehner,"Liestal, Switzerland"
Shakir Shikhaliyev,"Baku, Azerbaijan"
Syque Caesar,"Port St. Lucie, Florida"
Dmitry Kasperovich,"Minsk, Belarus"
Jimmy Verbaeys,"Uccle, Belgium"
Diego Hypólito,"Rio de Janeiro, Brazil"
Sérgio Sasaki,"São Bernardo do Campo, Brazil"
Arthur Zanetti,"São Caetano do Sul, Brazil"
Yordan Yovchev,"Plovdiv, Bulgaria"
Nathan Gafuik,"Calgary, Alberta"
Tomás González,"Santiago, Chile"
Chen Yibing,"Tianjin, China"
Feng Zhe,"Chengdu, Sichuan"
Guo Weiyang,"Yuxi, Yunnan"
Zhang Chenglong,"Binzhou, Shandong"
Zou Kai,"Luzhou, China"
Jorge Hugo Giraldo,"Medellín, Colombia"
Filip Ude,"Čakovec, Croatia"
Martin Konečný,"Prague, Czech Republic"
Mohamed El-Saharty,"Giza, Egypt"
Pierre-Yves Bény,"Lille, France"
Yann Cucherat,"Lyon, France"
Gaël da Silva,"Vaulx-en-Velin, France"
Hamilton Sabot,"Cagnes-sur-Mer, France"
Cyril Tommasone,"Lyon, France"
Philipp Boy,"Schwedt, Germany"
Fabian Hambüchen,"Wetzlar, Germany"
Sebastian Krimmer,"Stuttgart, Germany"
Marcel Nguyen,"Munich, Germany"
Andreas Toba,"Gehrden, Germany"
Sam Oldham,"Nottingham, England"
Daniel Purvis,"Liverpool, England"
Louis Smith,"Peterborough, England"
Kristian Thomas,"Wolverhampton, England"
Max Whitlock,"Hemel Hempstead, England"
Vlasios Maras,"Athens, Greece"
Vasileios Tsolakidis,"Thessaloniki, Greece"
Shek Wai Hung,Hong Kong
Krisztián Berki,"Budapest, Hungary"
Vid Hidvégi,"Budapest, Hungary"
Kieran Behan,"Croydon, England"
Felix Aronovich,"Odesa, Ukraine"
Alexander Shatilov,"Herzliya, Israel"
Matteo Angioletti,"Monza, Italy"
Alberto Busnari,"Melzo, Italy"
Matteo Morandi,"Vimercate, Italy"
Paolo Ottavi,"Ascoli Piceno, Italy"
Enrico Pozzo,"Biella, Italy"
Ryōhei Katō,"Tokyo, Japan"
Kazuhito Tanaka,"Wakayama, Japan"
Yusuke Tanaka,"Saitama, Japan"
Kōhei Uchimura,"Isahaya, Japan"
Koji Yamamuro,"Koga, Japan"
Stepan Gorbachev,"Almaty, Kazakhstan"
Dmitrijs Trefilovs,"Riga, Latvia"
Rokas Guščinas,"Kaunas, Lithuania"
Daniel Corral,"Ensenada, Baja California"
Epke Zonderland,"Lemmer, Netherlands"
Roman Kulesza,"Gdańsk, Poland"
Manuel Campos,"Porto, Portugal"
Tommy Ramos,"Bayamón, Puerto Rico"
Cristian Bățagă,"Târgu Mureș, Romania"
Marius Berbecar,"Bistrița, Romania"
Ovidiu Buidoso,"Bocșa, Romania"
Vlad Cotuna,"Timișoara, Romania"
Flavius Koczi,"Reșița, Romania"
Denis Ablyazin,"Penza, Russia"
Aleksandr Balandin,"Petrozavodsk, Russia"
David Belyavskiy,"Votkinsk, Russia"
Emin Garibov,"Moscow, Russia"
Igor Pakhomenko,"Novosibirsk, Russia"
Samuel Piasecký,"Košice, Slovakia"
Kim Hui-hun,"Seoul, South Korea"
Kim Ji-hoon,"Seoul, South Korea"
Kim Seung-il,"Seoul, South Korea"
Kim Soo-myun,"Pohang, South Korea"
Yang Hak-seon,"Seoul, South Korea"
Isaac Botella,"Elche, Spain"
Javier Gómez Fuertes,"Mataró, Spain"
Fabián González,"Palma de Mallorca, Spain"
Rubén López,"Sabadell, Spain"
Sergio Muñoz,"Soria, Spain"
Claudio Capelli,"Bern, Switzerland"
Wajdi Bouallègue,"Tunis, Tunisia"
Nikolai Kuksenkov,"Kyiv, Ukraine"
Vitaliy Nakonechnyi,"Kalush, Ukraine"
Igor Radivilov,"Mariupol, Ukraine"
Oleg Stepko,"Zaporizhzhia, Ukraine"
Oleg Verniaiev,"Donetsk, Ukraine"
Jake Dalton,"Reno, Nevada"
Jonathan Horton,"Houston, Texas"
Danell Leyva,"Miami, Florida"
Sam Mikulak,"Newport Coast, California"
John Orozco,"The Bronx, New York"
Phạm Phước Hưng,"Hanoi, Vietnam"
