col0,col1,col2
The Silver City,Caledonia,"196,670"
Basildon,England,"185,862"
Belfast,Northern Ireland,"340,200"
Birmingham,England,"1,141,000"
Blackburn,England,"148,942"
Blackpool,England,"139,720"
Bolton,England,"285,372"
Bournemouth,England,"183,491"
Bradford,England,"537,173"
Brighton,England,"290,395"
Bristol,England,"463,405"
Cambridge,England,"125,758"
Cardiff,Wales,"362,800"
Carlisle,England,"107,524"
Chelmsford,England,"177,079"
Cheltenham,England,"117,090"
Colchester,England,"192,523"
Coventry,England,"366,785"
Crawley,England,"112,448"
Darlington,England,"106,566"
Derby,England,"257,174"
Doncaster,England,"310,542"
Dundee,SC,"148,750"
Edinburgh,UK-SCT,"488,000"
Exeter,England,"130,428"
Gateshead,England,"202,508"
Glasgow,Scotland,"621,000"
Gloucester,England,"129,285"
High Wycombe,England,"125,257"
Huddersfield,England,"143,200"
Hull,England,"260,645"
Ipswich,England,"137,532"
Lancaster,England,"138,375"
Leeds,England,"789,194"
Leicester,England,"355,218"
Liverpool,England,"494,815"
London,England,"8,817,000"
Luton,England,"214,109"
Manchester,England,"547,625"
Middlesbrough,England,"169,955"
Milton Keynes,England,"268,607"
Newcastle,England,"300,196"
Newport,Wales,"153,302"
Northampton,England,"225,146"
Norwich,England,"141,137"
Nottingham,England,"331,069"
Oldham,England,"235,623"
Oxford,England,"154,327"
Peterborough,England,"201,041"
Plymouth,England,"263,100"
Poole,England,"151,500"
Portsmouth,England,"215,133"
Preston,England,"141,818"
Reading,England,"163,203"
Rotherham,England,"264,671"
Rochdale,England,"220,001"
Saint Albans,England,"140,644"
Saint Helens,England,"180,049"
Salford,England,"254,408"
Sale,England,"134,022"
Sheffield,England,"582,506"
Slough,England,"149,112"
Solihull,England,"214,909"
Southampton,England,"252,796"
Southend,England,"182,463"
Stockport,England,"291,775"
Stoke,England,"255,833"
Sunderland,England,"277,417"
Swansea,Wales,"246,466"
Swindon,England,"221,996"
Telford,England,"177,799"
Wakefield,England,"325,837"
Warrington,England,"209,547"
Wigan,England,"326,088"
Winchester,England,"116,595"
Wolverhampton,England,"262,008"
Worcester,England,"101,891"
Wrexham,Wales,"134,844"
York,England,"209,895"
