col0,col1,col2,col3
2010,Melissa Chessington Leo,Alice Eklund-Ward,The Fighter
2010,Helena Bonham Carter,Queen Elizabeth,The King's Speech
2010,Mila Kunis,Lily,Black Swan
2010,Amy Adams,Charlene Fleming,The Fighter
2010,Hailee Steinfeld,Mattie Ross,True Grit
2010,Jacki Weaver,Janine Smurf Cody,Animal Kingdom
2011,Octavia Spencer,Minny Jackson,The Help
2011,Jessica Chastain,Celia Foote,The Help
2011,Bérénice Bejo,Peppy Miller,The Artist
2011,Carey Mulligan,Sissy Sullivan,Shame
2011,Melissa McCarthy,Megan Price,Bridesmaids
2011,Shailene Woodley,Alexandra Alex King,The Descendants
2012,Anne Hathaway,Fantine,Les Misérables
2012,Amy Adams,Peggy Dodd,The Master
2012,Judi Dench,M,Skyfall
2012,Ann Dowd,Sandra,Compliance
2012,Sally Field,Mary Todd Lincoln,Lincoln
2012,Helen Hunt,Cheryl Cohen-Greene,The Sessions
2013,Lupita Nyong'o,Patsey,12 Years a Slave
2013,Scarlett Johansson,Samantha (voice),Her
2013,Jennifer Lawrence,Rosalyn Rosenfeld,American Hustle
2013,Julia Roberts,Barbara Weston-Fordham,August: Osage County
2013,June Squibb,Kate Grant,Nebraska
2013,Oprah Winfrey,Gloria Gaines,The Butler
2014,Patricia Arquette,Olivia Evans,Boyhood
2014,Jessica Chastain,Anna Morales,A Most Violent Year
2014,Keira Knightley,Joan Clarke,The Imitation Game
2014,Emma Stone,Sam Thomson,Birdman
2014,Meryl Streep,The Witch,Into the Woods
2014,Tilda Swinton,Minister Mason,Snowpiercer
2015,Alicia Vikander,Gerda Wegener,The Danish Girl
2015,Jennifer Jason Leigh,Daisy Domergue,The Hateful Eight
2015,Rooney Mara,Therese Belivet,Carol
2015,Rachel McAdams,Sacha Pfeiffer,Spotlight
2015,Helen Mirren,Hedda Hopper,Trumbo
2015,Kate Winslet,Joanna Hoffman,Steve Jobs
2016,Viola Davis,Rose Maxson,Fences
2016,Greta Gerwig,Abigail Abbie Porter,20th Century Women
2016,Naomie Harris,Paula,Moonlight
2016,Nicole Kidman,Sue Brierley,Lion
2016,Janelle Monáe,Mary Jackson,Hidden Figures
2016,Michelle Williams,Randi Chandler,Manchester by the Sea
2017,Allison Janney,LaVona Golden,"I, Tonya"
2017,Mary J. Blige,Florence Jackson,Mudbound
2017,Hong Chau,Ngoc Lan Tran,Downsizing
2017,Tiffany Haddish,Dina,Girls Trip
2017,Holly Hunter,Beth Gardner,The Big Sick
2017,Laurie Metcalf,Marion McPherson,Lady Bird
2017,Octavia Spencer,Zelda Delilah Fuller,The Shape of Water
2018,Regina King,Sharon Rivers,If Beale Street Could Talk
2018,Emma Stone,Abigail Masham,The Favourite
2018,Rachel Weisz,Sarah Churchill,The Favourite
2018,Amy Adams,Lynne Cheney,Vice
2018,Claire Foy,Janet Armstrong,First Man
2018,Nicole Kidman,Nancy Eamons,Boy Erased
2019,Laura Dern,Nora Fanshaw,Marriage Story
2019,Scarlett Johansson,Rosie Betzler,Jojo Rabbit
2019,Jennifer Lopez,Ramona Vega,Hustlers
2019,Florence Pugh,Amy March,Little Women
2019,Margot Robbie,Kayla Pospisil,Bombshell
2019,Zhao Shu-zhen,Nai Nai,The Farewell
