col0,col1,col2,col3,col4
1990   (42nd),Swoosie Kurtz,Carol & Company,Laurie,National Broadcasting Company
1990   (42nd),Patsy Ann McClenny,Murphy Brown,Julia St. Martin,CBS
1990   (42nd),Georgia Brown,Cheers,Madame Lazora,NBC
1990   (42nd),Margaret Alexis Smith,Cheers,Alice Anne Volkman,NBC
1990   (42nd),Liz Torres,The Famous Teddy Z,Angie,Black Rock
1991   (43rd),Colleen Dewhurst,Murphy Brown,Avery Brown,CBS
1991   (43rd),Whoopi Goldberg,A Different World,Professor Jordan,NBC
1991   (43rd),Frances Sternhagen,Cheers,Esther Clavin,National Broadcasting Company
1991   (43rd),Sada Thompson,Cheers,Mama Lozupone,NBC
1991   (43rd),Brenda Vaccaro,The Golden Girls,Angela Petrillo,National Broadcasting Company
1992   (44th),Tyne Daly,Wings,Mimsy Borogroves,NBC
1992   (44th),Frances Sternhagen,Cheers,Esther Clavin,NBC
1993   (45th),Tracey Ullman,Love & War,Dava Levine,CBS
1993   (45th),Carol Burnett,The Larry Sanders Show,Herself,HBO
1993   (45th),Ruby Dee,Evening Shade,Aurelia Danforth,Tiffany Network
1993   (45th),Shelley Long,Cheers,Diane Chambers,National Broadcasting Company
1993   (45th),Gwen Verdon,Dream On,Kitty,HBO
1994   (46th),Eileen Heckart,Love & War,Rose Stein,Eye Network
1994   (46th),Diane Ladd,Grace Under Fire,Louise Burdett,ABC
1994   (46th),Cyndi Lauper,Mad About You,Marianne Lugasso,NBC
1994   (46th),Marlee Matlin,Seinfeld,Laura,NBC
1994   (46th),Marcia Wallace,Murphy Brown,Secretary 66,Tiffany Network
1995   (47th),Cyndi Lauper,Mad About You,Marianne Lugasso,National Broadcasting Company
1995   (47th),Bebe Neuwirth,Frasier,Dr. Lilith Sternin,NBC
1995   (47th),JoBeth Williams,Frasier,Madeline,National Broadcasting Company
1995   (47th),Christina Pickles,Friends,Judy Geller,National Broadcasting Company
1995   (47th),Jean Stapleton,Grace Under Fire,Aunt Vivian,ABC
1996   (48th),Betty White,The John Larroquette Show,Herself,National Broadcasting Company
1996   (48th),Shelley Long,Frasier,Diane Chambers,National Broadcasting Company
1996   (48th),Rosie O'Donnell,The Larry Sanders Show,Herself,HBO
1996   (48th),Marlo Thomas,Friends,Sandra Green,National Broadcasting Company
1996   (48th),Irene Worth,Remember WENN,Mrs. Mellon,AMC
1997   (49th),Carol Burnett,Mad About You,Theresa Stemple,NBC
1997   (49th),Ellen DeGeneres,The Larry Sanders Show,Herself,HBO
1997   (49th),Laura Dern,Ellen,Susan Richmond,ABC
1997   (49th),Marsha Mason,Frasier,Sherry,NBC
1997   (49th),Betty White,Suddenly Susan,Midge Haber,National Broadcasting Company
1998   (50th),Emma Thompson,Ellen,Herself,ABC
1998   (50th),Carol Burnett,Mad About You,Theresa Stemple,NBC
1998   (50th),Jan Hooks,3rd Rock from the Sun,Vicki Dubcek,NBC
1998   (50th),Patti LuPone,Frasier,Zora,National Broadcasting Company
1998   (50th),Bette Midler,Murphy Brown,Caprice Feldman,CBS
1999   (51st),Tracey Ullman,Ally McBeal,Tracy Clark,Fox
1999   (51st),Christine Baranski,Frasier,Dr. Nora Fairchild,National Broadcasting Company
1999   (51st),Piper Laurie,Frasier,Mrs. Mulhern,NBC
1999   (51st),Kathy Bates,3rd Rock from the Sun,Charlotte Everly,NBC
1999   (51st),Laurie Metcalf,3rd Rock from the Sun,Jennifer,National Broadcasting Company
