col0,col1,col2,col3,col4,col5
Chongwe,Japhen Mwakalombe,MMD,28 November 2011 (constituency)|_Nakonde (constituency)|.pdf,Sylvia Masebo,Patriotic Front
Magoye,Oliver Mulomba,United Party for National Development,28 November 2011,Oliver Mulomba,United Party for National Development
Nakonde,Abel Sichula,Patriotic Front,28 November 2011,Abel Sichula,Patriotic Front
Msanzala,Joseph Lungu,Independent,16 February 2012 Col. Joseph Lungu National Assembly of Zambia,Joseph Lungu,Patriotic Front
Malambo,Maxwell Mwale,MMD,30 June 2015 Jacob Shuma National Assembly of Zambia,Jacob Shuma,Patriotic Front
Chama North,Darious Mumba,Movement for Multi-Party Democracy,6 July 2012,January Zimba,Patriotic Front
Livingstone,Lukulo Katombora,Movement for Multi-Party Democracy,6 July 2012,Howard Sikwela,United Party for National Development
Muchinga,George Kunda,Movement for Multi-Party Democracy,6 July 2012,Howard Kunda,Movement for Multi-Party Democracy
Mufumbwe,Steven Masumba,Movement for Multi-Party Democracy,"8 November 2012 PF adopts Steven Masumba for Mufumbwe by-election Lusaka Times, 8 October 2012",Steven Masumba,Patriotic Front
Mpongwe,Gabriel Namulambe,MMD,28 February 2013 Gabriel Namulambe National Assembly of Zambia,Gabriel Namulambe,Patriotic Front
Livingstone,Lukulo Katombora,MMD,14 March 2013 Evans Lawrence National Assembly of Zambia,Evans Lawrence,Patriotic Front
Kapiri Mposhi,Lawrence Zimba,Movement for Multi-Party Democracy,23 April 2013,Eddie Musonda,Patriotic Front
Feira,Patrick Ngoma,MMD,20 June 2013 Patrick Ngoma National Assembly of Zambia,Patrick Ngoma,Patriotic Front
Kafulafuta,James Chishiba,Movement for Multi-Party Democracy,25 July 2013 Brian Chitafu National Assembly of Zambia,Brian Chitafu,United Party for National Development
Solwezi East,Richard Taima,Movement for Multi-Party Democracy,25 July 2013 Villie Lombanya National Assembly of Zambia,Villie Lombanya,UPND
Mkushi North,Knorrasco Mutale,Movement for Multi-Party Democracy,1 September 2013 Ingrid Mphande National Assembly of Zambia,Ingrid Mphande,Patriotic Front
Mkaika,David Phiri,Movement for Multi-Party Democracy,5 September 2013 Peter Phiri National Assembly of Zambia,Peter Phiri,Movement for Multi-Party Democracy
Mansa Central,Kennedy Sakeni,Patriotic Front,22 November 2013 Results for Mansa Central parliamentary and seven (7) local government by elections  Electoral Commission of Zambia,Chitalu Chilufya,Patriotic Front
Katuba,Patrick Mwewa,Movement for Multi-Party Democracy,25 February 2014 Jonas Shakafuswa National Assembly of Zambia,Jonas Shakafuswa,United Party for National Development
Mangango,Robert Taundi,MMD,19 August 2014 Rogers Lingweshi National Assembly of Zambia,Rogers Lingweshi,Patriotic Front
Kasenengwa,Victoria Kalima,Movement for Multi-Party Democracy,11 September 2014 September 11 by elections Electoral Commission of Zambia,Victoria Kalima,Movement for Multi-Party Democracy
Mkushi South,Sydney Chisanga,MMD,11 September 2014 Davies Chiposa National Assembly of Zambia,Davies Chisopa,Patriotic Front
Solwezi Central,Lucky Mulusu,Movement for Multi-Party Democracy,11 September 2014,Dawson Kafwaya,United Party for National Development
Vubwi,Eustarckio Kazonga,MMD,11 September 2014 Margaret Miti National Assembly of Zambia,Margaret Miti,Patriotic Front
Zambezi West,Charles Kakoma,UPND,11 September 2014,Christabel Ngimbu,Patriotic Front
Chawama,Edgar Lungu,Patriotic Front,14 April 2015,Lawrence Sichalwe,Patriotic Front
Masaiti,Micheal Zondani Katambo,Movement for Multi-Party Democracy,14 April 2015 Press release Electoral Commission of Zambia,Micheal Zondani Katambo,Patriotic Front
Senga Hill,Kapembwa Simbao,Movement for Multi-Party Democracy,14 April 2015,Kapembwa Simbao,Patriotic Front
Bangweulu,Chifita Matafwali,Patriotic Front,8 June 2015 Anthony Kasandwe National Assembly of Zambia,Anthony Kasandwe,Patriotic Front
Mulobezi,Hastings Sililo,UPND,1 July 2015 Patricia Mulasikwanda National Assembly of Zambia,Patricia Mulasikwanda,Patriotic Front
Petauke Central,Dora Siliya,MMD,1 July 2015 Dora Siliya National Assembly of Zambia,Dora Siliya,Patriotic Front
Lubansenshi,Patrick Mucheleka,Independent,24 September 2015 George P Mwamba National Assembly of Zambia,George Mwamba,Patriotic Front
Solwezi West,Humphrey Mwanza,Movement for Multi-Party Democracy,25 September 2015 Teddy Kasonso National Assembly of Zambia,Teddy Kasonso,UPND
