col0,col1,col2,col3,col4,col5,col6,col7,col8,col9
Current program,Current program,Current program,Current program,Current program,Current program,Current program,Current program,Current program,Current program
100 metres,●,●,●,●,●,●,●,●,●
200 metres,●,●,●,●,●,●,●,●,●
400 metres,●,●,●,●,●,●,●,●,●
800 metres,●,●,●,●,●,●,●,athletics at the 2012 Summer Paralympics - women's 800 metres,●
1500 metres,●,●,●,●,●,●,●,athletics at the 2012 Summer Paralympics - women's 1500 metres,athletics at the 2016 Summer Paralympics - women's 1500 metres
5000 metres,,,●,●,●,●,●,athletics at the 2012 Summer Paralympics - women's 5000 metres,●
marathon race,,,●,●,●,●,●,●,●
4×100metres relay,,,●,●,●,,,●,●
Long jump,●,●,●,●,●,●,●,athletics at the 2012 Summer Paralympics - women's long jump,●
Shot put,●,●,●,●,●,●,●,●,●
Discus throw,●,●,●,●,●,●,●,●,athletics at the 2016 Summer Paralympics - women's discus throw
javelin throwing,●,●,●,●,●,●,●,athletics at the 2012 Summer Paralympics - women's javelin throw,●
Club throw,●,●,●,●,,,,●,●
Past events,Past events,Past events,Past events,Past events,Past events,Past events,Past events,Past events,Past events
3000 metres,,●,●,●,●,●,,,
Pentathlon,●,●,●,●,●,●,●,,
