col0,col1
Assari-kun,Sō Nishimura
Hotel,Shōtarō Ishinomori
Tanaka-kun,Hiroshi Tanaka
Theater Appare,Yoshiie Goda
What's Michael?,Makoto Kobayashi
Jimi-Hen,Nakazaki Tatsuya
Pocket Story,Masayuki Mori
OL Shinkaron,Akizuki Risu
Obatarian,Hotta Katsuhiko
Toppu wa Ore da!!,Torii Kazuyoshi
"Gokigen Ne, Dadi",Aoki Kimuko
Haguregumo,George Akiyama
Galaxy Express 999,Matsumoto Reiji
"Urusei Yatsura, Oyuki",Takahashi Rumiko
San-pun-kan no Dekigoto,Tanioka Yasuji
O-jama Shimasu,Imazeki Shin
Sarari-kun,Nishimura So
Ningen Kosaten,"Yajima Massao, Hirokane Kenshi"
Koko Dake no Futari,Take Shobo
Chijou Saikyou no Jinrui,Tanioka Yasuji
Konnichi-wa Kuriko-san,Terashima Reiko
Korobokkuru-kun,Hanawa Kazuichi
Kochikame,Osamu Akimoto
Beranmee Touchan,Tachibanaya Kikutaro
Sarariiman Senka,Sadao Shoji
Tsurumoku Bachelors' Dormitory,Kubonouchi Eisaku
Ai no Wakakusayama Monogatari,Terashima Reiko
Bonobono,Igarashi Mikio
Oishinbo,"Kariya Tetsu, Hanasaki Akira"
Phoenix,Tezuka Osamu
Eigyo Tenteko Nisshi,Gyu & Kondo
Beranmei Tochan,Tachibanaya Kikutaro
Yuyake no Uta,Saigan Ryohei
Furiten-kun,Gyu & Kondo
Crayon Shin-chan,Yoshito Usui
Mix Connection,Yoshito Usui
After Zero,Okazaki Jiro
Tsuri-Baka Nisshi,Yamasaki & Kitami
Sanshiro no Koi,Maekawa Tsukasa
Midori-san,Akizuki Risu
O-Daiji ni,Kourita Christophe
Manga Business Manners,Degushi & Minagawa
Yawara!,Urasawa Naoki
Katsu-Shika Q,Tomisawa Chinatsu
Kachō Kōsaku Shima,Hirokane Kenshi
Garcia-kun,Takeuchi Akira
Sarai-kun,Nishimura So
Selected Works of Ishii Hisaichi,Ishii Hisaichi
Dr. Slump,Toriyama Akira
Take'emon-ke no Hitobito,Sato Take'emon
Naniwa Kin'yūdō,Aoki Yuji
Arerugen,Nakasa Yoshiro
Maboroshi no Futsu Shojo,Uchida Shungiku
Okusama wa Interior Designer,Akizuki Risu
Shoot!,Oshima Tsukasa
Hyaku Monogotari,Sugiura Hinako
Fancy Dance,Okano Reiko
Kachō-san Shigoto Desu Yo,Matsuura Seiji
Imadoki no Kodomo,Kubō Kiriko
Torishimariyaku Hira Namijirō,Nitta Tatsuo
Cooking Papa,Ueyama Tochi
Nippon Cha-Cha-Cha,Yamazaki Kosuke
Living Game,Hoshisato Mochiru
Salaryman Senka,Shoji Sadao
Kono Hito ni Kakero,"Shu Ryoka, Yumeno Kazuko"
Run! Run! Alcindo!,Ohira Kazuo
Reggie,"Guy Jeans, Hiramatsu Minoru"
Ai ga Hoshii,Nonaka Nobara
Selections by a Deluxe Company,Deluxe Company
Otoko wa Tsurai Yo,Yamada Yoji
Sore demo Megezu,Kawabata Issei
Kasai no Hito,"Mohri Jinpachi, Uoto Osamu"
Akogare Depa-Gyaru,Onuma Kaoru
Sekkachi-kun,Tanaka Sho
Ponpoko Kacho,Hashimoto Iwao
Boku-chin Yutosei,Kitami Jiro
Aji Ichi Monme,"Abe Zenta, Kurata Yoshimi"
Ajimantei,Ono Shinjiro
Hyaku-nen Senryu,Goda Yoshiie
Kekkon Shiyo Yo,Hoshisato Michiru
Gal Gag World,Sato Ryosaku
Kaji Ryusuke no Gi,Hirokane Kenshi
Kekko Shiyo Yo,Hoshisato Mochiru
Han no Kararicho,Sonoyama Shunji
Kariage-kun,Ueda Masashi
Sawayaka Sanda,Tanba Tesshin
Sekai 4-Koma-ka Keikaku,Hatakeyama Konzern
Yunbo-kun,Saibara Rieko
Mammoth-like Ojosama,Okada Garu
Kacho Baka Ichidai,Nonake Eiji
Our Tono-sama,Meguro Yasushi
App-Install,Jonburi
Minori Densetsu,Oze Akira
Yarikuri Company,Hashimoto Iwao
Hundred-Year Senryu,Goda Yoshiie
Happy Day,Matsuura Seiji
President Ponpoko,Hashimoto Iwao
Honto ka na,"George Gladir, Oyama Tetsuya"
Kancho Baka Ichidai,Nonaka Eiji
Fuji Santaro,Sato Sanpei
Bow Wow,Terry Yamamoto
Non-Career Woman,Ishii Hisaichi
Ninja Bugei-cho,Ishii Hisaichi
Hyakunen Senryu,Goda Yoshiie
Kaiketsu!! Todo Kacho,Kadohashi Yasuto
C-Class Salaryman Course,Yamashina Keisuke
Honebuto-san,Fujisubo Miki
Kochira Shakai-bu,"Otani Akihiro, Oshima Yasuichi"
Seishun Nigiri Punch,Hanakuma Yusaku
