col0,col1,col2,col3
2000   (52nd),Eddie Izzard,Eddie Izzard: Dress to Kill,HBO
2000   (52nd),Cher,Cher: Live in Concert — From the MGM Grand in Las Vegas,HBO
2000   (52nd),Billy Crystal,The 72nd Annual Academy Awards,ABC
2000   (52nd),Chris Rock,Chris Rock: Bigger and Blacker,Home Box Office
2000   (52nd),Molly Shannon,Saturday Night Live,NBC
2001   (53rd),Barbra Streisand,Barbra Streisand: Timeless,Fox
2001   (53rd),Wayne Brady,Whose Line Is It Anyway?,ABC
2001   (53rd),Ellen DeGeneres,Ellen DeGeneres: The Beginning,HBO
2001   (53rd),Will Ferrell,Saturday Night Live,NBC
2001   (53rd),David Letterman,Late Show with David Letterman,CBS
2001   (53rd),Steve Martin,The 73rd Annual Academy Awards,ABC
2002   (54th),Sting,A&E in Concert: Sting In Tuscany... All This Time,A&E
2002   (54th),Wayne Brady,Whose Line Is It Anyway?,ABC
2002   (54th),Billy Joel,Billy Joel: In His Own Words,A&E
2002   (54th),Jon Stewart,The Daily Show with Jon Stewart,Comedy Central
2002   (54th),Ryan Stiles,Whose Line Is It Anyway?,ABC
2003   (55th),Wayne Brady,Whose Line Is It Anyway?,ABC
2003   (55th),Dennis Miller,Dennis Miller: The Raw Feed,HBO
2003   (55th),Martin Short,Primetime Glick,Comedy Central
2003   (55th),Jon Stewart,The Daily Show with Jon Stewart,Comedy Central
2003   (55th),Robin Williams,Robin Williams: Live on Broadway,HBO
2004   (56th),Elaine Stritch,Elaine Stritch: At Liberty,HBO
2004   (56th),William Edward Crystal,The 76th Annual Academy Awards,ABC
2004   (56th),Ellen DeGeneres,Ellen DeGeneres: Here and Now,HBO
2004   (56th),Bill Maher,Real Time with Bill Maher,HBO
2004   (56th),Tracey Ullman,Tracey Ullman in the Trailer Tales,HBO
2005   (57th),Hugh Jackman,58th Tony Awards,CBS
2005   (57th),Whoopi Goldberg,Whoopi: Back to Broadway — The 20th Anniversary,HBO
2005   (57th),Jay Leno,The Tonight Show with Jay Leno,NBC
2005   (57th),Jon Stewart,The Daily Show with Jon Stewart,Comedy Central
2005   (57th),Tracey Ullman,Tracey Ullman: Live and Exposed,HBO
2006   (58th),Barry Manilow,Barry Manilow: Music and Passion,PBS
2006   (58th),Stephen Colbert,The Colbert Report,Comedy Central
2006   (58th),Craig Ferguson,The Late Late Show with Craig Ferguson,CBS
2006   (58th),Hugh Jackman,The 59th Annual Tony Awards,CBS
2006   (58th),David Letterman,Late Show with David Letterman,CBS
2007   (59th),Tony Bennett,Tony Bennett: An American Classic,NBC
2007   (59th),Stephen Colbert,The Colbert Report,Comedy Central
2007   (59th),Ellen DeGeneres,The 79th Annual Academy Awards,ABC
2007   (59th),David Letterman,Late Show with David Letterman,CBS
2007   (59th),Jon Stewart,The Daily Show with Jon Stewart,Comedy Central
2008   (60th),Don Rickles,Mr. Warmth: The Don Rickles Project,Home Box Office
2008   (60th),Stephen Colbert,The Colbert Report,Comedy Central
2008   (60th),Tina Fey,Saturday Night Live,NBC
2008   (60th),David Letterman,Late Show with David Letterman,CBS
2008   (60th),Jon Stewart,The 80th Annual Academy Awards,ABC
